API链接,Update_Time,Author,API名称,API描述,API Popularity,API Latency,API Service Level
https://rapidapi.com/Veriphone/api/veriphone/,2021-11, Admin ,Veriphone,"Global phone number verification in a free, fast, reliable JSON API",9.8,438 ms,100%
https://rapidapi.com/maytapi/api/maytapi-whatsapp/,2021-11, Maytapi ,Maytapi WhatsApp,Send and receive messages from WhatsApp via Maytapi. It is a stable and reliable solution. See more: https://maytapi.com/,9.7,"3,759 ms",97%
https://rapidapi.com/mr_admin/api/email-verifier/,2022-11, mr_admin ,Email Verifier,Validate email addresses in real-time. Make sure a mailbox really exist.,9.8,894 ms,100%
https://rapidapi.com/api-endpoints/api/nbnco-address-check/,2023-11, Make Data Useful PTY LTD ,NBNco Address Check,A simple address search API that returns key information about the NBNco™ access network availability.,9.7,"3,503 ms",99%
https://rapidapi.com/teltech-systems-inc-teltech-systems-inc-default/api/robokiller-call-confidence/,2023-06, Robokiller Enterprise ,RoboKiller Call Confidence,Get the newest reputation of phone numbers from the database of leading consumer anti-spam call app Robokiller and eliminate your phone scams.,9.6,233 ms,100%
https://rapidapi.com/DataCrawler/api/truecaller4/,2023-11, DataCrawler ,Truecaller,,9.7,"1,544 ms",100%
https://rapidapi.com/apininjas/api/validate-phone-by-api-ninjas/,2023-05, API Ninjas Team ,Validate Phone by API-Ninjas,Check whether a phone number is valid and get its metadata. See more info at https://api-ninjas.com/api/validatephone.,9.5,"1,235 ms",100%
https://rapidapi.com/inutil-inutil-default/api/whin2/,2023-11, inUtil Labs ,whin,"Send and receive any message type to your WhatsApp, or to whatsapp groups with a shared gateway.",9.9,427 ms,99%
https://rapidapi.com/apininjas/api/qr-code-by-api-ninjas/,2023-05, API Ninjas Team ,QR Code by API-Ninjas,Generate custom QR codes for any data. See more info at https://api-ninjas.com/api/qrcode.,9.8,453 ms,100%
https://rapidapi.com/icehook-systems-icehook-systems-default/api/scout/,2023-04, IceHook Systems ,Scout,"Telephone Number Insight including Validity, Robocall/SPAM, Reputation, LNP, Carrier, Timezone, and Geographic Information",9.9,"3,870 ms",75%
https://rapidapi.com/quickemailverification/api/quick-email-verification/,2021-11, quickemailverification ,Quick Email Verification,Improve your mail deliverability rates and protect your IP reputation by using our Free Email Verification Service. Need further help? You can contact us at https://quickemailverification.com/contact-us,9.5,809 ms,100%
https://rapidapi.com/clicksend/api/clicksend-sms/,2021-11, Matt ,ClickSend SMS,Sign up for a free account at https://clicksend.com ClickSend is not a free service. Pricing can be found here https://clicksend.com/?r=pricing/,9.6,"1,073 ms",100%
https://rapidapi.com/inteltech/api/inteltech-sms/,2021-11, Matt ,Inteltech SMS,Intelligent Technologies SMS API. Allows sending and receiving of SMS messages. An account is required. Sign up for free at http://inteltech.com.au Send messages to any country in the world.,9.7,879 ms,100%
https://rapidapi.com/messagebird/api/sms-gateway/,2021-11, messagebird ,SMS Gateway,MessageBird provides a simple and fast API for sending and receiving text messages (SMS) all over the world. Other related services are HLR-Lookup (network query) and sending and receiving Premium SMS messages.,9.5,171 ms,100%
https://rapidapi.com/nemohadaana/api/free-phone-carrier-lookup/,2023-04, ta9ra9pa9 ,Free Phone Carrier Lookup,"FREEEEE !!! , Phone carrier lookups are a great way to obtain more information about leads and user data. If a number is not associated with a phone carrier, then it's likely that phone number is not currently active. The phone number carrier provides useful information about location, user type (personal or business number), line type, and much more. Some carriers are frequently associated with fraudulent behavior,",9.8,"1,518 ms",99%
https://rapidapi.com/ArdicAITeam/api/ardic-speech-to-text-service/,2023-01, ArdicAITeam ,Ardic Speech to Text Service,Transcription API for converting audio files to text. Includes confidence scores and timestamps for given words.,9.7,"5,906 ms",97%
https://rapidapi.com/r4chestnut/api/textbelt-sms/,2021-11, Arthur Chestnut ,Textbelt SMS,Send SMS text messages,8.9,523 ms,100%
https://rapidapi.com/sagenda/api/sagenda-free-booking-system/,2021-11, sagenda ,Sagenda Free Booking System,"Sagenda is a booking, reservation, scheduling or appointment online software that increases the productivity of your business free of cost.",8.5,300 ms,100%
https://rapidapi.com/yusufnb/api/quotes/,2021-11, yusufnb ,Quotes,"This is a simple API for use with bot integration or to create wordpress or other CMS plugins to show relevant quotes and quotations to display to the user. Coming soon will be an ability to curate quotes and even add your own, that will be available via the same API.",8.7,279 ms,88%
https://rapidapi.com/kidddevs/api/checky-verify-phone-number/,2023-11, Dakidarts ,Checky - Verify Phone Number,Determine in realtime if a given phone number is valid and the type of phone line it is connected to. Works for all countries!,9.1,68 ms,100%
https://rapidapi.com/dananos/api/1-cent-sms/,2023-02, InfiniteLoop.ie ,1 Cent SMS,Send SMS for 1 US Cent to USA or Canada via this API,8.9,"2,001 ms",100%
https://rapidapi.com/nextgenict-nextgenict-default/api/phone-and-email-validator/,2021-11, NextGenICT ,Phone and Email Validator,"Extremely Useful tool for Phone, Email, IP Address and Postal Code Validation",9.3,"4,203 ms",98%
https://rapidapi.com/teracrawl-teracrawl-default/api/free-phone-number-lookup-and-validation-api1/,2022-11, Teracrawl ,Free Phone Number Lookup and Validation API,"Free Lookup and Validation API Phone Numbers and receive additional information like Geo Location, Timezone and Currency. No Signup required.",8.8,"1,227 ms",100%
https://rapidapi.com/lj.carpen/api/phone-and-email-validator1/,2021-11, Carlau ,Phone and Email validator,Check the validity of any phone number and email address,,,
https://rapidapi.com/kiara-inc-kiara-inc-default/api/kiara-translate-v2/,2021-11, Kiara Inc ,Kiara Translate v2,Kiara Translation v.2 is a high quality translation API. This same up powers our trusted partners. Try out more features in the demo https://api.kiara-demo.app/,8.5,809 ms,100%
https://rapidapi.com/williamchew85/api/caller-id4/,2023-06, William Chew ,caller-id,"Retrieve personal data (including Name, Gender, Job, Company Name, Email, Telco carrier name, etc) with mobile number",9.3,"3,970 ms",59%
https://rapidapi.com/AirBorne04/api/retrieve-dns-entries/,2022-11, AirBorne04 ,Retrieve DNS Entries,The API enables you to make fast DNS and WHOIS lookups.,9.0,229 ms,97%
https://rapidapi.com/it-fintech-md-it-fintech-md-default/api/disposable-regdata-verification/,2023-03, IT Fintech MD ,Disposable RegData Verification,"Out API will offer you possibility to check Phone or Email if is Valid or Disposable, as well you can check IP if is a VPN or Proxy during your KYC procedures or lead registration.",9.1,337 ms,100%
https://rapidapi.com/kiara-inc-kiara-inc-default/api/kiara-spam-detector-v1/,2021-11, Kiara Inc ,Kiara Spam Detector v1,Kiara Spam Detector classifies a given text and predicts if the text is spam or not.,8.9,407 ms,100%
