API链接,Update_Time,Author,API名称,API描述,API Popularity,API Latency,API Service Level
https://rapidapi.com/currencyapinet/api/currencyapi-net/,2023-10, currencyapinet ,CurrencyAPI.net,Real-time currency conversion on 152 currencies and cryptos,9.8,148 ms,100%
https://rapidapi.com/idfy-idfy-default/api/indian-bank-account-verification/,2021-11, IDfy ,Indian Bank Account Verification,"With the Bank Account Verification solution, you can now onboard with confidence knowing that that the individual’s/ merchant’s account details you have are genuine and indeed belong to the individual/ merchant that you are onboarding, thereby reducing the potential of fraud. Couple it with our Cheque OCR API to make your bank account verification process seamless and instant.",9.6,127 ms,100%
https://rapidapi.com/1ex-1ex-default/api/cryptoinfo/,2023-03, 1EX ,CryptoInfo,We collect news from more than 30 crypto/financial sources and process them using neural networks. We estimate news sentiment and uniqueness and provide text summarization along with other informative indicators.,9.7,"1,700 ms",39%
https://rapidapi.com/solutionsbynotnull/api/currency-converter18/,2021-11, Not Null ,Currency Converter,Convert between 160+ Currencies,9.8,174 ms,100%
https://rapidapi.com/manwilbahaa/api/yahoo-finance127/,2023-11, Yahoo Finance ,Yahoo Finance,Access Yahoo Finance Realtime Stock Price | Options | ESG | Trends | Statistics | Earnings | Balance Sheets | Analytics | Asset Profile and much more,9.9,429 ms,99%
https://rapidapi.com/MarketCI/api/marketci-analytics/,2022-11, MarketCI ,MarketCI Analytics,"Stock Market Endpoint for Price Forecasts, Probability, Cash Flow Models , and Peer Comps",9.6,136 ms,100%
https://rapidapi.com/rewardsccapi/api/rewards-credit-card-api/,2023-10, Rewards CC ,Rewards Credit Card API,"An API that provides information about credit card sign-up bonuses, spend categories, redemption categories, rewards, benefits, card images and much more!",9.5,459 ms,100%
https://rapidapi.com/egy1st/api/number2words4/,2023-05, egy1st ,Number2Words,Convert any digit's number into the equivalent words,9.6,340 ms,100%
https://rapidapi.com/eng.ekeyrouz/api/currenciesexchangerateapi/,2023-03, Elie keyrouz ,CurrenciesExchangeRateAPI,"CurrenciesRatesAPI is a RESTful API that provides currency conversion and exchange rate information.This API is organized around REST. Our API has predictable resource-oriented URLs, accepts form-encoded request bodies, returns JSON-encoded responses.",9.5,"23,365 ms",94%
https://rapidapi.com/NovusAPI/api/crypto-news16/,2023-09, NovusAPI ,crypto-news,Get the latest crypto news direct from your preferred sources. (non-scraped),9.8,"2,294 ms",100%
https://rapidapi.com/sameer.kumar/api/pan-kyc-status-cams-karvy-cvl-ndml-dotex/,2021-11, Sameer Kumar ,PAN KYC Status - CAMS Karvy CVL NDML Dotex,"API to check PAN KYC Status Enquiry from CAMS, Karvy, NDML Dotex (Mutual Funds, and more)",9.5,"3,166 ms",97%
https://rapidapi.com/emir12/api/economic-events-calendar/,2023-05, CoinSpot ,📅 Economic Events Calendar 🚀,Get complete list of all economic events. Filter by countries & dates,9.7,313 ms,100%
https://rapidapi.com/apininjas/api/crypto-price-by-api-ninjas/,2023-05, API Ninjas Team ,Crypto Price by API-Ninjas,Get current price data for hundreds of cryptocurrencies. See more info at https://api-ninjas.com/api/cryptoprice.,9.5,438 ms,100%
