API链接,Update_Time,Author,API名称,API描述,API Popularity,API Latency,API Service Level
https://rapidapi.com/cargoai-cargoai-default/api/air-cargo-co2-track-and-trace/,2023-10, CargoAi ,Air Cargo CO2 Track And Trace,Track your Air Cargo shipments and measure CO2 with more than 190 airlines,9.8,"12,462 ms",76%
https://rapidapi.com/PostalNinja/api/postal-ninja/,2023-04, PostalNinja ,Postal Ninja,Official Postal Ninja tracking API for developers,9.8,154 ms,100%
https://rapidapi.com/kijamve/api/transportistas-de-argentina/,2023-10, Kijam López ,Transportistas de Argentina,"Obten las oficinas, localidades y precios de tus envios en Argentina para Andreani, Oca y Correo Argentino.",9.8,266 ms,100%
https://rapidapi.com/cargoai-cargoai-default/api/air-cargo-schedule-and-rate/,2023-09, CargoAi ,Air Cargo Schedule and Rate,Find Air Cargo Availability and Rates from over 90 airlines and counting!,9.6,"6,952 ms",100%
https://rapidapi.com/apidojo/api/trackingmore/,2023-01, Api Dojo ,TrackingMore,All-in-one global package tracking tool. Support track and trace international 472 couriers.,9.6,"4,202 ms",100%
https://rapidapi.com/colinnn/api/order-tracking/,2021-11, colinnn ,Order Tracking,Track packages from over 600 couriers worldwide. Get shipment info easily from official site.,9.8,263 ms,100%
https://rapidapi.com/kargomneredeco/api/kargom-nerede/,2021-11, Kargom Nerede ,Kargom Nerede,"Türkiye'deki kargo şirketlerini Aras Kargo, Yurtiçi Kargo, Sürat Kargo, PTT Kargo, MNG Kargo, HepsiJet, TrendyolExpress, UPS Kargo, ByExpress Kargo, Kolay Gelsin, Horoz Lojistik, CanadaPost, DHL Kargo, Fedex, TNT Kargo, Usps, Yanwen, AliExpress, Ceva Lojistik, İnter Global Kargo, Kargoİst, Jetizz takip edebilirsiniz.",9.2,"1,157 ms",91%
https://rapidapi.com/digital-insights-digital-insights-default/api/motor-carrier-search/,2022-11, API BROKERS ,Motor Carrier Search,"Search truckers and trucking companies by their License Plates, US DOT numbers, Name Search or even VIN number search",9.2,532 ms,100%
https://rapidapi.com/legomatrix/api/epc-decoder/,2023-02, legomatrix ,EPC Decoder,"EPC translation tool, This API translates Electronic Product Code's (EPC), following the GS1 EPC Tag Data Standard (TDS) 1.13. An EPC (Electronic Product Code) is a unique identification number that is assigned to a product or item, similar to a barcode. It is used to track and identify products in supply chain management and inventory systems using RFID technology. EPCs can be used to track the movement of products through the supply chain, from the manufacturer to the retailer, and can pr...",8.7,24 ms,100%
https://rapidapi.com/sarkedev-ltd-sarkedev-ltd-default/api/canadian-postal-code-lookup/,2022-11, SarkeDev-Ltd ,Canadian Postal Code Lookup,Canadian Postal Code Lookup and Address Validation,8.6,705 ms,100%
https://rapidapi.com/geoapify-gmbh-geoapify/api/route-optimization/,2021-11, Geoapify GmbH ,Route optimization,"Calculate fastest driving, cycling, walking or multimodal public transportation route between locations",9.4,450 ms,100%
https://rapidapi.com/bomcarteiro/api/rastreamento-de-pacotes-nos-correios/,2023-09, Bom Carteiro ,Rastreamento de Pacotes nos Correios,API destinada a retornar as informações de pacotes nos Correios,9.2,"1,418 ms",94%
https://rapidapi.com/geoapify-gmbh-geoapify/api/calculate-service-area/,2021-11, Geoapify GmbH ,Calculate service area,"Catchment and service areas estimation. Identify blind spots, find optimal warehouse locations and more.",9.2,858 ms,100%
https://rapidapi.com/trueway/api/trueway-vrp/,2021-11, TrueWay Team ,TrueWay VRP,Solving the vehicle routing problem (multi-vehicle route optimization).,9.0,"4,188 ms",100%
https://rapidapi.com/cargoai-cargoai-default/api/air-cargo-route-and-schedule/,2023-07, CargoAi ,Air Cargo Route and Schedule,Get latest routes and schedules from more than 630 airlines,9.4,"5,594 ms",100%
https://rapidapi.com/cargoai-cargoai-default/api/cargo2zero/,2023-08, CargoAi ,Cargo2ZERO,"Introducing Advanced APIs for CO2 Emissions & Efficiency Metrics, based on our air cargo tracking data. Seize the Opportunity: Run your AWBs or flight data through our cutting-edge API to easily understand where you can make CO2 “savings” for the future on top of doing your required sustainability reporting. Precision in Action: Our CO2 calculations delve into the details of each shipment leg, going beyond just taking into account the departure and arrival airports. Empower Your Choices: H...",8.6,"1,015 ms",100%
https://rapidapi.com/opt-nc-opt-nc-default/api/suivi-colis/,2023-04, OPT-NC for developers ,suivi-colis,L'API de suivi des colis en Nouvelle-Calédonie,9.2,"1,487 ms",98%
https://rapidapi.com/dnestrx-dnestrx-default/api/pridnestrovie-post/,2021-11, DnestrX ,Pridnestrovie Post,Transnistria parcel tracking,9.4,433 ms,100%
https://rapidapi.com/dev-8SMIA-cJK/api/zebra-code/,2023-11, Nara Wira Digital ,Zebra Code,An easy-to-use Barcode & QR generation service that supports various popular barcode types.,9.3,864 ms,100%
https://rapidapi.com/brunoaramburu/api/correo-argentino1/,2023-10, brunoaramburu ,Correo Argentino,Calcula gratis el costo de envio de correo argentino. Obtene las sucursales de correo argentino en todo el pais.,9.3,417 ms,99%
https://rapidapi.com/alex-datawise/api/gs1parser/,2021-11, Alex ,GS1Parser,Parse and validate GS1 barcode data,8.6,"3,642 ms",100%
https://rapidapi.com/opt-nc-opt-nc-default/api/transitaires/,2023-03, OPT-NC for developers ,Transitaires,Transitaires de dédouanement en Nouvelle-Calédonie,9.3,711 ms,100%
https://rapidapi.com/ufukatbas/api/turkey-postal-codes/,2021-11, Ufuk BAŞER ,Turkey Postal Codes,Turkey's postal codes.,8.9,"1,168 ms",93%
https://rapidapi.com/rdrunnerxx/api/trackservice/,2021-11, Mehdi Shakeri ,TrackService,"Route optimization & dispatching of multiple vehicles and multiple stops. Use TrackRoad API to optimize 100's of stops in seconds, distance calculation, turn-by-turn directions, and geocoding. Real-time asset tracking & two-way texting are provided using either web interface, free iPhone app or Android app. Routing features include intelligent dispatching, multiple region routing, time window, load capacity balancing, auto address geocoding, highlighted route maps and much more.",8.3,"1,600 ms",100%
