API链接,Update_Time,Author,API名称,API描述,API Popularity,API Latency,API Service Level
https://rapidapi.com/trueway/api/trueway-matrix/,2023-08, TrueWay Team ,TrueWay Matrix,Calculate distances and durations between a set of origins and destinations.,9.9,244 ms,100%
https://rapidapi.com/MapTilesApi/api/maptiles/,2023-08, Support@MapTilesApi ,MapTiles,"Map Tiles for interactive online maps based on data by OpenStreetMap contributors with labels in English, French or Spanish.",9.9,146 ms,100%
https://rapidapi.com/trueway/api/trueway-directions2/,2023-08, TrueWay Team ,TrueWay Directions,Find the best route between two or more locations,9.8,429 ms,100%
https://rapidapi.com/acrogenesis-llc-api/api/mexico-zip-codes/,2023-07, acrogenesis-llc ,Mexico ZIP Codes,,9.7,79 ms,100%
https://rapidapi.com/opentripmap/api/places1/,2022-11, opentripmap ,Places,Over 10 million tourist attractions and facilities around the world,9.8,367 ms,100%
https://rapidapi.com/Distance.to/api/distance/,2023-08, Distance.to ,Distance,"Introducing DistanceAPI, a versatile API that calculates distances between addresses, postcodes, and cities for airline, car, and maritime routes. Geocoding included.",9.8,"14,072 ms",77%
https://rapidapi.com/Noggle/api/reverse-geocoding-and-geolocation-service/,2021-11, Lars von Thienen ,Reverse Geocoding and Geolocation Service,"Find nearest or largest city information or timezone for any given point location (latitude/longitude). The reverse geocode API back ""reverse"" codes any GPS location point into nearest or largest readable places with county, city, distance and population.",9.9,730 ms,100%
https://rapidapi.com/VanitySoft/api/ca-boundaries-io/,2021-11, Boundaries-io ,ca.boundaries.io,"CA Postal Code(ex. T6H, or A0A0A1 ), FSA and LDU, Boundaries API: A simple & very fast API that will allow you to integrate multiple GeoJson CA FSA and LDU level boundaries result into your apps and systems. This API is designed to be used programatically for optimal performance. When using the MashApe UI for queries expect significant latency issues on large result sets!",9.7,911 ms,100%
https://rapidapi.com/VanitySoft/api/uk-boundaries-io/,2021-11, Boundaries-io ,uk.boundaries.io,"UK Postal Code(ex. ZE1 0AE), Sector, District, Boundaries API: A simple & very fast API that will allow you to integrate multiple GeoJson UK Unit and sector level boundaries result into your apps and systems. This API is designed to be used programatically for optimal performance. When using the MashApe UI for queries expect significant latency issues on large result sets!",9.5,240 ms,100%
https://rapidapi.com/VanitySoft/api/boundaries-io-1/,2023-11, Boundaries-io ,boundaries-io,"US Zipcode, County, City, and State Boundaries API: A simple & very fast API that will allow you to integrate multiple GeoJson US boundaries results into your apps and systems. This API is designed to be used programatically for optimal performance. When using the MashApe UI for queries expect significant latency issues on large result sets!",9.9,445 ms,100%
