API链接,Update_Time,Author,API名称,API描述,API Popularity,API Latency,API Service Level
https://rapidapi.com/softrix-technologies-dnschecker/api/mac-address-lookup1/,2022-11, Softrix Technologies ,MAC Address Lookup,"Provide Company name, address, MAC address range, MAC address prefix",9.7,81 ms,100%
https://rapidapi.com/swami.ayushing1/api/webup/,2023-05, Ayush Swami ,WebUp,API to check if a web server is up or down & to detect a keyword on a URL.,9.5,"1,383 ms",98%
https://rapidapi.com/apidojo/api/similar-web/,2023-09, Api Dojo ,Similar Web,"This API helps you to query website traffic and key metrics for any website, including engagement rate, traffic ranking, keyword ranking and traffic source... to create a plugin like similarweb.com",9.9,"1,140 ms",100%
https://rapidapi.com/digicatech/api/check-ssl/,2023-10, digicatech ,Check SSL,"Get information about SSL Certificate validity, issuer,remaining time.",9.6,809 ms,100%
https://rapidapi.com/abdheshnayak/api/counter10/,2023-08, Abdhesh Nayak ,Counter,Count views on your website or any other specific action on your application.,9.6,627 ms,100%
https://rapidapi.com/atenreiro/api/opensquat1/,2023-11, Andre Tenreiro ,openSquat,The openSquat is an open-source project for phishing domain and domain squatting detection by searching daily newly registered domains impersonating legit domains.,9.6,"11,531 ms",99%
https://rapidapi.com/rogerkingdom10/api/world-population-by-decade-and-growth-rate/,2021-11, Patrick Kisitu ,world population by decade and growth rate,world population by decade and growth rate,9.0,548 ms,100%
https://rapidapi.com/peekdomainapi/api/newly-registered-domains3/,2023-06, Ahmet Sen ,Newly Registered Domains,Newly Registered Domains API (v1) lets you check which domains have been added.,9.0,"2,822 ms",100%
https://rapidapi.com/ailabapi-ailabapi-default/api/skin-analyze/,2023-09, AILabTools ,Skin analyze,"Analysis of skin condition, such as skin color, skin texture, double eyelids, eye bags, dark circles, wrinkles, acne, spots, etc.",9.4,"1,532 ms",100%
https://rapidapi.com/leonkura/api/simple-email-notifications/,2022-11, leonkura ,Simple Email Notifications,Notify on cronjob failure. Notify when command execution finished or failed. And more...,9.0,144 ms,100%
https://rapidapi.com/oRastor/api/i-am-alive/,2022-11, Rastor ,I Am Alive,Just send regular information that the point is alive and receive notification if the point was not alive for a specified period of time.,9.1,111 ms,100%
https://rapidapi.com/orfalijr-wMxTLQe_NER/api/ics-cert-advisories/,2021-11, Pascal Orfali ,ICS-CERT Advisories,"An API to retrieve advisories for Industrial Control Systems that provide timely information about current security issues, vulnerabilities, and exploits from CISA.gov.",8.8,"5,924 ms",100%
https://rapidapi.com/apidojo/api/price-tracking-tools/,2022-11, Api Dojo ,Price Tracking Tools,This API currently helps to query for prices of products from Amazon. We will support more other sites/brands soon. Stay tune!,8.9,"1,481 ms",100%
https://rapidapi.com/dataocean/api/domain-authority-pro1/,2023-11, dataocean ,Domain Authority Pro,Best price 🚀 High quality data ✅ Full API integration support 🚑 Access to the domain Doman Authority and much more!,9.4,69 ms,100%
https://rapidapi.com/dataocean/api/domain-metrics-pro1/,2023-11, dataocean ,Domain Metrics Pro,"Best price 🚀 High quality data ✅ Full API integration support 🚑 Dive deep into critical domain SEO metrics DA, PA & more",9.4,76 ms,100%
https://rapidapi.com/zagfox/api/ssl-certificate-checker3/,2023-10, ZagFox Technologies Pvt. Ltd. ,SSL Certificate Checker,"This API is your go-to solution for retrieving vital information about a website's SSL certificate. Easily obtain details such as validity, issuer, and remaining usage days. Stay informed and secure your web connections with our SSL Certificate Checker, your trusted SSL certificate companion.",8.7,386 ms,92%
https://rapidapi.com/petarraznatovic7/api/mx-email-server-up-or-down/,2022-11, Petar Raznatovic ,MX - Email server UP or DOWN,With this API you can check if email server exist or not on some domain.,8.8,"3,310 ms",100%
https://rapidapi.com/nusantaracode1-nusantaracode-default/api/marine-radar/,2023-07, nusantaracode ,Marine Radar,"Marine Radar API is a service that provides access to marine radar data through an application programming interface (API). This product is specifically designed to provide accurate and real-time information about maritime navigation conditions, including information about objects around a ship or specific waterways.",9.2,"1,290 ms",100%
https://rapidapi.com/baric/api/known-exploited-vulnerabilities/,2023-08, baric ,Known Exploited Vulnerabilities,"The script offers a range of API endpoints that allow users to retrieve and filter this vulnerability data based on different parameters. Users can query the data by specific dates, CVE names, vendors, products, descriptions, and due dates. The API handles these requests and responds with JSON data containing the relevant vulnerability information. In summary, the script facilitates the retrieval of important cybersecurity information about known vulnerabilities and provides a user-friendly ...",8.5,"59,892 ms",100%
https://rapidapi.com/rahul4real/api/scan-web-heades-api/,2023-01, rahul4real ,Scan Web Heades API,This API takes domain name as parameter and returns headers status as response,9.2,"1,407 ms",100%
https://rapidapi.com/rowsanonline/api/youtube-classification-api/,2022-11, shark ,Youtube classification api,"Train your own machine learning project Stop wasting time scrolling through a list of videos. Use our Youtube classification API to get the information you need in the most efficient way possible. With our API and your favorite programming language, you can classify videos into like count, comment count, and rating count so that you can find what you're looking for in no time.",9.2,760 ms,100%
https://rapidapi.com/sharmilaMurali/api/corona-updates/,2021-11, sharmilaMurali ,Corona Updates,Short analysis on corona virus spread across world,9.0,"1,796 ms",100%
https://rapidapi.com/opt-nc-opt-nc-default/api/temps-attente-en-agence/,2023-10, OPT-NC for developers ,Temps attente en agence,API permettant de en direct les temps d'attente en agence,8.9,503 ms,100%
https://rapidapi.com/naya5star/api/employee-leaves1/,2023-10, Super Star ,Employee Leaves,This is for mock API for employee leaves monitorization,8.8,6 ms,100%
https://rapidapi.com/farmonaut-technologies-private-limited-farmonaut-technologies-private-limited-default/api/farmonaut-satellite-and-weather-data1/,2021-11, Farmonaut Technologies Private Limited ,Farmonaut Satellite and Weather Data,Get Your Unique ID and start using the API.,9.0,"5,238 ms",80%
https://rapidapi.com/ai-box-ai-box-default/api/web-monitoring-service/,2021-11, AI Box ,Web Monitoring Service,Monitor the Web for interesting new content,8.1,"3,865 ms",100%
https://rapidapi.com/kasuken/api/about-my-ip/,2021-11, kasuken ,About My IP,Connection information about an IP Address,8.4,"19,567 ms",62%
https://rapidapi.com/infiniteloop/api/pages-hosted-on-domain/,2023-07, Fiach Reid ,Pages hosted on domain,"Find web pages hosted on a domain, including historic pages.",8.2,799 ms,100%
https://rapidapi.com/jeandrewswart-aZ-_d-FG3-U/api/oh-fudge/,2021-11, Jeandrew Swart ,Oh Fudge,Check if your webpage is Alive or Dead!,,,
https://rapidapi.com/4thel00z/api/whats-my-ip3/,2023-09, ransomware ,Whats my IP,External IP service,8.4,67 ms,100%
https://rapidapi.com/richardbellairs/api/building-simulator/,2023-08, Richard Bellairs ,Building Simulator,Simulates the floor of an office building. Supplies dynamic virtual sensor measurements for indoor air quality and people counting.,,,
https://rapidapi.com/quodlibet/api/publiccloudwatchdashboard/,2021-11, quodlibet ,PublicCloudwatchDashboard,Make a AWS Cloudwatch Dashboard Public,,,
https://rapidapi.com/situmeang92fs-QuRWkLSe4Yd/api/count-characters-string/,2021-11, jeremiando S ,Count Characters String,This API use for counting String,8.3,6 ms,100%
https://rapidapi.com/dtshipping2021/api/marinetraffic1/,2021-11, DT Shipping ,MarineTraffic,Ships,8.2,684 ms,100%
https://rapidapi.com/FreyaJin/api/patient/,2021-11, FreyaJin ,Patient,Patient Database Management,,,
https://rapidapi.com/jsavajols/api/get-public-ip/,2021-11, jsavajols ,Get public IP,Get my public IP,8.0,658 ms,100%
https://rapidapi.com/Katlego909/api/getverification/,2022-11, Katlego909 ,getVerification,Verification for allowance of personnel,,,
https://rapidapi.com/gf.regalado/api/test6582/,2021-11, Gonçalo Regalado ,Test,Test,,,
https://rapidapi.com/ExoWatts/api/porn-filter2/,2022-11, ExoWatts ,Porn Filter,Check if a website contains adult content.,,,
https://rapidapi.com/NeilMOconnell/api/cryptocurrency-markets1/,2022-11, NeilMOconnell ,Cryptocurrency Markets,"Live price charts, trading and alerts for cryptocurrencies like Bitcoin (BTC) and Ethereum (ETH) on Kraken, Coinbase Pro, Binance, and more.",,,
https://rapidapi.com/m1kx/api/universal-easy-webhooks/,2023-02, m1kx ,Universal / Easy Webhooks,Simplify your application by just having 1 endpoint for all types of webhooks / requests,,,
https://rapidapi.com/interzoid/api/global-page-load/,2021-11, Interzoid ,Global Page Load,"Provides a timed, browser-simulated page load function or API call round-trip from the specified geography using a server from that geography.",,,
https://rapidapi.com/bigdatacloud-pty-ltd-bigdatacloud-pty-ltd-default/api/tor-exit-nodes-geolocated/,2022-11, BigDataCloud Pty Ltd ,Tor Exit Nodes Geolocated,This API returns the list of active Tor exit nodes geolocated to country-level along with active carrier information.,,,
https://rapidapi.com/sixbladeknife/api/agri-index-data/,2022-11, sixbladeknife ,Agri Index Data,"This API provides data for agricultural purposes, from Sentinel 2 satellites data to elaborate agronomic index",,,
https://rapidapi.com/sunandmoon/api/ssl-snitch/,2021-11, sunandmoon ,SSL Snitch,The easy way to monitor SSL certificate expirations.,2.0,"1,173 ms",100%
https://rapidapi.com/andychen-nBn3-aYqo/api/screenshot-maker/,2023-09, Andy Chen ,Screenshot Maker,Take perfect screenshot from websites. Powered by nodejs The service work through proxy servers. Use proxyCountry : europe Or proxyState : france | spain otherwise it will pick one randomly,2.1,"9,653 ms",68%
https://rapidapi.com/PenTesting/api/secureforest/,2021-11, Vadim Toptunov ,SECUREFOREST,Risk Scoring for the Internet of Everything.,,,
https://rapidapi.com/GuillaumeSMedia/api/network-tools/,2021-11, Guillaume ,Network Tools,Provides network utilities,,,
https://rapidapi.com/trigger1610/api/exchange-rate-api2/,2023-01, Dmitry Kovalev ,Exchange Rate API,Exchange Rates from Investing.com web site It gets the ability to know the current exchange rate for specific pair of currency.,0.0,121 ms,0%
https://rapidapi.com/saumarpe/api/crypto-domain-ownership/,2021-11, blockchaindev ,Crypto Domain Ownership,Get metadata and owner's wallet for NFT/Blockchain domains at scale.,,,
https://rapidapi.com/ApisbyET/api/latest-earthquakes/,2021-11, ApisbyET ,Latest Earthquakes,"Last earthquakes, date, latitude, longitude, magnitude and depth",0.0,220 ms,0%
https://rapidapi.com/francoisgreeff16-Pg1uIyWnxxl/api/stack-overflow-monitor/,2021-11, Francois Greeff ,stack overflow monitor,"an api retrieving the top questions from stack overflow from the home page categories, (bounty, interesting, week top), providing the question, number of answers and URL.",,,
https://rapidapi.com/the-api-arena-the-api-arena-default/api/ssl-certificate-checker/,2021-11, The API Arena ,SSL Certificate checker,"Get information about SSL Certificate validity, issuer, etc.. from your domain name.",0.0,13 ms,0%
https://rapidapi.com/dataleakmonitor/api/ip-advanced-toolkit/,2021-11, DLM ,IP Advanced Toolkit,IP Advanced Toolkit,,,
https://rapidapi.com/x89527319287-cPziBw35DeT/api/test6733/,2021-11, a a ,Test,Testing api,,,
https://rapidapi.com/ecuneyt/api/subjson/,2021-11, ecuneyt ,subjson,Provides subdomains in JSON from top selected companies that offers a bug bounty program.,,,
https://rapidapi.com/Maryline/api/crypto-currency-live-prices/,2021-11, Maryline ,Crypto Currency live Prices,An API showing all the latest prices of cryptocurrencies,,,
https://rapidapi.com/mkdeveloper/api/website-malware-and-security-checker1/,2022-11, ,Website malware and security checker,"Check your site for malware and indicators of compromise can help you keep tabs on your website’s security and focus your perspective to identify security related issues. Quick response to threats help maintain SEO rankings, organic traffic, brand reputation, and protect website visitors from harm.",,,
https://rapidapi.com/MSnoeren/api/ssl-certificate/,2021-11, MSnoeren ,SSL Certificate,Retrieve information about a domain's certificate.,,,
https://rapidapi.com/botmaker.pro/api/ssl-checker/,2021-11, Alex ,SSL Checker,Get all sensitive data about any public SSL certificate,0.1,334 ms,100%
https://rapidapi.com/olehmirosh/api/plerdy/,2021-11, Oleh Mirosh (JonnyB) ,Plerdy,Plerdy ( https://www.plerdy.com/ ) is multifunctional SaaS solution for an improvement of conversion on websites.,,,
https://rapidapi.com/adriens/api/eaux-baignade-noumea/,2021-11, SALES ,eaux-baignade-noumea,"API sur la qualité des eaux de baignade des plages à Nouméa. Permet de savoir si la baignade est autorisée, déconseillée ou interdite",,,
https://rapidapi.com/itvisualmediamonitor/api/searchingwebrequest/,2021-11, Software Developer ,SearchingWebRequest,We need to search text using Specific keyword,,,
https://rapidapi.com/cryptocurrencyalerting/api/cryptocurrency-alerting/,2021-11, CryptocurrencyAlerting ,Cryptocurrency Alerting,"Track crypto & bitcoin price movements, exchange listings alerts, wallet monitoring and btc network health. Visit https://cryptocurrencyalerting.com/rest-api.html to get an API token.",,,
https://rapidapi.com/adriens/api/scalair-nc/,2021-11, SALES ,scalair-nc,"API de Scalair NC, les indices de qualité de l'air",0.0,216 ms,100%
https://rapidapi.com/whoisapi/api/domain-whois-registrant-alert-v2/,2021-11, Whois XML API ,Domain Whois Registrant Alert v2,Registrant Alert API (v2) lets you check which domains have been added or disposed of for the registrants you define as search criteria.,,,
https://rapidapi.com/whoisapi/api/domain-whois-brand-alert-v2/,2021-11, Whois XML API ,Domain Whois Brand Alert v2,"Brand Alert API (v2) lets you monitor the exact matches, close variations, and common misspellings related to your brand and trademarks' domain names.",,,
https://rapidapi.com/hanyamoustafagefcic/api/iaqwifiapp/,2021-11, Hanya Moustafa ,iaqwifiapp,Indoor air quality app to help asthmatics,,,
https://rapidapi.com/gf.regalado/api/isbin-ba-api/,2021-11, Gonçalo Regalado ,ISBIN-BA-API,A Public API to access data generated by ISBIN in Bairro Alto,,,
https://rapidapi.com/mdamirhossainau/api/certficate/,2023-01, Mohammad Amir Hossain ,Certficate,Get the SSL certificate details of any public host. The binding of the certificate should be on port 443,0.0,953 ms,16%
https://rapidapi.com/zedjeep/api/devbrewer-horoscope/,2021-11, Saptarshi Mazumdar ,Devbrewer Horoscope,A horoscope API for all purpose,0.1,463 ms,100%
https://rapidapi.com/alloygodwin1/api/covid-19-v1/,2021-11, Godwin L ,COVID-19 V1,COVID-19 API v1 built to track global corona virus outbreak.,,,
https://rapidapi.com/kloudless-kloudless-default/api/kloudless-activity-monitoring/,2021-11, Kloudless ,Kloudless Activity Monitoring,"One Monitoring API for Any Cloud App: Dropbox, Box, Google Drive, Slack, MS Teams, Salesforce, Office 365, SharePoint",,,
https://rapidapi.com/Yatko/api/coronavirus-map/,2021-11, Yatko ,coronavirus map,"Coronavirus API with free COVID-19 live updates. The best free coronavirus API and COVID-19 update source. Programmatically access live corona virus updates for statistics with historical data, maps, charts, graphs. COVID-19 API and corona virus live updates.",0.1,22 ms,0%
https://rapidapi.com/subhashambee/api/ambee-soil-data/,2021-11, Team Ambee ,Ambee Soil Data,Global real-time soil API. Integrate soil API for global real-time soil information. Test an API call. Get accurate & actionable data insights.,0.1,214 ms,100%
https://rapidapi.com/youssryk2020/api/mboum/,2021-11, youssry khalil ,mboum,"Mboum - Stock Screener and APIs for realtime stock, options ...",,,
https://rapidapi.com/subhashambee/api/ambee-pollen-data1/,2021-11, Team Ambee ,Ambee Pollen Data,World’s first-ever pollen API. Integrate Pollen API for global hyper-local real-time data on pollen count. Test an API call. Get accurate & actionable data insights.ollen count. Test an API call. Get accurate & actionable data insights.,0.0,415 ms,100%
https://rapidapi.com/andrejplavsic3-ozcdQGI7M5U/api/weather-request/,2021-11, Andrej Plavsic ,Weather Request,"Restful API for getting weather information, city and country name, weather type, current date and time.",0.1,932 ms,100%
