API链接,Update_Time,Author,API名称,API描述,API Popularity,API Latency,API Service Level
https://rapidapi.com/dotero27022001/api/movies-app1/,2023-10, Jesus Cotito ,Movies App,"Get movie information easily, including trailers, translations and embedded videos.",9.6,"2,233 ms",100%
https://rapidapi.com/amrelrafie/api/movies-tv-shows-database/,2023-02, TechView ,Movies Tv Shows Database,"Get Movies and TV Series and shows data. our API have concrete & big database. All Movies , Films & TV Series and Shows metadata, images, posters, background images, TV Series Schedules, actors, cast, directors, trailers, ratings, IMDB ID, Boxoffice movies, Production company and more. Results are in JSON format. we are continuously updating our database records to deliver good service quality. It will help you build a movie, series, streaming, reviews content site or application easily.",9.8,830 ms,100%
https://rapidapi.com/animeslayerquiz/api/similar-movies/,2022-11, Medcode ,Similar Movies,Find similar movies and series,9.6,"2,802 ms",74%
https://rapidapi.com/movie-of-the-night-movie-of-the-night-default/api/streaming-availability/,2023-10, Movie of the Night ,Streaming Availability,"Netflix, Prime, Disney, HBO, Hulu and many others. Lookup which shows are available on streaming services across 60 countries",9.9,587 ms,100%
https://rapidapi.com/contactazguer/api/movie-database-imdb/,2023-09, azguer service ,Movie Database IMDb,"Retrieve and manage the data of the IMDb movie database about movies, people, characters and companies. Sentiment Analysis for IMDb user reviews is included.",9.5,"1,550 ms",100%
https://rapidapi.com/selcukguler0/api/one-piece2/,2022-11, selcukguler0 ,One Piece,One Piece - Api,9.6,"1,263 ms",100%
https://rapidapi.com/Glavier/api/netflix54/,2023-09, Glavier ,Netflix,"Netflix data API provides details, stats and information of TV shows, movies, series, documentaries and more.",9.8,"1,497 ms",100%
https://rapidapi.com/mikechen342/api/movie-tv-music-search-and-download/,2023-09, Mythical Frog ,"Movie, TV, music search and download","Retrieve multiple downloadable torrent links by searching for keywords related to movies, TV shows, and music titles, with a rating of 10 indicating the highest quality. Download through uTorrent, BitTorrent, and various other clients.",9.8,446 ms,100%
https://rapidapi.com/yassinezaza20/api/imdb-top-100-movies1/,2023-07, API Solutions ,IMDb top 100 movies,This is a simple API for IMDb top 100 movies,9.7,710 ms,100%
https://rapidapi.com/elisbushaj2/api/movies-api14/,2023-09, Elis ,Movies API,"Experience the future of entertainment data integration with our premium API solution. Elevate your application's capabilities with seamless access to comprehensive movie and TV show information, boasting advanced filtering options. Our API is the definitive source for crucial streaming service data, including Netflix, Prime, Disney, HBO, Hulu, and many others. Empower your users to effortlessly discover the latest content available on their preferred platforms. Stay at the forefront of the ...",9.6,624 ms,99%
https://rapidapi.com/jakash1997/api/advanced-movie-search/,2022-11, Akash Joshi ,Advanced Movie Search,"Search for movies via advanced queries like genre, name, etc. And get all their details",9.7,393 ms,100%
https://rapidapi.com/soyamchinglemba/api/imdb_api4/,2023-06, Soyam Chinglemba ,IMDB_API,"This API is a powerful tool that provides access to the top 250 movies as rated by IMDB users. With this API, you can search for movies by title, year, directors, and cast. Retrieve detailed information about each movie, including ratings, genres, and more. By integrating our API into your applications or services, you can offer users an enhanced movie search and discovery experience, opening up exciting possibilities for building movie-related platforms.",9.6,508 ms,100%
https://rapidapi.com/dotero27022001/api/global-movies-api-hub/,2023-09, Jesus Cotito ,Global Movies Api Hub,"Explore data from more than 11,000 movies and 2,000 series easily with our API. Our movie collection is updated daily, giving you access to always-up-to-date information, including trailers and embedded videos. Available in languages: Spanish, English and Portuguese.",9.6,885 ms,100%
https://rapidapi.com/gox-ai-gox-ai-default/api/ott-details/,2022-11, GoX-ai ,OTT details,"Get Streaming details of Movie and TV Shows. We support 150+ Streaming platforms in US and India such as HBO, YouTube, Netflix , Primve Video, Hotstar, Hulu, etc . (use our OTT Providers endpoint to get the full list OTT providers we support) . In additon to streaming info we also provide basic details on any given movie title.",9.8,321 ms,100%
https://rapidapi.com/brian.rofiq/api/anime-db/,2023-06, BrianRofiq ,Anime DB,"Complete anime data. Ranking, synopsis, genre, search by title. Over 20k data updated everyday",9.8,951 ms,99%
https://rapidapi.com/SAdrian/api/moviesdatabase/,2023-11, Adriano Massimo ,MoviesDatabase,"MoviesDatabase provides complete and updated data for over 9 million titles ( movies, series and episodes) and 11 million actors / crew and cast members",9.9,408 ms,100%
https://rapidapi.com/flashbomberapp/api/imdb-search2/,2023-11, Flash Bomber ,IMDB Search,Get All details by just movie name ;),9.7,705 ms,100%
https://rapidapi.com/zainab7681051/api/disney-animation-movies-api/,2023-09, zainab7681051 ,Disney Animation Movies API,API for retrieving information about Disney Animation movies,9.6,"1,155 ms",100%
https://rapidapi.com/SAdrian/api/moviesminidatabase/,2023-11, Adriano Massimo ,MoviesMiniDatabase,"Lightweight database of movies, series and episodes informations. The data provided is no longer maintained or updated, only for development purposes or services/apps that do not rely on data that is subject to modifications.",9.9,598 ms,100%
https://rapidapi.com/mack06/api/filmaffinity-unofficial/,2022-11, mack06 ,filmaffinity unofficial,Filmaffinity unofficial API - BETA,9.5,"3,406 ms",100%
https://rapidapi.com/KASO/api/where-can-i-watch1/,2022-11, KASO ,Where can I watch,Search or lookup streaming options for movies and tv-shows,9.3,"2,399 ms",99%
https://rapidapi.com/louislefebure9/api/star-wars-characters/,2022-11, Louis Lefebure ,Star Wars Characters,list of star wars characters + details,9.4,861 ms,100%
https://rapidapi.com/amandapakalniskyte/api/movies-api6/,2023-02, Amanda Pakalniškytė ,Movies API,An API showing different news about movies from various newspapers,9.1,"28,432 ms",94%
