API链接,Update_Time,Author,API名称,API描述,API Popularity,API Latency,API Service Level
https://rapidapi.com/LDVIN/api/billboard-api/,2023-04, LDVIN ,Billboard-API,"Providing the Billboard chart rankings and information on titles, artists, lyrics, images, and more.",9.8,358 ms,100%
https://rapidapi.com/Glavier/api/genius-song-lyrics1/,2023-09, Glavier ,Genius - Song Lyrics,"Genius - Song Lyrics, Artists, Albums, Knowledge & More API",9.9,719 ms,100%
https://rapidapi.com/s.mahmoud97/api/concerts-artists-events-tracker/,2022-11, Sabri ,Concerts - Artists Events Tracker,"Access live, upcoming and past music events by location, venue and artist name.",9.7,"2,852 ms",100%
https://rapidapi.com/cavsn/api/youtube-music-api-detailed/,2023-10, cavsn ,Youtube Music API (Detailed),"Detailed Youtube Music API. Lyrics, Trends, Albums, Artists, Songs, Users, Playlists, Songs etc.",9.7,"1,647 ms",47%
https://rapidapi.com/rapidspotify-rapidspotify-default/api/latest-spotify-downloader/,2023-09, rapidspotify ,Latest Spotify Downloader,Latest Spotify Downloader — Contact Us at spotify-support@logicsquares.com,9.8,"35,370 ms",75%
https://rapidapi.com/freeyourmusic-freeyourmusic-default/api/musicapi13/,2023-10, FreeYourMusic ,MusicAPI,"Spotify, Apple Music, YouTube, Amazon, Tidal, and more. Over 19 services supported. Fetch metadata for the tracks, albums, playlists from multiple streaming services via URL. Use single search endpoints to find at once on all services and get sharable URLs to all of them. MusicAPI.com",9.9,755 ms,99%
https://rapidapi.com/shahzodomonboyev0/api/shazam-api9/,2023-11, Shahzod Omonboyev (Sanjarivich) ,Shazam api,t.me/shahzodbeeck,9.5,"3,156 ms",99%
https://rapidapi.com/dpthapaliya19/api/radio-world-75-000-worldwide-fm-radio-stations/,2023-06, dhanapati thapaliya ,"Radio World - 75,000+ Worldwide FM Radio stations..","This is one of the largest collection of FM Radios API from around the world. Listen Updated 79,000+ Radio stations. All the Stations are Updating Daily & Weekly basis, New stations are Adding As soon as possible. At least 100+ Stations Are adding and 1000+ Stations are fixing to this API Weekly (This is minium ratio).",9.6,"1,570 ms",100%
https://rapidapi.com/riyanshgupta750/api/jio-saavan-unofficial/,2023-10, Riyansh Gupta ,Jio Saavan unofficial,"Unofficial Jio Saavan API, to get details of all indian songs with its audio link",9.6,"11,620 ms",74%
https://rapidapi.com/UnlimitedAPI/api/spotify-web2/,2023-03, UnlimitedAPI ,Spotify Web,"Spotify Data API for Millions of songs & podcasts, artists, albums, playlists and more.",9.7,849 ms,99%
https://rapidapi.com/Glavier/api/spotify23/,2023-11, Glavier ,Spotify,"Spotify Data API for Millions of songs & podcasts, artists, albums, playlists and more.",9.9,542 ms,100%
https://rapidapi.com/jsdisco/api/piano-chords/,2022-11, jsdisco ,Piano Chords,RESTful API for piano chords.,9.5,315 ms,100%
https://rapidapi.com/WaveTech/api/shazam-core7/,2023-09, WaveTech ,Shazam Core,"Identify any song. Discover, artists, lyrics, videos & playlists to create a song detector site/application",9.8,662 ms,89%
https://rapidapi.com/apimaker/api/billboard2/,2023-06, apimaker ,Billboard,"Billboard charts: Hot 100, Billboard 200, Billboard 200 Global, Artist 100 and more",9.5,"1,047 ms",100%
https://rapidapi.com/DevoCat/api/billboard-api5/,2023-03, Devo Cat ,Billboard API,"Billboard charts API: Weekly Billboard Hot 100, Weekly Billboard 200, Weekly Artist 100, Weekly Billboard Weekly Global 200, Weekly Catalog Albums, Weekly Independent Albums, Weekly Billboard U.S. Afrobeats Songs. Year End Hot 100 Songs, Year End Billboard 200 Albums, Year End Billboard Global 200, Year End Top Artists, Year End Top Artists – Duo/Group, Year End Top Labels, Year End Top New Artists, Year End Top Artists – Male, Year End Top Artists – Female. All Greatest of All Time Charts....",9.5,914 ms,100%
https://rapidapi.com/DataFanatic/api/soundcloud-scraper/,2023-09, DataFanatic ,SoundCloud Scraper,"An all-in-one SoundCloud scraper/downloader. Scrapes albums, playlists, profiles. Downloads uncut high-quality audios and lyrics.",9.8,883 ms,100%
https://rapidapi.com/salmanakbar264/api/spotify-downloader-api/,2023-10, Suleman Akbar ,Spotify Downloader Api,"This API provides a way to fetch detailed information about a Spotify track. By providing the Spotify track link as a query parameter, you can retrieve details such as the song title, popularity, duration in seconds, artist information, download URL, YouTube URL, and preview URL",9.6,"1,983 ms",100%
https://rapidapi.com/theaudiodb/api/theaudiodb/,2021-11, theaudiodb ,TheAudioDB,TheAudioDB.com is a community driven database of audio metadata. It is our aim to be the most simple and accurate source of Music data from all over the world. We also provide a repository of data that can be used in various types of HTPC software to make your viewing experience more visually appealing.,9.8,264 ms,100%
https://rapidapi.com/music-metrics-music-metrics-default/api/spotify-artist-monthly-listeners/,2023-07, Music Metrics ,Spotify Artist Monthly Listeners,Get the Monthly Listeners count for any artist on Spotify!,9.5,157 ms,100%
https://rapidapi.com/marcocollatina/api/youtube-to-mp315/,2023-11, Rapid87 ,YouTube to mp3,"Convert video from YouTube to audio (mp3) or video (mp4) asynchronously. REST API that allows you to convert a YouTube video to audio or video format. The links are available for a maximum period of 12 hours, after which the link is no longer available.",9.7,"1,068 ms",99%
https://rapidapi.com/420vijay47/api/spotify117/,2023-09, Vijay Prajapati ,Spotify,"(Updated July 2023) Get Spotify Tracks, Playlist & Album Details. Newly added endpoints: - Album tracks (single/multiple) -Artist details/albums -User details -Audio analysis. API is fully maintained & updated to counter known errors.",9.7,"2,780 ms",88%
https://rapidapi.com/xudoberdigayratov/api/spotify-downloader3/,2023-07, Xudoberdi G'ayratov ,Spotify Downloader,"Download tracks, albums and playlists from Spotify! The best and most reliable Spotify Downloader API on RapidAPI!",9.6,"2,109 ms",79%
https://rapidapi.com/airaudoeduardo/api/spotify81/,2023-10, CheckLeakedCC ,Spotify,"Download Spotify music from Youtube / SoundCloud. Spotify Data API for Millions of songs & podcasts, artists, albums, playlists and more.",9.9,994 ms,99%
https://rapidapi.com/apidojo/api/shazam/,2023-11, Api Dojo ,Shazam,"Identify any song. Discover, artists, lyrics, videos & playlists to create a song detector site/application such as shazam.com",9.9,"2,438 ms",100%
https://rapidapi.com/thunderapi-thunderapi-default/api/k-pop/,2023-06, ThunderAPI ,K-POP,"Get K-POP detailed songs, idol, group info!",9.7,280 ms,100%
https://rapidapi.com/music-metrics-music-metrics-default/api/spotify-track-streams-playback-count1/,2023-07, Music Metrics ,Spotify Track Streams / Playback Count,Get the stream number / play count for any song on Spotify!,9.7,491 ms,100%
https://rapidapi.com/salmanakbar264/api/soundcloud-scraper-and-downloader-api/,2023-10, Suleman Akbar ,SoundCloud Scraper and Downloader API,"This API allows you to interact with the SoundCloud platform, providing scraping and downloading capabilities for tracks. You can retrieve track information and generate download links for SoundCloud tracks.",9.5,"1,597 ms",100%
https://rapidapi.com/baogiakhuong2005/api/musicdata-api/,2023-09, Bill ,MusicData API,"Data for Youtube, Spotify music videos, tracks, albums, artist & more",9.5,"41,745 ms",97%
https://rapidapi.com/leonardosartori62/api/musiclinkssapi/,2023-09, Leonardo Sartori ,MusiclinkssApi,"Music Links is an API that aims to find a given track, album or artist in many music platforms.",9.5,"1,157 ms",79%
https://rapidapi.com/yourdevmail/api/shazam-api7/,2023-09, NextBase ,Shazam API,"Identify any song. Discover, artists, lyrics, videos & playlists to create a song detector site/application",9.8,881 ms,92%
https://rapidapi.com/DataFanatic/api/spotify-scraper/,2023-10, DataFanatic ,Spotify Scraper,"An all-in-one scraper for scraping everything on Spotify, and a highly available download solution for tracks, lyrics and episode previews.",9.9,629 ms,100%
https://rapidapi.com/songstats-app-songstats-app-default/api/songstats/,2023-11, Songstats App ,Songstats,"Music Data for Spotify, Apple Music, Amazon, Deezer, YouTube, TikTok, Instagram, Shazam, Beatport, Traxsource, SoundCloud, TIDAL, iTunes, Facebook, Twitter, Bandsintown, Songkick & more...",9.7,451 ms,100%
https://rapidapi.com/globulus-technology-globulus-technology-default/api/nigeria-radio-stations/,2021-11, Globulus Technology ,Nigeria Radio Stations,Over 400 List of Nigeria Radio Stations based on their genre and locations. List of Nigeria Radio Stations based on their genre and locations.,8.8,715 ms,100%
https://rapidapi.com/biihezron1-5ghxDw6eSBV/api/geniuslyrics-api/,2023-07, RoniibDevs ,GeniusLyrics-API,"The GeniusLyrics-API is a gateway to the world of music, lyrics, and rich annotations. With this powerful API, developers can seamlessly access an extensive database of lyrics and explore music-related data. Gain access to a vast collection of lyrics for songs across various genres and eras. Dive deep into the meaning and context behind the lyrics with the ability to access annotations, explanations, and insights provided by the Genius community. Extract valuable information about artists, al...",9.1,"3,245 ms",98%
https://rapidapi.com/contact-cmWXEDTql/api/billboard-charts-rankings/,2021-11, aimadnet ,Billboard Charts Rankings,"Billboard chart rankings API: Hot 100 Charts, Year-End Charts, Hot 100 Songs, Billboard 200 Albums, Billboard Global 200, Top Artists.",8.8,"33,997 ms",65%
https://rapidapi.com/DaddyApi/api/text-to-waveform-daddy/,2023-06, DaddyApi ,🔴 TEXT TO WAVEFORM 🔴 Daddy,"Welcome to the Text to Waveform API, a unique tool that allows you to convert any text (up to 100 characters) into a visual waveform representation. This API provides two endpoints for generating both linear and circular waveforms texttowaveform.com",8.7,"2,813 ms",100%
https://rapidapi.com/oztop/api/indie-songs-distrokid-unsigned/,2023-10, oztop ,Indie Songs : DistroKid & Unsigned,"Independent tracks with label numbers. Daily updating stats, weekly updating songs",9.1,535 ms,100%
https://rapidapi.com/herihermwn/api/50k-radio-stations/,2023-09, Heri Hermawan ,50K Radio Stations,"[Last Update Data : 12 September 2023] More than 68,000 radio stations from different countries and various genres",9.4,436 ms,100%
https://rapidapi.com/thomas-xin/api/miza/,2023-08, thomas-xin ,Miza,"A multipurpose API that includes many image, video, and audio operations. Please see https://ko-fi.com/mizabot if you'd like premium features on the Discord bot itself!",8.8,"16,089 ms",99%
https://rapidapi.com/ptwebsolution/api/youtube-music4/,2023-11, VidLab ,YouTube Music,"The YouTube Music API is a powerful and developer-friendly tool that allows seamless integration with the YouTube Music platform. With this API, developers can access a wide range of functionalities, including retrieving music metadata, fetching user playlists, searching for tracks, and accessing user engagement data. By leveraging the YouTube Music API, developers can enhance their applications, websites, or services with a vast music library, personalized playlists, and real-time data insig...",9.2,"2,000 ms",88%
https://rapidapi.com/conan7612/api/spotiscrape/,2023-07, conan7612 ,SpotiScrape,"Unlock Spotify Music Database and seamlessly access and extract music data from Spotify's vast catalog with SpotiScrape, the ultimate API for developers and music enthusiasts.",9.4,930 ms,95%
https://rapidapi.com/420vijay47/api/apple-music24/,2023-09, Vijay Prajapati ,Apple Music,Fetches songs & album data from Apple Music,9.4,785 ms,99%
https://rapidapi.com/xudoberdigayratov/api/shazam-song-recognizer2/,2023-07, Xudoberdi G'ayratov ,Shazam - song recognizer,"Identify any song. Discover, artists, lyrics, videos & playlists to create a song detector site/application such as shazam.com shazam recognize song free",9.4,869 ms,47%
https://rapidapi.com/420vijay47/api/reverbnation-song-downloader/,2023-09, Vijay Prajapati ,ReverbNation Song Downloader,Get ReverbNation data of any paid song(s) with download URLs,8.8,303 ms,100%
https://rapidapi.com/dl24-dl24-default/api/radio-stations-fm-am-api/,2023-10, DL24 ,Radio Stations FM AM API,"++50.000 Radio Stations Worldwide, streams url by country.",9.1,970 ms,100%
https://rapidapi.com/ramiapi/api/song-recognition/,2021-11, ramiapi ,Song Recognition,Identify songs from files or from live streams. Song recognition from Shazam.,9.1,"2,169 ms",100%
https://rapidapi.com/xy767/api/simple-music-api/,2023-06, xy767 ,Simple Music API++,ultra-simple and ultra-fast api for searching and downloading music from a large database of audio tracks,8.7,812 ms,100%
https://rapidapi.com/oztop/api/soundcloud-charts-api/,2023-06, oztop ,SoundCloud Charts API,Get trending and top charts (New & Hot and other),8.9,600 ms,100%
https://rapidapi.com/cavsn/api/musixmatch-song-lyrics-api/,2023-07, cavsn ,Musixmatch | Song Lyrics API,Musixmatch API for Song Lyrics multi languages,9.4,"36,389 ms",64%
https://rapidapi.com/firdavscoder1/api/vocal-remover/,2023-05, Firdavs Shodiyev ,Vocal Remover,"Remove vocals from any audio file with ease using our Vocal Remover API. With advanced algorithms and machine learning techniques, our API is designed to provide high-quality results and preserve the original audio's overall quality. Perfect for music producers, DJs, and content creators, our Vocal Remover API is easy to integrate and delivers fast and accurate results every time.",9.2,"5,664 ms",78%
https://rapidapi.com/boltaboyevqobilbek/api/shazam-api-new1/,2023-10, Qobilbek Boltaboyev ,SHAZAM API NEW,"Identify any song. Discover, artists, lyrics, videos & playlists to create a song detector site/application such as shazam.com shazam recognize song free",9.4,"2,014 ms",100%
