API链接,Update_Time,Author,API名称,API描述,API Popularity,API Latency,API Service Level
https://rapidapi.com/newslit/api/newslit-news-search/,2023-10, Newslit News ,Newslit News Search,"News Search through millions of articles from over 80,000 large and small news sources and blogs.",9.7,728 ms,100%
https://rapidapi.com/apidojo/api/imdb8/,2023-11, Api Dojo ,IMDb,,9.9,"1,196 ms",100%
https://rapidapi.com/connexun-srl-connexun-srl-default/api/news67/,2023-09, Connexun Srl ,News,"Connexun News APIs serve historical and trending news content from trusted sources worldwide. Our crawler scrapes content published by over 20.000 highly-trusted online sources in different languages, thus enabling our users to be the first to pick up on emerging stories and most relevant information. Ensure a real-time view into the world of football with our solution, or collect historical structured data on the most relevant past stories and events. Test our endpoints for free and do not h...",9.7,619 ms,100%
https://rapidapi.com/rphrp1985/api/newsnow/,2023-11, PR Labs ,NewsNow,"Google news , Bing news , BBC, CNN, Yahoo news ,MSN, CNN, New York Times, The Washington Post, Wall Street Journal, USA Today, Reuters, Fox News, HuffPost, NBC News, ABC News, India Today, BBC News ,The Guardian , Al Jazeera CNBC ,Associated Press ,Fox News ,Le Monde , Deutsche Welle ,China Central Television (CCTV) , ESPN, Bleacher NBA ,The Sydney Morning Herald,NHK World ,The Categories- Economist, Breaking News, World Events, Politics, Technology, Health, Science, Business, Crypto Stock Ma...",9.9,"1,603 ms",100%
https://rapidapi.com/textsla-textsla-default/api/news-sentiment2/,2023-07, Textsla ,News Sentiment,"English news sentiment API, only $0.00001 per extra requests",9.7,"14,236 ms",99%
https://rapidapi.com/ntd119/api/imdb-com/,2023-08, Things4u ,IMDb com,"Real-time data, unofficial API IMDb.com IMDb, short for Internet Movie Database, is one of the most popular and reputable websites for film and television enthusiasts. This website provides comprehensive information about movies, TV shows, actors, directors, writers, and other figures related to the film industry.",9.6,"3,304 ms",100%
https://rapidapi.com/SmartableAI/api/coronavirus-smartable/,2020-11, Smartable AI Developer Program ,Coronavirus Smartable,The coronavirus Stats and News API offers the latest and historic COVID-19 stats and news information per country or state.,9.7,94 ms,100%
https://rapidapi.com/bloomautomation-bloomautomation-default/api/snapchat-profile-scraper-api/,2023-02, ArgusAPI2 ,SnapChat Profile Scraper API,"Get snapchat profile data, such as name, story, snap code and more! Quick & Simple API",9.6,904 ms,100%
https://rapidapi.com/webit/api/webit-news-search/,2020-11, Webit ,Webit News Search,"40+ Languages News Search, Trending articles feed.",9.5,"3,704 ms",79%
https://rapidapi.com/machaao-inc-machaao-inc-default/api/newsx/,2022-11, MACHAAO ,NewsX,News with AI Generated Summaries,9.6,"1,051 ms",99%
https://rapidapi.com/sanchezballesterospablo/api/anime-news-net/,2023-03, pasabaa ,Anime News Net,"This anime news API allows users to get details about the latest anime news, including the news headline, category, publication date and a brief introduction. It also provides an image relevant to the news item and the full content of the news item. Users can use this API to stay updated on the latest anime news easily and quickly",9.6,"1,835 ms",94%
https://rapidapi.com/caddytzitzy/api/newsomaticapi/,2021-11, Szabi Kisded (CodeRevolution) ,NewsomaticAPI,Search worldwide news with code,9.6,"1,981 ms",100%
https://rapidapi.com/TheTellusProject/api/climate-news-feed/,2023-04, MADE by Lundahl ,Climate News Feed,"Climate Change news from the most trusted sources. Nasa, UN, and more. Flexible, reliable, and fast with low latency. Includes thumbnails, filtering, and pagination",9.6,306 ms,100%
https://rapidapi.com/opteka-opteka-default/api/newsi-api/,2023-11, Optekasoft ,Newsi api,"Best free news api that provide news in all categories from different sources like google news api, yahoo news api, bing news api, bbc news api , business news api, breaking news api, newsapi python website news: https://newsi-app.com Contact us for any suggestions or questions: Gmail : mohammedalaazakitayyem@gmail.com Telegram : @mohammedalaazaki Whatsapp : +971521306899",9.7,"2,161 ms",99%
https://rapidapi.com/tango-api-tango-api-default/api/horoscope34/,2023-05, Tango Api ,Horoscope,Get Daily Horoscope Data | Astrology API,9.6,764 ms,100%
https://rapidapi.com/microsoft-azure-org-microsoft-cognitive-services/api/bing-news-search1/,2023-03, Microsoft Azure ,Bing News Search,An AI service from Microsoft Azure that turns any app into a news search resource.,9.9,353 ms,100%
https://rapidapi.com/apidojo/api/online-movie-database/,2021-11, Api Dojo ,Online Movie Database,"This API helps to query for all information about films, actors, characters,etc... to create a movie/series/streaming content site/application",9.9,"1,638 ms",100%
https://rapidapi.com/newscatcher-api-newscatcher-api-default/api/newscatcher/,2022-11, Newscatcher API ,Newscatcher,"API to find news articles by any topic, country, language, website, or keyword",9.9,473 ms,100%
https://rapidapi.com/bfd-id/api/google-news13/,2023-06, BFD ,Google News,Provide real-time news and articles sourced from Google News.,9.8,"1,168 ms",100%
https://rapidapi.com/MettaCode/api/us-congress-top-news/,2023-01, MettaMan ,US Congress Top News,Retreive latest news about the United States Congress from around the world.,9.5,46 ms,100%
https://rapidapi.com/apidojo/api/flixster/,2022-11, Api Dojo ,Flixster,"This API helps to query for movies, actors, theaters, showtime, etc... to create a site/application, such as : rottentomatoes.com, flixster.com",9.7,"1,920 ms",100%
https://rapidapi.com/everyday/api/ai10/,2022-11, everyday ,AI,"The A.I. Everyday API offers the artificial intelligence news, learning resources, companies, influencers, events and other information.",9.6,203 ms,100%
