API链接,Update_Time,Author,API名称,API描述,API Popularity,API Latency,API Service Level
https://rapidapi.com/rpi4gx/api/synwave/,2023-11, Clark J ,SynWave,A data storage management API offering the following features:,9.5,538 ms,100%
https://rapidapi.com/XPLOR/api/json-storage-api/,2023-03, Markus ,JSON Storage API,"Store any kind of JSON documents in a database according to a user permission context. Read, update or delete your docs.",9.2,451 ms,88%
https://rapidapi.com/mariusndini/api/datapi1/,2021-11, marius ndini ,Datapi,Database API. Endpoints offer access to robust database accessibility.,9.2,965 ms,100%
https://rapidapi.com/dockerizator/api/google-spreadsheets/,2023-10, Dockerizator ,Google Spreadsheets,"Use your Google Spreadsheet as a database, without any dependency. To start using this API, you have to add our email and give us permissions to edit your spreadsheet. `rapidapi-google-sheets@singular-hub-398921.iam.gserviceaccount.com` (Remember to set the permissions to `Editor`).",8.8,609 ms,100%
https://rapidapi.com/ozgurcagdas/api/b1-generate-presigned-url-for-secure-upload-amazon-aws-s3/,2023-10, ozgurcagdas ,B1- Generate Presigned Url for Secure Upload Amazon AWS S3,"Get list of presign urls Amazon AWS S3 so you can upload multiple files all together. Our signed url endpoint simplifies your data uploading process. Instead of dealing with complicated permissions and authentication, you can generate presigned URLs effortlessly. These URLs act as secure keys, granting temporary access for your files to be uploaded to your AWS S3 bucket.",8.2,375 ms,100%
https://rapidapi.com/markhah7/api/storage5/,2022-11, hah mark ,Storage,Free 50 Gb Storage,,,
https://rapidapi.com/ozgurcagdas/api/b3-generate-signed-url-for-secure-download-from-aws-s3/,2023-10, ozgurcagdas ,B3- Generate Signed Url for Secure Download from AWS S3,"Get list of presign urls so you can download multiple files all together from your Amazon AWS S3. With this API, it is easier to manage your HLS video set like Netflix style payed streamings as well as all digital products.",8.0,379 ms,100%
https://rapidapi.com/falcondevs5/api/file-storage/,2023-06, Falcon Devs ,File Storage,A File Server for storing and retrieveing files,,,
https://rapidapi.com/ozgurcagdas/api/b4-delete-files-from-your-aws-s3-bucket/,2023-10, ozgurcagdas ,B4- Delete Files from Your AWS S3 Bucket,"It is easier to delete all files together, so this API helps you to achieve that. Send a list of file names so the endpoint will delete all from your Amazon AWS S3 Bucket.",8.3,462 ms,100%
https://rapidapi.com/Zorden85/api/demo-project16039/,2023-02, Zorden85 ,👋 Demo Project,vb,,,
https://rapidapi.com/kariukiamschel9/api/veestream2/,2023-04, Amschel ,Veestream,"A file management API that allows users to upload files, retrieve file metadata, and generate progressive download URLs.",,,
https://rapidapi.com/oeysteinhansen/api/iot-data/,2022-11, Øystein Hansen ,IoT data,Simply store and retrieve data in the cloud for IoT devices.,,,
https://rapidapi.com/fcojaviermu/api/url-archiver/,2023-05, SmartAPIs ,URL Archiver,"Keep an snapshot of any provided URL forever at the Internet Archive (other stores coming up soon) Simply requests a URL to be archived and then wait for the Job to complete to receive an archived URL, kept safe forever 1) Post to https://url-archiver.p.rapidapi.com/api/v1/archive with your Payload 2) Get from https://url-archiver.p.rapidapi.com/api/v1/taskStatus/taskId",,,
https://rapidapi.com/imad.solui23/api/capp/,2021-11, imad Solaiman ,capp,hiii,,,
https://rapidapi.com/zakutynsky/api/DigitalOcean/,2021-11, Igor Zakutynsky ,DigitalOcean,The DigitalOcean API allows you to manage Droplets and resources within the DigitalOcean cloud.,,,
https://rapidapi.com/mikilior1/api/GoogleDrive/,2021-11, Miki Lior ,GoogleDrive,"Read, write, and sync files stored in Google Drive from your mobile and web apps.",,,
https://rapidapi.com/serg.osipchuk/api/GoogleCloudStorage/,2021-11, Serg Osipchuk ,GoogleCloudStorage,Store and retrieve any amount of data anytime,4.4,"127,258 ms",0%
https://rapidapi.com/stefan.skliarov/api/Fileio/,2021-11, Stefan Skliarov ,Fileio,Ephemeral file sharing.,4.1,"127,291 ms",0%
https://rapidapi.com/zakutynsky/api/Openload/,2021-11, Igor Zakutynsky ,Openload,"Connect to the Openload File Sharing API to upload, share and edit any file. Test an API call in your browser and export the code snippet into your app.",4.2,"127,276 ms",0%
https://rapidapi.com/saq7/api/simple-file-storage/,2021-11, saq7 ,Simple File Storage,The easiest cloud file storage api,0.1,"1,579 ms",75%
https://rapidapi.com/pali99/api/lab2/,2021-11, Pavol Dlugos ,lab,lab schedule,,,
https://rapidapi.com/TaurusZDK/api/aniku/,2021-11, TaurusZDK ,Aniku,Aniku Files Storage,,,
https://rapidapi.com/stefan.skliarov/api/Bitbucket/,2021-11, Stefan Skliarov ,Bitbucket,"Code against the Bitbucket API to automate simple tasks, embed Bitbucket data into your own site, build mobile or desktop apps",,,
https://rapidapi.com/stefan.skliarov/api/Dropbox/,2021-11, Stefan Skliarov ,Dropbox,"Access, store and sync files online and across computers.",,,
https://rapidapi.com/tiagofialho2002-GS4UHwtzYfq/api/supermarketpurchasesapi/,2021-11, Tiago Fialho ,SupermarketPurchasesAPI,Supermarket purchases API,0.0,7 ms,0%
https://rapidapi.com/freelancersome/api/dammy-task/,2021-11, some freelancer ,Dammy-Task,Is fully functioning API . this API let you create your account todo list 1.Create user 2.Create task 3.Update task 4.Delete task and more,,,
https://rapidapi.com/rshossain/api/self-details/,2021-11, rshossain ,self-details,Detail information about myself,0.0,904 ms,0%
https://rapidapi.com/issa10/api/postphoto/,2022-11, issa10 ,postPhoto,poster un photo,,,
https://rapidapi.com/kloudless-kloudless-default/api/kloudless-unified-cloud-storage/,2021-11, Kloudless ,Kloudless Unified Cloud Storage,"One API for Any Cloud Storage. Code once and connect your application to Dropbox, Box, Microsoft SharePoint, Office 365, OneDrive, Google Drive, Egnyte, and more!",,,
https://rapidapi.com/nakkachiliass/api/contacts20/,2021-11, Iliass Nakkach ,contacts,Send my csv contacts,,,
https://rapidapi.com/gonon4607/api/demo-project46306/,2023-08, gonon4607 ,👋 Demo Project,This Project is created by the onboarding process,,,
