API链接,Update_Time,Author,API名称,API描述,API Popularity,API Latency,API Service Level
https://rapidapi.com/digicatech/api/qrcodeutils/,2022-11, digicatech ,qrcodeutils,QR Code Generator API. The API will return directly QR Code image. For more details please visit https://www.qrcodeutils.com,9.6,327 ms,98%
https://rapidapi.com/linqr-linqr-default/api/qrcode3/,2023-09, LinQR ,QRCode,"Customisable QR Codes. Support for styles, images and more! Bare metal engine gives it incredible speed. Full documentation can be found at: https://linqr.app/docs",9.9,410 ms,100%
https://rapidapi.com/qrickit/api/qrickit-qr-code-qreator/,2021-11, QRickit ,QRickit QR Code QReator,"Dynamically generate QR Codes (URL, Calendar Events, Contact, Text, Email, etc,) for integration in your own website, applications, and other business or personal usage.",9.5,"2,334 ms",100%
https://rapidapi.com/yoshiokatsuneo/api/paiza-io/,2021-11, yoshiokatsuneo ,paiza.IO,paiza.IO compiler / code runner API,9.5,"1,386 ms",100%
https://rapidapi.com/backend_box/api/bulk-domain-check/,2021-11, API Spot ,Bulk Domain Check,Bulk Domain Availability Check. All tlds supported.,9.5,"1,747 ms",100%
https://rapidapi.com/backend_box/api/bulk-whois/,2021-11, API Spot ,Bulk WHOIS,Bulk WHOIS API. Parsed to JSON. All TLDs supported. Online since 2016.,9.5,771 ms,88%
https://rapidapi.com/Privatix/api/temp-mail/,2021-11, Privatix ,Temp Mail,"Temporary Disposable E-mail fast and easy API - is a service that allows to receive email at a temporary address that self-destructed after a certain time elapses. It is also known by names like: tempmail, 10minutemail, throwaway email, fake-mail or trash-mail.",9.9,143 ms,100%
https://rapidapi.com/qrcode-monkey/api/custom-qr-code-with-logo/,2022-11, qrcode-monkey ,Custom QR Code with Logo,"Create unique looking QR codes with logo, color and design as PNG, SVG, PDF or EPS. QR Codes can be generated in high quality for print and professional use cases. Extended documentation can be found here: https://www.qrcode-monkey.com/qr-code-api-with-logo",9.9,799 ms,97%
https://rapidapi.com/domaination-domaination-default/api/domaination-io/,2023-01, Domaination ,Domaination.io,"Check if a domain is available. 10,000 free requests including domain availability checks. Returns WHOIS data including expiration dates.",9.9,942 ms,100%
https://rapidapi.com/Canssens/api/seo-extraction/,2023-11, Charles Anssens ,SEO extraction,"Extract from an URL the major SEO tags : title, description, H1, H2, H3, and links.",9.7,"2,577 ms",99%
https://rapidapi.com/fyhao/api/text-sentiment-analysis-method/,2023-09, fyhao ,Text Sentiment Analysis Method,"Analysing text sentiment by passing text or paragraphs, in single line or multiple lines, and get back with the sentiment analysis report, to get how many of lines be analysed, how many positive, negative, middle sentiment for the lines of text.",9.7,440 ms,100%
https://rapidapi.com/fivefilters/api/full-text-rss/,2023-10, FiveFilters.org ,Full-Text RSS,Full-Text RSS can extract article content from a web page and transform partial web feeds into full-text feeds. Get results in RSS or JSON. You can use our hosted service via Mashape (test for free) and you can also visit our site to buy our self-hosted version.,9.8,917 ms,100%
https://rapidapi.com/textanalysis/api/textanalysis/,2021-11, TextMiner ,TextAnalysis,"TextAnalysis API provides customized Text Analysis,Text Mining and Text Processing Services like Text Summarization, Language Detection, Text Classification, Sentiment Analysis, Word Tokenize, Part-of-Speech(POS) Tagging, Named Entity Recognition(NER), Stemmer, Lemmatizer, Chunker, Parser, Key Phrase Extraction(Noun Phrase Extraction), Sentence Segmentation(Sentence Boundary Detection), Grammar Checker and other Text Analysis Tasks. It stands on the giant shoulders of NLP Tools, such as NLTK...",9.6,324 ms,100%
https://rapidapi.com/rpi4gx/api/ephemeral-proxies/,2023-10, Clark J ,Ephemeral Proxies,"An API service to obtain **datacenter and residential proxies.** ###### Features: * This service contains pools of **stable and high-quality proxies** that automatically rotate to ensure that you get a new different proxy with each API call. * Each request to this API service will provide you with a new proxy available for 30 mins. * Proxies are constantly monitored to ensure their health. * You can extend the allocation time of a datacenter proxy by making successive calls to the API, with ...",9.8,424 ms,100%
https://rapidapi.com/saasberry-apps-saasberry-apps-default/api/html-css-to-image4/,2022-11, Saasberry Apps ,HTML CSS to Image,"Powerful HTML to Image generation API. Generate PNG, JPEG or WebP images from HTML, CSS or URL. Most affordable prices.",9.8,"1,226 ms",100%
https://rapidapi.com/pritznattaf/api/string-to-sha-256-converter/,2023-09, pritznattaf ,String to SHA-256 Converter,"This API endpoint allows you to convert a given string into its SHA-256 hash representation. The server takes the input string from the request body, processes it, and responds with the SHA-256 hash as a JSON object. To use this API, send a POST request to the /convert endpoint with a JSON body containing the ""string"" field with the string you want to convert. The response will contain the SHA-256 hash of the input string. SHA-256 (Secure Hash Algorithm 256-bit) is a widely used cryptograph...",9.7,430 ms,100%
https://rapidapi.com/quavious/api/url-checker/,2022-11, NWL ,URL Checker,Provide the original URL of each shorten URL that user requests. without accessing it directly on web browsers.,9.6,"5,630 ms",100%
https://rapidapi.com/inutil-inutil-default/api/whatsapp-profile-pic/,2023-08, inUtil Labs ,Whatsapp Profile Pic,Fetch and download the profile picture of any whatsapp number.,9.8,345 ms,100%
https://rapidapi.com/appcon-software-appcon-software-default/api/barcode-generator4/,2022-11, AppCon Software ,Barcode Generator,"Generate 20+ types of barcodes with colors and text styling for your app. NodeJS backed super fast response. Available types: CODE39, CODE128, CODE128A, CODE128B, CODE128C, EAN13, EAN8, EAN5, EAN2, UPC, UPCE, ITF14, ITF, MSI, MSI10, MSI11, MSI1010, MSI1110, pharmacode, codabar.",9.5,57 ms,99%
https://rapidapi.com/highfx786/api/temp-email9/,2023-06, Waqas Wakeel ,Temp Email,"The Temp mail API provides users with the ability to generate temporary, disposable email addresses swiftly and securely. This tool is ideal for protecting personal email accounts from spam, testing, signing up for services, and more. With various endpoints offering functionalities like email creation, inbox retrieval, and message extraction, the Temp email API ensures you have full control over your disposable emails. Its integration via RapidAPI guarantees a smooth, quick, and secure develo...",9.6,677 ms,100%
https://rapidapi.com/Matt11/api/sentence-case-converter-truecaser/,2022-11, Matt11 ,Sentence Case Converter - Truecaser,"Corrects/restores the capitalization of text, taking proper nouns into account.",9.5,135 ms,100%
https://rapidapi.com/betoalien/api/usa-jobs-for-it/,2023-08, betoalien ,USA Jobs for IT,An USA Jobs for IT API from different sources,9.5,106 ms,100%
https://rapidapi.com/abdheshnayak/api/code-compiler/,2023-03, Abdhesh Nayak ,Code Compiler,Compile your code in more than 35 languages and get detailed responses.,9.7,"2,881 ms",79%
https://rapidapi.com/nusantaracode1-nusantaracode-default/api/keyword-tool/,2023-07, nusantaracode ,Keyword Tool,"Keyword Tool helps to analyze keywords and related keywords competitions, search volume, and CPC. Mostly useful for digital marketers and related platforms",9.7,"1,627 ms",98%
https://rapidapi.com/foxello-foxello-default/api/measurement-unit-converter/,2023-10, Foxello ,Measurement Unit Converter,Say goodbye to the hassle of unit conversions with our Measurement Unit Converter API.,9.6,609 ms,99%
https://rapidapi.com/ip2location/api/ip2location-io-ip-geolocation/,2023-03, ip2location ,IP2Location io IP Geolocation,"IP2Location.io IP Geolocation API provides RESTful API to obtain visitors' geolocation information such as country, region, district, city, latitude & longitude, ZIP code, time zone, ASN, ISP, domain, net speed, IDD code, area code, weather station data, MNC, MCC, mobile brand, elevation, usage type, address type, advertisement category(IAB), ASN and proxy data with an IP address. Please visit https://www.ip2location.io for more info.",9.7,137 ms,100%
