API链接,Update_Time,Author,API名称,API描述,API Popularity,API Latency,API Service Level
https://rapidapi.com/flightlookup/api/timetable-lookup/,2022-11, Rory Veevers-Carter ,TimeTable Lookup,Access Worldwide Flight Schedules with connection building.,9.9,319 ms,100%
https://rapidapi.com/aedbx-aedbx/api/aerodatabox/,2023-09, AeDBX ,AeroDataBox,"Flight data API for travel, hospitality, or aviation applications, researchers, small teams, and individual developers.",9.9,379 ms,100%
https://rapidapi.com/adsbx/api/adsbx-flight-sim-traffic/,2022-11, ADSBexchange.com ,ADSBx Flight Sim Traffic,ADSBexchange.com traffic feed for flight simulators,9.9,274 ms,100%
https://rapidapi.com/adsbx/api/adsbexchange-com1/,2023-07, ADSBexchange.com ,ADSBexchange.com,Live air traffic and aircraft positional data via ADS-B / MLAT / UAT NOTE: Please scroll down to view the Terms & Conditions for use and Legal Notice.,9.9,239 ms,100%
https://rapidapi.com/flashbomberapp/api/rto-vehicle-details/,2023-11, Flash Bomber ,RTO Vehicle Details,Powerful Indian Vehicle API - Owner Name - Owner’s Father Name - Vehicle Details - Financer Details - Permit & Insurance Details - NOC Details for this contact : flashbomberapp@gmail.com Tags: Parivahan mParivahan Vehicle Info RC Details India Car Info Car Info RC database,9.7,"1,099 ms",94%
https://rapidapi.com/carapi/api/car-api2/,2023-11, carapi ,Car API,"Search vehicles sold in the United States by year, make, model, trim, engine, body, mileage, VIN decoder and more. Note, the Basic plan is for development only and will only return data for vehicles sold in 2020. To unlock all data you must subscribe to Pro, Ultra, or Mega plans.",9.9,270 ms,100%
https://rapidapi.com/fatehbrar92/api/vehicle-rc-information/,2023-04, TheSerpent ,Vehicle RC Information,Fetch any Indian Vehicle's Information through it's Registration Number/License Plate. This API can fetch:- [+] Owner Name [+] Owner's Father Name [+] Owner's Permanent & Current Address [+] Vehicle Details [+] Financer Details [+] Permit & Insurance Details [+] NOC Details .......And Much More Tags: Parivahan mParivahan Vehicle Info RC Details India Car Info Car Info RC database,9.7,121 ms,100%
https://rapidapi.com/mmcardle-drx9FYQNK/api/canadian-gas-prices/,2023-04, m-mcardle ,Canadian Gas Prices,Provides current gas prices in Canada. Try the `/locations-list` endpoint to view all supported locations.,9.5,"2,314 ms",98%
https://rapidapi.com/c2wtechnology/api/trackingpackage/,2023-09, c2wtech ,TrackingPackage,"track ups, fedex,usps and DHL packages. Windows store app available → https://www.microsoft.com/store/apps/9PHP0Z68X02N?cid=rapidAPI",9.8,"1,092 ms",100%
https://rapidapi.com/apininjas/api/airlines-by-api-ninjas/,2023-05, API Ninjas Team ,Airlines by API-Ninjas,"General and detailed fleet information for over 1,000 airlines. See more info at https://api-ninjas.com/api/airlines.",9.7,344 ms,100%
