API链接,Update_Time,Author,API名称,API描述,API Popularity,API Latency,API Service Level
https://rapidapi.com/axesso/api/axesso-walmart-data-service/,2023-11, Axesso ,Axesso - Walmart Data Service,"The Axesso Walmart Data Service API returns detailed Walmart product information including product title, manufacturer, reviews, price and more. Find further information in our documentation http://api-doc.axesso.de/. Please contact us to get full access to the API, to get a private plan or discuss your requirements relating to request amount and concurrency: support@axesso.de",9.7,"3,951 ms",100%
https://rapidapi.com/apidojo/api/zappos1/,2020-11, Api Dojo ,Zappos,"Zappos API helps to query for all information about categories, products, etc... as on official websites",9.7,"1,747 ms",100%
https://rapidapi.com/apidojo/api/asos2/,2023-02, Api Dojo ,Asos,"Asos API helps to query for all information about categories, products, etc... as on the official website",9.9,"1,999 ms",100%
https://rapidapi.com/ajmorenodelarosa/api/amazon-price1/,2020-11, eCommerce APIs ,Amazon Price,Amazon Price service returns real time price information of Amazon products. Search products endpoint available that can be used as replacement of Amazon Affiliate API,9.8,"1,168 ms",100%
https://rapidapi.com/gabrielius.u/api/taobao-api/,2023-02, H-W-H ,Taobao API,"Taobao/Tmall item search API, get recommended items API, search for shops API, get recommended shops API and more...",9.8,"1,127 ms",99%
https://rapidapi.com/apidojo/api/forever21/,2020-11, Api Dojo ,Forever21,"Forever21 API helps to query for all information about categories, products, etc... as on official websites",9.7,"2,140 ms",100%
https://rapidapi.com/apidojo/api/hm-hennes-mauritz/,2020-11, Api Dojo ,HM - Hennes Mauritz,"H&M API helps to query for all information about regions, categories, products, etc... as on official websites",9.8,"1,332 ms",100%
https://rapidapi.com/axesso/api/axesso-amazon-data-service1/,2023-11, Axesso ,Axesso - Amazon Data Service,"The Axesso Amazon Data Service API returns detailed Amazon product information including product title, manufacturer, reviews, size selection, price, reviews and many more. Additionally, the API supports product recommendations as provided by Amazon and invoke keyword searches to find up to 20 products per page relating to the searchterm. This service is comparable to the Amazon Product Advertising API, but presented in a more condensed manner. The usage requires a API Key in production mode....",9.9,"5,037 ms",100%
https://rapidapi.com/apimaker/api/walmart2/,2023-06, apimaker ,Walmart,"Query for search products, product details and reviews.",9.5,"3,325 ms",100%
https://rapidapi.com/open-trade-commerce-open-trade-commerce-default/api/otapi-taobao-tmall-simple/,2022-11, Open Trade Commerce ,Otapi Taobao Tmall Simple,Simple taobao api to get product brief information. Taobao and Tmall api from https://otcommerce.com/taobao/,9.6,368 ms,100%
https://rapidapi.com/apidojo/api/kohls/,2021-11, Api Dojo ,Kohls,"Get online shopping deals, discounts and rewards from fashion to beauty, home furniture, clothing, shoes, electronics and more...",9.7,"1,685 ms",100%
https://rapidapi.com/3b-data-3b-data-default/api/idealo-data/,2022-11, 3B Data / @CRAWLER2API ,Idealo data,"Price and product data from Idealo. The Idealo data API provides price and product data incl. product title, manufacturer, sellers, reviews, prices, size selection etc. Querying product data is done in bulks using session jobs. You create a session with the query details (country , product id etc…), and get a job ID. You can then use that job ID to poll results. If you need a private plan with higher request amounts and concurrency, custom integration or additional features please get in to...",9.7,146 ms,100%
https://rapidapi.com/JSL346/api/amazon-product-price-data/,2021-11, John Liao ,Amazon Product Price Data,Cheap and lightweight API to get rich Amazon product metadata,9.9,807 ms,100%
https://rapidapi.com/gabrielius.u/api/taobao-advanced/,2023-03, H-W-H ,Taobao advanced,Taobao API’s for advanced use.,9.7,"2,520 ms",99%
