API名称,API链接,API_Host,Endpoint名称,Endpoint描述,Endpoint种类,Endpoint必须参数,Endpoint可选参数
Watermark Remover,https://rapidapi.com/firdavscoder1/api/watermark-remover1/,watermark-remover1.p.rapidapi.com,POST:POST Image,,,[{}],[{}]
Microsoft Edge Text to Speech,https://rapidapi.com/yy10112001/api/microsoft-edge-text-to-speech/,microsoft-edge-text-to-speech.p.rapidapi.com,GET:GetDownloadURL,request with a long text and get the mp3 download URL created by the TTS engine.,,[{}],"[{'参数名': ['voice_name'], '参数类型': ['STRING'], '参数注意事项': ['']}]"
Microsoft Edge Text to Speech,https://rapidapi.com/yy10112001/api/microsoft-edge-text-to-speech/,microsoft-edge-text-to-speech.p.rapidapi.com,GET:GetVoicesList,"Voices list for the param ""voice_name"" of the function ""GetDownloadUrl""",,[{}],[{}]
ChatGPT Best Price,https://rapidapi.com/truongvuhung102/api/chatgpt-best-price/,chatgpt-best-price.p.rapidapi.com,POST:Chat Completions,Identical to OPEN AI's Chat Completions API.,,[{}],[{}]
Cloudlabs Text To Speech,https://rapidapi.com/cloudlabs-dev/api/cloudlabs-text-to-speech/,cloudlabs-text-to-speech.p.rapidapi.com,POST:synthesize,This endpoint is used to perform the text to audio conversion process,,[{}],[{}]
Cloudlabs Text To Speech,https://rapidapi.com/cloudlabs-dev/api/cloudlabs-text-to-speech/,cloudlabs-text-to-speech.p.rapidapi.com,GET:languages,This endpoint is used to get a list of available languages,,[{}],[{}]
Cloudlabs Text To Speech,https://rapidapi.com/cloudlabs-dev/api/cloudlabs-text-to-speech/,cloudlabs-text-to-speech.p.rapidapi.com,GET:voices,This endpoint is used to get a list of available speakers,,[{}],"[{'参数名': ['language_code'], '参数类型': ['STRING'], '参数注意事项': ['Use this parameter to filter the results by language code.\nLeave blank if you want to retrieve all available speakers']}]"
Article Extractor and Summarizer,https://rapidapi.com/restyler/api/article-extractor-and-summarizer/,article-extractor-and-summarizer.p.rapidapi.com,GET:/summarize,Summarizes the article after extracting it from the specified url.,,[{}],"[{'参数名': ['length', 'html', 'lang'], '参数类型': ['NUMBER', 'BOOLEAN', 'ENUM'], '参数注意事项': ['Length in paragraphs. This parameter might be ignored for a very long articles.', 'pass TRUE if you want to convert new line symbols in API response text with html paragraph tags', 'Target language to translate summary into']}]"
Article Extractor and Summarizer,https://rapidapi.com/restyler/api/article-extractor-and-summarizer/,article-extractor-and-summarizer.p.rapidapi.com,GET:/extract,Extract an article body and markdown version of the body.,,"[{'参数名': ['url'], '参数类型': ['STRING'], '参数注意事项': ['']}]",[{}]
Article Extractor and Summarizer,https://rapidapi.com/restyler/api/article-extractor-and-summarizer/,article-extractor-and-summarizer.p.rapidapi.com,POST:/summarize-text,Summarize text (in Markdown),,[{}],[{}]
