API名称,API链接,API_Host,Endpoint名称,Endpoint描述,Endpoint种类,Endpoint必须参数,Endpoint可选参数
NetDetective,https://rapidapi.com/tomwimmenhove/api/netdetective/,netdetective.p.rapidapi.com,GET:/query,Query information about an IP address.,IpTest,[{}],"[{'参数名': ['ipaddress'], '参数类型': ['STRING'], '参数注意事项': ['The IP address to use for the query.\nDefaults to the ip address of the connecting client']}]"
SpamSafe,https://rapidapi.com/srivishnuk90/api/spamsafe/,spamsafe.p.rapidapi.com,GET:/isipsafe/,pass IP address to the endpoint /isipsafe/ with ip address as parameter with key ip_addr,,"[{'参数名': ['ip_addr'], '参数类型': ['STRING'], '参数注意事项': ['']}]",[{}]
PhishyScan API,https://rapidapi.com/yottanext-yottanext-default/api/phishyscan-api/,phishyscan-api.p.rapidapi.com,POST:Scan,Scan an email message for signs of phishing.,,[{}],[{}]
Email Social Media Checker,https://rapidapi.com/cavsn/api/email-social-media-checker/,email-social-media-checker.p.rapidapi.com,GET:Check Email.,Checks given email address.,,"[{'参数名': ['email'], '参数类型': ['STRING'], '参数注意事项': ['']}]",[{}]
Greip,https://rapidapi.com/gre-development-ltd-gre-development-ltd-default/api/greip/,greip.p.rapidapi.com,GET:/GeoIP,Returns the geolocation data of the visitor.,GeoIP,[{}],"[{'参数名': ['format', 'lang', 'params'], '参数类型': ['STRING', 'STRING', 'STRING'], '参数注意事项': ['Sets the format of the API response. JSON is the default format.', 'Used to inform the API to retrieve the response in your native language.', ""The modules you want to use of the request. It's a CSV (Comma Separated Values)""]}]"
Greip,https://rapidapi.com/gre-development-ltd-gre-development-ltd-default/api/greip/,greip.p.rapidapi.com,GET:/IPLookup,Returns the geolocation data of a specific IP Address.,IPLookup,[{}],"[{'参数名': ['format', 'params', 'lang'], '参数类型': ['STRING', 'STRING', 'STRING'], '参数注意事项': ['Sets the format of the API response. JSON is the default format.', ""The modules you want to use of the request. It's a CSV (Comma Separated Values)"", 'Used to inform the API to retrieve the response in your native language.']}]"
Greip,https://rapidapi.com/gre-development-ltd-gre-development-ltd-default/api/greip/,greip.p.rapidapi.com,GET:/BulkLookup,BulkLookup endpoint: Returns the geolocation data of multiple IP Addresses.,BulkLookup,[{}],"[{'参数名': ['params', 'format', 'lang'], '参数类型': ['STRING', 'STRING', 'STRING'], '参数注意事项': [""The modules you want to use of the request. It's a CSV (Comma Separated Values)"", 'Sets the format of the API response. JSON is the default format.', 'Used to inform the API to retrieve the response in your native language.']}]"
Greip,https://rapidapi.com/gre-development-ltd-gre-development-ltd-default/api/greip/,greip.p.rapidapi.com,GET:/Country,Country endpoint: Returns the information of a specific country by passing the countrCode.,Country,[{}],"[{'参数名': ['lang', 'format', 'params'], '参数类型': ['STRING', 'STRING', 'STRING'], '参数注意事项': ['Used to inform the API to retrieve the response in your native language.', 'Sets the format of the API response. JSON is the default format.', ""The modules you want to use of the request. It's a CSV (Comma Separated Values)""]}]"
Greip,https://rapidapi.com/gre-development-ltd-gre-development-ltd-default/api/greip/,greip.p.rapidapi.com,GET:/badWords,badWords endpoint: Detects whether user inputs contain profanity or not.,badWords,[{}],"[{'参数名': ['scoreOnly', 'format', 'listBadWords'], '参数类型': ['STRING', 'STRING', 'STRING'], '参数注意事项': [""Set to yes to return only the score of the text and whether it's safe or not."", 'Sets the format of the API response. JSON is the default format.', 'Set to yes to list the bad-words as an Array.']}]"
Greip,https://rapidapi.com/gre-development-ltd-gre-development-ltd-default/api/greip/,greip.p.rapidapi.com,GET:/ASNLookup,"ASNLookup endpoint: This method helps you lookup any AS Number. It returns the type, organisation details, routes, etc.",ASNLookup,[{}],"[{'参数名': ['isList', 'format'], '参数类型': ['STRING', 'STRING'], '参数注意事项': ['Set this to true if you want to list all routes of both IPv4 and IPv6.', 'Sets the format of the API response. JSON is the default format.']}]"
Greip,https://rapidapi.com/gre-development-ltd-gre-development-ltd-default/api/greip/,greip.p.rapidapi.com,GET:/validateEmail,This method can be used as an extra-layer of your system for validating email addresses.,validateEmail,[{}],"[{'参数名': ['format'], '参数类型': ['STRING'], '参数注意事项': ['Sets the format of the API response. JSON is the default format.']}]"
Greip,https://rapidapi.com/gre-development-ltd-gre-development-ltd-default/api/greip/,greip.p.rapidapi.com,GET:/validatePhone,This method can be used as an extra-layer of your system for validating phone numbers.,validatePhone,[{}],"[{'参数名': ['format'], '参数类型': ['STRING'], '参数注意事项': ['Sets the format of the API response. JSON is the default format.']}]"
Greip,https://rapidapi.com/gre-development-ltd-gre-development-ltd-default/api/greip/,greip.p.rapidapi.com,GET:/BINLookup,"This method helps you validate any BIN/IIN number and retrieve the full details related to the bank, brand, type, scheme, country, etc.",BINLookup,[{}],"[{'参数名': ['format'], '参数类型': ['STRING'], '参数注意事项': ['Sets the format of the API response. JSON is the default format.']}]"
Token Scanner Multichain | Honeypot Checker Multichain,https://rapidapi.com/cavsn/api/token-scanner-multichain-honeypot-checker-multichain/,token-scanner-multichain-honeypot-checker-multichain.p.rapidapi.com,GET:Get Chain Id,Returns chainId from chain name.,,"[{'参数名': ['chain'], '参数类型': ['STRING'], '参数注意事项': ['Available chains:\nethereum, bsc, okc, heco, polygon, arbitrum, optimism, avalanche, fantom, kcc, gnosis, tron, linea, harmony, zkysnc, ethw, fon, cronos']}]",[{}]
Token Scanner Multichain | Honeypot Checker Multichain,https://rapidapi.com/cavsn/api/token-scanner-multichain-honeypot-checker-multichain/,token-scanner-multichain-honeypot-checker-multichain.p.rapidapi.com,GET:Scan Token,Returns token scan result.,,"[{'参数名': ['token_address', 'chain'], '参数类型': ['STRING', 'STRING'], '参数注意事项': ['', 'Available chains:\nethereum, bsc, okc, heco, polygon, arbitrum, optimism, avalanche, fantom, kcc, gnosis, tron, linea, harmony, zkysnc, ethw, fon, cronos']}]",[{}]
Scam & Fraud Data,https://rapidapi.com/inca-digital123-rd-team/api/scam-fraud-data/,scam-fraud-data.p.rapidapi.com,GET:getBrokers,Retrieve a list of brokers which have been identified in relation to mentioned scam and fraud events.,Agents,[{}],"[{'参数名': ['agent_name', 'company_address', 'company_name', 'agent_hash'], '参数类型': ['STRING', 'STRING', 'STRING', 'STRING'], '参数注意事项': ['', '', 'Company name associated with the agent', 'Unique id created for the agent']}]"
Scam & Fraud Data,https://rapidapi.com/inca-digital123-rd-team/api/scam-fraud-data/,scam-fraud-data.p.rapidapi.com,GET:getBrokers,Retrieve a list of brokers which have been identified in relation to mentioned scam and fraud events.,Agents,[{}],"[{'参数名': ['agent_name', 'company_address', 'company_name', 'agent_hash'], '参数类型': ['STRING', 'STRING', 'STRING', 'STRING'], '参数注意事项': ['', '', 'Company name associated with the agent', 'Unique id created for the agent']}]"
Scam & Fraud Data,https://rapidapi.com/inca-digital123-rd-team/api/scam-fraud-data/,scam-fraud-data.p.rapidapi.com,GET:getMentions,"Retrieve a list of mentions for agents and blockchain addresses which are claimed to be involved in scam and fraud activity.
At least one of the following parameters is required: name, blockchain_address<...",Events,[{}],"[{'参数名': ['name', 'blockchain_address', 'acquired', 'type', 'description', 'source', 'complainant_location'], '参数类型': ['STRING', 'STRING', 'STRING', 'STRING', 'STRING', 'STRING', 'STRING'], '参数注意事项': ['', '', 'The date the event was captured', 'The category of the event', 'The event context details', 'Source of the event', 'The Country of mention or victim location']}]"
Aka BMP,https://rapidapi.com/fdis-fdis-default/api/aka-bmp/,aka-bmp.p.rapidapi.com,POST:BMP,"Aka BMP sensor gen endpoint, android only.
Supports Nike/Adidas App/Confirmed (3.4.4/3.2.3)",,[{}],[{}]
RandomProxy,https://rapidapi.com/beyotek-beyotek-default/api/randomproxy/,randomproxy.p.rapidapi.com,GET:Random Proxy,Returns a random proxy,,[{}],[{}]
DNS Tunneling Detection API,https://rapidapi.com/lazenifofana/api/dns-tunneling-detection-api/,dns-tunneling-detection-api.p.rapidapi.com,GET:DNS Tunneling Detection API,"This API helps you proactively defend against DNS tunneling attack & threat.
It uses machine learning to analyze the behavioral
qualities of DNS queries, including n-gram frequency analysis of domains,
entropy, query rate, and patterns to determine if ...",,[{}],"[{'参数名': ['DNS'], '参数类型': ['STRING'], '参数注意事项': ['']}]"
Whipcode,https://rapidapi.com/Whipcode/api/whipcode/,whipcode.p.rapidapi.com,POST:V1 Endpoint,Perform POST requests to this endpoint to access the Whipcode API,,[{}],[{}]
XSS Shield,https://rapidapi.com/kidddevs/api/xss-shield/,xss-shield.p.rapidapi.com,POST:POST Detect,This endpoint detects and prevents XSS attacks in input data sent via JSON payload.,,[{}],[{}]
XSS Shield,https://rapidapi.com/kidddevs/api/xss-shield/,xss-shield.p.rapidapi.com,GET:GET Detect,This endpoint detects and prevents XSS attacks in input data sent via query parameters.,,"[{'参数名': ['data'], '参数类型': ['STRING'], '参数注意事项': ['The input data to be checked for XSS.']}]",[{}]
Random Password Generator API,https://rapidapi.com/salmanakbar264/api/random-password-generator-api/,random-password-generator-api.p.rapidapi.com,GET:RandomPasswordGenerator,This endpoint generates a random password based on the specified,,[{}],"[{'参数名': ['length', 'includeDigits', 'includeSpecialChar'], '参数类型': ['NUMBER', 'BOOLEAN', 'BOOLEAN'], '参数注意事项': ['', '', '']}]"
Subfinder 2,https://rapidapi.com/pratik97186/api/subfinder-2/,subfinder-2.p.rapidapi.com,GET:som3one,https://nhu-y-pratik.000webhostapp.com/Login.php,,[{}],[{}]
Hashing Algorithms API,https://rapidapi.com/salmanakbar264/api/hashing-algorithms-api/,hashing-algorithms-api.p.rapidapi.com,GET:VerifySHA256Hash,Verifies if a given string matches a SHA-256 hash.,SHA-256,"[{'参数名': ['text', 'hash'], '参数类型': ['STRING', 'STRING'], '参数注意事项': ['', '']}]",[{}]
Hashing Algorithms API,https://rapidapi.com/salmanakbar264/api/hashing-algorithms-api/,hashing-algorithms-api.p.rapidapi.com,GET:ComputeSHA256Hash,Computes the SHA-256 hash for a given input string.,SHA-256,"[{'参数名': ['text'], '参数类型': ['STRING'], '参数注意事项': ['']}]",[{}]
Hashing Algorithms API,https://rapidapi.com/salmanakbar264/api/hashing-algorithms-api/,hashing-algorithms-api.p.rapidapi.com,GET:ComputeMD5Hash,Computes the MD5 hash for a given input string,MD5,"[{'参数名': ['text'], '参数类型': ['STRING'], '参数注意事项': ['']}]",[{}]
Hashing Algorithms API,https://rapidapi.com/salmanakbar264/api/hashing-algorithms-api/,hashing-algorithms-api.p.rapidapi.com,GET:VerifyMD5Hash,Verifies if a given string matches an MD5 hash.,MD5,"[{'参数名': ['text', 'hash'], '参数类型': ['STRING', 'STRING'], '参数注意事项': ['', '']}]",[{}]
TweetFeed,https://rapidapi.com/danlopgom/api/tweetfeed/,tweetfeed.p.rapidapi.com,GET:v1,Version 1 Endpoint.,,[{}],"[{'参数名': ['filter2', 'filter1'], '参数类型': ['STRING', 'STRING'], '参数注意事项': [""Can be an specific user, type or tag:\nType → url / domain / ip / sha256 / md5\nTag → phishing / ransomware / CobaltStrike …\nUser → @malwrhunterteam / @1ZRR4H / @MBThreatIntel / … (don't forget the @)"", ""Can be an specific user, type or tag:\nType → url / domain / ip / sha256 / md5\nTag → phishing / ransomware / CobaltStrike …\nUser → @malwrhunterteam / @1ZRR4H / @MBThreatIntel / … (don't forget the @)""]}]"
Domain Generation Algorithm(DGA) Detection API,https://rapidapi.com/lazenifofana/api/domain-generation-algorithm-dga-detection-api/,domain-generation-algorithm-dga-detection-api.p.rapidapi.com,GET:Domain Generation Algorithm(DGA) Detection API,"This API helps you proactively defend against Domain generation algorithms (DGAs) threat.
It uses machine learning to analyze DGA, determines whether a domain
is likely to have been generated by a machine, rather than a person,
by reverse-engineering and a...",,[{}],"[{'参数名': ['DNS'], '参数类型': ['STRING'], '参数注意事项': ['']}]"
IP Anonymizer,https://rapidapi.com/narukaakshat/api/ip-anonymizer/,ip-anonymizer.p.rapidapi.com,GET:Decrypt IP,"Decrypt the ip by sending ""GET"" request along with encrypted_ip and secret_key as parameters.",,"[{'参数名': ['encrypted_ip', 'secret_key'], '参数类型': ['STRING', 'STRING'], '参数注意事项': ['', '']}]",[{}]
IP Anonymizer,https://rapidapi.com/narukaakshat/api/ip-anonymizer/,ip-anonymizer.p.rapidapi.com,GET:Encrypt IP,"Encrypt the ip by sending ""GET"" or ""POST"" request and ip as parameter.",,"[{'参数名': ['ip'], '参数类型': ['STRING'], '参数注意事项': ['']}]",[{}]
IP Threat Lookup,https://rapidapi.com/ryanwil1/api/ip-threat-lookup/,ip-threat-lookup.p.rapidapi.com,GET:ipLookup,"Get the details of a specific IP address, and whether it poses a threat to your network with a ""Confidence of Abuse"" score and the number of times it has been reported.",,"[{'参数名': ['ipAddress'], '参数类型': ['STRING'], '参数注意事项': ['']}]",[{}]
URL parsing and changing,https://rapidapi.com/contactazguer/api/url-parsing-and-changing/,url-parsing-and-changing.p.rapidapi.com,GET:Parsing url,parsing url info,,"[{'参数名': ['url'], '参数类型': ['STRING'], '参数注意事项': ['']}]",[{}]
istmp.email,https://rapidapi.com/info-m8Se5i-Kk/api/istmp-email/,istmp-email.p.rapidapi.com,GET:Check Email,Checks an email address to determine if it's a temporary/disposable address or not.,,"[{'参数名': ['email'], '参数类型': ['STRING'], '参数注意事项': ['']}]",[{}]
Simple Otp,https://rapidapi.com/safu92/api/simple-otp/,simple-otp.p.rapidapi.com,POST:OTP,Sends a request with phone number and the API will send random one time auto generated code to the phone number.,,[{}],[{}]
Password Generator,https://rapidapi.com/marook332-tgQpJK5rj/api/password-generator20/,password-generator20.p.rapidapi.com,GET:password,Generates a password with standard settings,,[{}],"[{'参数名': ['length', 'spchar', 'numbers', 'umlauts', 'quantity'], '参数类型': ['NUMBER', 'NUMBER', 'NUMBER', 'BOOLEAN', 'NUMBER'], '参数注意事项': ['Creates a password with the given length, max length is 32 chars', 'Number of special characters to be used', 'Number of digits to be used', 'If specified, German umlauts will be used like ä,ö,ü', 'Number of passwords issued, max is 10 per call.']}]"
IP Blacklist Risk Detector,https://rapidapi.com/evlar-evlar-default/api/ip-blacklist-risk-detector/,ip-blacklist-risk-detector.p.rapidapi.com,GET:Lookup IP,Lookup IP,,"[{'参数名': ['ip'], '参数类型': ['STRING'], '参数注意事项': ['']}]",[{}]
bis/bip-0039,https://rapidapi.com/gboban70/api/bis-bip-0039/,bis-bip-0039.p.rapidapi.com,GET:GET,Returns list of mnemonic words,,[{}],[{}]
Brandsek Breach Check,https://rapidapi.com/brandsek-brandsek-default/api/brandsek-breach-check1/,brandsek-breach-check1.p.rapidapi.com,POST:Breach Check,Pass domain or email to find the list of breaches associated with it.,,[{}],[{}]
Quantum Ready Check,https://rapidapi.com/mungert/api/quantum-ready-check/,quantum-ready-check.p.rapidapi.com,POST:checkQuantum,"This endpoint checks if the supplied URL is using quantum-safe key encapsulation mechanisms. For more information, visit our website at https://freenetworkmonitor.click.",Chat,[{}],[{}]
Random Password,https://rapidapi.com/narukaakshat/api/random-password1/,random-password1.p.rapidapi.com,GET:Random Password,"You can give desired length as Parameter and api will return Password in JSON Format after ""GET"" request.",,[{}],"[{'参数名': ['length'], '参数类型': ['STRING'], '参数注意事项': ['']}]"
