API名称,API链接,API_Host,Endpoint名称,Endpoint描述,Endpoint种类,Endpoint必须参数,Endpoint可选参数
Random Words,https://rapidapi.com/sheharyar566/api/random-words5/,random-words5.p.rapidapi.com,GET:Get a random word,Returns a random words from a list of more than 35000+ words,,[{}],"[{'参数名': ['wordLength', 'minLength', 'maxLength', 'includes', 'excludes', 'beginsWith', 'endsWith'], '参数类型': ['NUMBER', 'NUMBER', 'NUMBER', 'STRING', 'STRING', 'STRING', 'STRING'], '参数注意事项': ['', '', '', '', '', '', '']}]"
Random Words,https://rapidapi.com/sheharyar566/api/random-words5/,random-words5.p.rapidapi.com,GET:Get multiple random words,Get multiple random words (i.e. min 2 and max 50) from a list of 35000+ words,,[{}],"[{'参数名': ['wordLength', 'minLength', 'maxLength', 'includes', 'excludes', 'beginsWith', 'endsWith'], '参数类型': ['NUMBER', 'NUMBER', 'NUMBER', 'STRING', 'STRING', 'STRING', 'STRING'], '参数注意事项': ['', '', '', '', '', '', '']}]"
Random Words with Pronunciation,https://rapidapi.com/mcnaveen/api/random-words-with-pronunciation/,random-words-with-pronunciation.p.rapidapi.com,GET:word,Endpoint return new word with definition & pronunciation,,[{}],[{}]
Random Words with Pronunciation,https://rapidapi.com/mcnaveen/api/random-words-with-pronunciation/,random-words-with-pronunciation.p.rapidapi.com,GET:Dutch Words,Dutch Random Words API,,[{}],[{}]
Plagiarism Checker and Auto Citation Generator Multi-Lingual,https://rapidapi.com/smodin/api/plagiarism-checker-and-auto-citation-generator-multi-lingual/,plagiarism-checker-and-auto-citation-generator-multi-lingual.p.rapidapi.com,POST:Plagiarism and Citation Endpoint,"RAPID API test endpoint only returns a mock response. We recommend you use postman to test real data. **For questions or how to use Postman, please see ""About"" FAQ.",,[{}],[{}]
GetBooksInfo,https://rapidapi.com/riyanshgupta750/api/getbooksinfo/,getbooksinfo.p.rapidapi.com,GET:Search,Search Book by its name,,"[{'参数名': ['s'], '参数类型': ['STRING'], '参数注意事项': ['']}]",[{}]
Dictionary Data API,https://rapidapi.com/effeyerulez/api/dictionary-data-api/,dictionary-data-api.p.rapidapi.com,GET:GetDefinition,"This is used to retrieve definition, pronunciation and example usages of any word",,"[{'参数名': ['word'], '参数类型': ['STRING'], '参数注意事项': ['']}]",[{}]
Photomath,https://rapidapi.com/apidojo/api/photomath1/,photomath1.p.rapidapi.com,POST:maths/solve-problem,"Solve math problem by uploading an image of a math problem
Get samples images",,[{}],[{}]
Word of the day,https://rapidapi.com/jayantur13/api/word-of-the-day2/,word-of-the-day2.p.rapidapi.com,GET:Get word of the day from multiple sources,Gets word of the day from mutiple sources in one go easy.,,[{}],[{}]
Word of the day,https://rapidapi.com/jayantur13/api/word-of-the-day2/,word-of-the-day2.p.rapidapi.com,GET:Recent word of the day from DC,Fetches upto 3 recent word from Dictionary.com,Words from DC,[{}],[{}]
Word of the day,https://rapidapi.com/jayantur13/api/word-of-the-day2/,word-of-the-day2.p.rapidapi.com,GET:Word of the day from DC,Get word of the day from dictionary.com,Words from DC,[{}],[{}]
Word of the day,https://rapidapi.com/jayantur13/api/word-of-the-day2/,word-of-the-day2.p.rapidapi.com,GET:Get word of the day from multiple sources,Gets word of the day from mutiple sources in one go easy.,,[{}],[{}]
Word of the day,https://rapidapi.com/jayantur13/api/word-of-the-day2/,word-of-the-day2.p.rapidapi.com,GET:Recent word of the day from DC,Fetches upto 3 recent word from Dictionary.com,Words from DC,[{}],[{}]
Word of the day,https://rapidapi.com/jayantur13/api/word-of-the-day2/,word-of-the-day2.p.rapidapi.com,GET:Word of the day from DC,Get word of the day from dictionary.com,Words from DC,[{}],[{}]
Word of the day,https://rapidapi.com/jayantur13/api/word-of-the-day2/,word-of-the-day2.p.rapidapi.com,GET:Get word of the day from multiple sources,Gets word of the day from mutiple sources in one go easy.,,[{}],[{}]
Word of the day,https://rapidapi.com/jayantur13/api/word-of-the-day2/,word-of-the-day2.p.rapidapi.com,GET:Recent word of the day from DC,Fetches upto 3 recent word from Dictionary.com,Words from DC,[{}],[{}]
Word of the day,https://rapidapi.com/jayantur13/api/word-of-the-day2/,word-of-the-day2.p.rapidapi.com,GET:Word of the day from DC,Get word of the day from dictionary.com,Words from DC,[{}],[{}]
Word of the day,https://rapidapi.com/jayantur13/api/word-of-the-day2/,word-of-the-day2.p.rapidapi.com,GET:Get word of the day from multiple sources,Gets word of the day from mutiple sources in one go easy.,,[{}],[{}]
Word of the day,https://rapidapi.com/jayantur13/api/word-of-the-day2/,word-of-the-day2.p.rapidapi.com,GET:Recent word of the day from DC,Fetches upto 3 recent word from Dictionary.com,Words from DC,[{}],[{}]
Word of the day,https://rapidapi.com/jayantur13/api/word-of-the-day2/,word-of-the-day2.p.rapidapi.com,GET:Word of the day from DC,Get word of the day from dictionary.com,Words from DC,[{}],[{}]
Word of the day,https://rapidapi.com/jayantur13/api/word-of-the-day2/,word-of-the-day2.p.rapidapi.com,GET:Get word of the day from multiple sources,Gets word of the day from mutiple sources in one go easy.,,[{}],[{}]
Word of the day,https://rapidapi.com/jayantur13/api/word-of-the-day2/,word-of-the-day2.p.rapidapi.com,GET:Recent word of the day from DC,Fetches upto 3 recent word from Dictionary.com,Words from DC,[{}],[{}]
Word of the day,https://rapidapi.com/jayantur13/api/word-of-the-day2/,word-of-the-day2.p.rapidapi.com,GET:Word of the day from DC,Get word of the day from dictionary.com,Words from DC,[{}],[{}]
Word of the day,https://rapidapi.com/jayantur13/api/word-of-the-day2/,word-of-the-day2.p.rapidapi.com,GET:Get word of the day from multiple sources,Gets word of the day from mutiple sources in one go easy.,,[{}],[{}]
Word of the day,https://rapidapi.com/jayantur13/api/word-of-the-day2/,word-of-the-day2.p.rapidapi.com,GET:Recent word of the day from DC,Fetches upto 3 recent word from Dictionary.com,Words from DC,[{}],[{}]
Word of the day,https://rapidapi.com/jayantur13/api/word-of-the-day2/,word-of-the-day2.p.rapidapi.com,GET:Word of the day from DC,Get word of the day from dictionary.com,Words from DC,[{}],[{}]
"Instagram Reels, video Scraper 2023",https://rapidapi.com/gripgram23/api/instagram-reels-video-scraper-20231/,instagram-reels-video-scraper-20231.p.rapidapi.com,GET:getmediadata,,v1,"[{'参数名': ['q'], '参数类型': ['STRING'], '参数注意事项': ['entter valid reel, video url']}]",[{}]
Urban Dictionary,https://rapidapi.com/archergardinersheridan/api/urban-dictionary7/,urban-dictionary7.p.rapidapi.com,GET:Define a Word / Search,"Can be used to define a specific word, or search for word defintions",,"[{'参数名': ['term'], '参数类型': ['STRING'], '参数注意事项': ['']}]",[{}]
Urban Dictionary,https://rapidapi.com/archergardinersheridan/api/urban-dictionary7/,urban-dictionary7.p.rapidapi.com,GET:Random Word,Returns a list of random words & definitions from the Urban Dictionary database,,[{}],[{}]
Urban Dictionary,https://rapidapi.com/archergardinersheridan/api/urban-dictionary7/,urban-dictionary7.p.rapidapi.com,GET:Word of the Day,"Gets the Word of the Day for the past 10 days, including today.",,[{}],[{}]
Tafqit,https://rapidapi.com/postscripter/api/tafqit/,tafqit.p.rapidapi.com,POST:convert,"Convert the number into its Arabic text representation
حول العدد إلى ما يقابله كتابة",,[{}],[{}]
Numbers Translator,https://rapidapi.com/orthosie/api/numbers-translator/,numbers-spell.p.rapidapi.com,GET:Numbers Translator,Numbers Translator,,[{}],"[{'参数名': ['text'], '参数类型': ['STRING'], '参数注意事项': ['Numerical value of the number']}]"
Learn to read and write Japanese kanji,https://rapidapi.com/KanjiAlive/api/learn-to-read-and-write-japanese-kanji/,kanjialive-api.p.rapidapi.com,GET:Onyomi reading,The Advanced Search URL parameters are described here as individual endpoints to permit per parameter testing. Parameters may be combined as required.,Advanced Search,"[{'参数名': ['on'], '参数类型': ['STRING'], '参数注意事项': ['Katakana or romaji']}]",[{}]
