API名称,API链接,API_Host,Endpoint名称,Endpoint描述,Endpoint种类,Endpoint必须参数,Endpoint可选参数
Edamam Food and Grocery Database,https://rapidapi.com/edamam/api/edamam-food-and-grocery-database/,edamam-food-and-grocery-database.p.rapidapi.com,GET:/api/food-database/v2/parser,The parser access point handles text search for foods as well as filters for the foods like presence specific nutrient content or exclusion of allergens.,Food Request Step 1 - Parser,[{}],"[{'参数名': ['nutrients[WATER]', 'nutrients[K]', 'nutrients[SUGAR.added]', 'nutrients[FIBTG]', 'nutrients[VITK1]', 'nutrients[THIA]', 'nutrients[FOLAC]', 'nutrients[SUGAR]', 'nutrients[VITC]', 'nutrients[RIBF]', 'nutrients[CHOCDF.net]', 'nutrients[CHOCDF]', 'nutrients[VITD]', 'ingr', 'nutrition-type', 'nutrients[FOLDFE]', 'nutrients[TOCPHA]', 'nutrients[MG]', 'nutrients[CHOLE]', 'nutrients[FAT]', 'nutrients[PROCNT]', 'nutrients[FE]', 'category', 'nutrients[FATRN]', 'calories', 'upc', 'nutrients[VITB6A]', 'nutrients[FAMS]', 'nutrients[ENERC_KCAL]', 'nutrients[FASAT]', 'nutrients[NA]', 'nutrients[P]', 'nutrients[FAPU]', 'nutrients[CA]', 'nutrients[VITB12]', 'nutrients[ZN]', 'health', 'nutrients[NIA]', 'brand', 'nutrients[VITA_RAE]', 'nutrients[FOLFD]', 'nutrients[Sugar.alcohol]'], '参数类型': ['STRING', 'STRING', 'STRING', 'STRING', 'STRING', 'STRING', 'STRING', 'STRING', 'STRING', 'STRING', 'STRING', 'STRING', 'STRING', 'STRING', 'STRING', 'STRING', 'STRING', 'STRING', 'STRING', 'STRING', 'STRING', 'STRING', 'ARRAY', 'STRING', 'STRING', 'STRING', 'STRING', 'STRING', 'STRING', 'STRING', 'STRING', 'STRING', 'STRING', 'STRING', 'STRING', 'STRING', 'ARRAY', 'STRING', 'STRING', 'STRING', 'STRING', 'STRING'], '参数注意事项': ['Water. Unit: g. Input the range which is one of MIN+, MIN-MAX or MAX, where MIN and MAX are non-negative floating point numbers.\n\nSee calcium for an example for how to fill in the range.', 'Potassium, K. Unit: mg. Input the range which is one of MIN+, MIN-MAX or MAX, where MIN and MAX are non-negative floating point numbers.\n\nSee calcium for an example for how to fill in the range.', 'Sugars, added. Unit: g. Input the range which is one of MIN+, MIN-MAX or MAX, where MIN and MAX are non-negative floating point numbers.\n\nSee calcium for an example for how to fill in the range.', 'Fiber, total dietary. Unit: g. Input the range which is one of MIN+, MIN-MAX or MAX, where MIN and MAX are non-negative floating point numbers.\n\nSee calcium for an example for how to fill in the range.', 'Vitamin K (phylloquinone). Unit: µg. Input the range which is one of MIN+, MIN-MAX or MAX, where MIN and MAX are non-negative floating point numbers.\n\nSee calcium for an example for how to fill in the range.', 'Thiamin. Unit: mg. Input the range which is one of MIN+, MIN-MAX or MAX, where MIN and MAX are non-negative floating point numbers.\n\nSee calcium for an example for how to fill in the range.', 'Folic acid. Unit: µg. Input the range which is one of MIN+, MIN-MAX or MAX, where MIN and MAX are non-negative floating point numbers.\n\nSee calcium for an example for how to fill in the range.', 'Sugars, total. Unit: g. Input the range which is one of MIN+, MIN-MAX or MAX, where MIN and MAX are non-negative floating point numbers.\n\nSee calcium for an example for how to fill in the range.', 'Vitamin C, total ascorbic acid. Unit: mg. Input the range which is one of MIN+, MIN-MAX or MAX, where MIN and MAX are non-negative floating point numbers.\n\nSee calcium for an example for how to fill in the range.', 'Riboflavin. Unit: mg. Input the range which is one of MIN+, MIN-MAX or MAX, where MIN and MAX are non-negative floating point numbers.\n\nSee calcium for an example for how to fill in the range.', 'Carbohydrates (net). Unit: g. Input the range which is one of MIN+, MIN-MAX or MAX, where MIN and MAX are non-negative floating point numbers.\n\nSee calcium for an example for how to fill in the range.', 'Carbohydrate, by difference. Unit: g. Input the range which is one of MIN+, MIN-MAX or MAX, where MIN and MAX are non-negative floating point numbers.\n\nSee calcium for an example for how to fill in the range.', 'Vitamin D (D2 + D3). Unit: µg. Input the range which is one of MIN+, MIN-MAX or MAX, where MIN and MAX are non-negative floating point numbers.\n\nSee calcium for an example for how to fill in the range.', ""A keyword search parameter to be found in the food name. REQUIRED if 'upc' and 'brand' are not specified. NOT REQUIRED if 'brand' is specified. DO NOT POPULATE if 'upc' is specified."", 'Select between cooking and food logging processor.', 'Folate, DFE. Unit: µg. Input the range which is one of MIN+, MIN-MAX or MAX, where MIN and MAX are non-negative floating point numbers.\n\nSee calcium for an example for how to fill in the range.', 'Vitamin E (alpha-tocopherol). Unit: mg. Input the range which is one of MIN+, MIN-MAX or MAX, where MIN and MAX are non-negative floating point numbers.\n\nSee calcium for an example for how to fill in the range.', 'Magnesium. Unit: mg. Input the range which is one of MIN+, MIN-MAX or MAX, where MIN and MAX are non-negative floating point numbers.\n\nSee calcium for an example for how to fill in the range.', 'Cholesterol. Unit: mg. Input the range which is one of MIN+, MIN-MAX or MAX, where MIN and MAX are non-negative floating point numbers.\n\nSee calcium for an example for how to fill in the range.', 'Total lipid (fat). Unit: g. Input the range which is one of MIN+, MIN-MAX or MAX, where MIN and MAX are non-negative floating point numbers.\n\nSee calcium for an example for how to fill in the range.', 'Protein. Unit: g. Input the range which is one of MIN+, MIN-MAX or MAX, where MIN and MAX are non-negative floating point numbers.\n\nSee calcium for an example for how to fill in the range.', 'Iron, Fe. Unit: mg. Input the range which is one of MIN+, MIN-MAX or MAX, where MIN and MAX are non-negative floating point numbers.\n\nSee calcium for an example for how to fill in the range.', 'Categories', 'Fatty acids, total trans. Unit: g. Input the range which is one of MIN+, MIN-MAX or MAX, where MIN and MAX are non-negative floating point numbers.\n\nSee calcium for an example for how to fill in the range.', 'The format is calories=RANGE where RANGE is replaced by the value in kcal. RANGE is in one of MIN+, MIN-MAX or MAX, where MIN and MAX are non-negative integer numbers. The + symbol needs to be properly encoded. Examples: “calories=100-300” will return all recipes with which have between 100 and 300 kcal per serving.', ""Valid UPC, EAN, or PLU code. REQUIRED if neither 'ingr' nor 'brand' are specified. DO NOT POPULATE otherwise."", 'Vitamin B6. Unit: mg. Input the range which is one of MIN+, MIN-MAX or MAX, where MIN and MAX are non-negative floating point numbers.\n\nSee calcium for an example for how to fill in the range.', 'Fatty acids, total monounsaturated. Unit: g. Input the range which is one of MIN+, MIN-MAX or MAX, where MIN and MAX are non-negative floating point numbers.\n\nSee calcium for an example for how to fill in the range.', 'Energy. Unit: kcal. Input the range which is one of MIN+, MIN-MAX or MAX, where MIN and MAX are non-negative floating point numbers.\n\nSee calcium for an example for how to fill in the range.', 'Fatty acids, total saturated. Unit: g. Input the range which is one of MIN+, MIN-MAX or MAX, where MIN and MAX are non-negative floating point numbers.\n\nSee calcium for an example for how to fill in the range.', 'Sodium, Na. Unit: mg. Input the range which is one of MIN+, MIN-MAX or MAX, where MIN and MAX are non-negative floating point numbers.\n\nSee calcium for an example for how to fill in the range.', 'Phosphorus, P. Unit: mg. Input the range which is one of MIN+, MIN-MAX or MAX, where MIN and MAX are non-negative floating point numbers.\n\nSee calcium for an example for how to fill in the range.', 'Fatty acids, total polyunsaturated. Unit: g. Input the range which is one of MIN+, MIN-MAX or MAX, where MIN and MAX are non-negative floating point numbers.\n\nSee calcium for an example for how to fill in the range.', 'Calcium, Ca. Unit: mg. Input the range which is one of MIN+, MIN-MAX or MAX, where MIN and MAX are non-negative floating point numbers.\n\nFor example: nutrients[CA]=50+ means minimum 50mg calcium, where ‘50+’ has to be properly encoded as ‘50%2B’ nutrients[FAT]=30 means maximum 30g fat and nutrients[FE]=5-10 means iron between 5mg and 10mg inclusive', 'Vitamin B12. Unit: µg. Input the range which is one of MIN+, MIN-MAX or MAX, where MIN and MAX are non-negative floating point numbers.\n\nSee calcium for an example for how to fill in the range.', 'Zinc, Zn. Unit: mg. Input the range which is one of MIN+, MIN-MAX or MAX, where MIN and MAX are non-negative floating point numbers.\n\nSee calcium for an example for how to fill in the range.', 'Health label', 'Niacin. Unit: mg. Input the range which is one of MIN+, MIN-MAX or MAX, where MIN and MAX are non-negative floating point numbers.\n\nSee calcium for an example for how to fill in the range.', ""A keyword search parameter to be found in the food's brand. REQUIRED if 'ingr' and 'upc' are not specified. NOT REQUIRED if 'ingr' is specified. DO NOT POPULATE if 'upc' is specified."", 'Vitamin A, RAE. Unit: µg. Input the range which is one of MIN+, MIN-MAX or MAX, where MIN and MAX are non-negative floating point numbers.\n\nSee calcium for an example for how to fill in the range.', 'Folate (food). Unit: µg. Input the range which is one of MIN+, MIN-MAX or MAX, where MIN and MAX are non-negative floating point numbers.\n\nSee calcium for an example for how to fill in the range.', 'Sugar alcohols. Unit: g. Input the range which is one of MIN+, MIN-MAX or MAX, where MIN and MAX are non-negative floating point numbers.\n\nSee calcium for an example for how to fill in the range.']}]"
Edamam Food and Grocery Database,https://rapidapi.com/edamam/api/edamam-food-and-grocery-database/,edamam-food-and-grocery-database.p.rapidapi.com,POST:/api/food-database/v2/nutrients,"In the response to your parser request you receive the a food ID for each database match. Using the food ID and the measure URI, which parser provides, you can make a request to the nutrients access point. The nutrients access points returns nutrition with diet and health labe...",Food Request Step 2 - Nutrients,[{}],[{}]
Edamam Food and Grocery Database,https://rapidapi.com/edamam/api/edamam-food-and-grocery-database/,edamam-food-and-grocery-database.p.rapidapi.com,GET:/auto-complete,"Edamam provides a convenient autocomplete functionality which can be implemented for use when searching for ingredients. Just send in the current query as the ""q"" parameter and the number of suggestions you wish to receive as the ""limit"" parameter.",Food Search Autocomplete,[{}],"[{'参数名': ['limit'], '参数类型': ['NUMBER'], '参数注意事项': ['response limit']}]"
The Cocktail DB,https://rapidapi.com/thecocktaildb/api/the-cocktail-db/,the-cocktail-db.p.rapidapi.com,GET:Search cocktail by name,Search cocktails by name,Search,[{}],"[{'参数名': ['s'], '参数类型': ['STRING'], '参数注意事项': ['Search Cocktail Ingredient by Name']}]"
The Cocktail DB,https://rapidapi.com/thecocktaildb/api/the-cocktail-db/,the-cocktail-db.p.rapidapi.com,GET:Search by ingredient,Search by ingredient,Search,[{}],"[{'参数名': ['i'], '参数类型': ['STRING'], '参数注意事项': ['Ingredient']}]"
The Cocktail DB,https://rapidapi.com/thecocktaildb/api/the-cocktail-db/,the-cocktail-db.p.rapidapi.com,GET:Search ingredient by name,Search ingredient by name,Search,[{}],"[{'参数名': ['i'], '参数类型': ['STRING'], '参数注意事项': ['Ingredient Search Query']}]"
The Cocktail DB,https://rapidapi.com/thecocktaildb/api/the-cocktail-db/,the-cocktail-db.p.rapidapi.com,GET:Lookup a random cocktail,Lookup a random cocktail,Lookup,[{}],[{}]
The Cocktail DB,https://rapidapi.com/thecocktaildb/api/the-cocktail-db/,the-cocktail-db.p.rapidapi.com,GET:Lookup full cocktail details by ID,Lookup full cocktail details by ID,Lookup,[{}],"[{'参数名': ['i'], '参数类型': ['STRING'], '参数注意事项': ['Cocktail ID']}]"
The Cocktail DB,https://rapidapi.com/thecocktaildb/api/the-cocktail-db/,the-cocktail-db.p.rapidapi.com,GET:Lookup ingredient by ID,Lookup ingredient by ID,Lookup,[{}],"[{'参数名': ['iid'], '参数类型': ['STRING'], '参数注意事项': ['Ingredient ID']}]"
The Cocktail DB,https://rapidapi.com/thecocktaildb/api/the-cocktail-db/,the-cocktail-db.p.rapidapi.com,GET:Lookup a selection of 10 random cocktails,Lookup a selection of 10 random cocktails,Lookup,[{}],[{}]
