API名称,API链接,API_Host,Endpoint名称,Endpoint描述,Endpoint种类,Endpoint必须参数,Endpoint可选参数
AirVisual,https://rapidapi.com/apidojo/api/airvisual1/,airvisual1.p.rapidapi.com,GET:v2/auto-complete,"Find countries, cities, places by name",,[{}],"[{'参数名': ['x-user-lang', 'x-user-timezone', 'x-aqi-index', 'x-units-pressure', 'x-units-distance', 'x-units-temperature'], '参数类型': ['STRING', 'STRING', 'STRING', 'STRING', 'STRING', 'STRING'], '参数注意事项': ['', '', 'One of the following : us|cn', 'One of the following : hg|mbar', 'One of the following : miles|kilometer', 'One of the following : fahrenheit|celsius']}]"
AirVisual,https://rapidapi.com/apidojo/api/airvisual1/,airvisual1.p.rapidapi.com,POST:places/v2/list,List places with brief information,,[{}],[{}]
AirVisual,https://rapidapi.com/apidojo/api/airvisual1/,airvisual1.p.rapidapi.com,GET:places/v2/list-by-map,List places in an area by providing a boundary box,,[{}],"[{'参数名': ['x-user-lang', 'x-user-timezone', 'x-aqi-index', 'x-units-pressure', 'x-units-distance', 'x-units-temperature'], '参数类型': ['STRING', 'STRING', 'STRING', 'STRING', 'STRING', 'STRING'], '参数注意事项': ['', '', 'One of the following : us|cn', 'One of the following : hg|mbar', 'One of the following : miles|kilometer', 'One of the following : fahrenheit|celsius']}]"
AirVisual,https://rapidapi.com/apidojo/api/airvisual1/,airvisual1.p.rapidapi.com,GET:auto-complete (Deprecated),"Find countries, cities, places by name",,"[{'参数名': ['query'], '参数类型': ['STRING'], '参数注意事项': ['Name of countries, cities, districts, places, etc…']}]",[{}]
AirVisual,https://rapidapi.com/apidojo/api/airvisual1/,airvisual1.p.rapidapi.com,POST:places/list (Deprecated),List places with brief information,,[{}],[{}]
AirVisual,https://rapidapi.com/apidojo/api/airvisual1/,airvisual1.p.rapidapi.com,GET:places/list-by-map (Deprecated),List places in an area by providing a boundary box,,[{}],"[{'参数名': ['aqiIndex', 'lang', 'timezone'], '参数类型': ['STRING', 'STRING', 'STRING'], '参数注意事项': ['AQI index (us | cn)', 'Language code', 'Timezone']}]"
AirVisual,https://rapidapi.com/apidojo/api/airvisual1/,airvisual1.p.rapidapi.com,GET:cities/v2/get-information,Get information in specific city by its id,cities,[{}],"[{'参数名': ['x-user-lang', 'x-user-timezone', 'x-aqi-index', 'x-units-pressure', 'x-units-distance', 'x-units-temperature'], '参数类型': ['STRING', 'STRING', 'STRING', 'STRING', 'STRING', 'STRING'], '参数注意事项': ['', '', 'One of the following : us|cn', 'One of the following : hg|mbar', 'One of the following : miles|kilometer', 'One of the following : fahrenheit|celsius']}]"
AirVisual,https://rapidapi.com/apidojo/api/airvisual1/,airvisual1.p.rapidapi.com,GET:cities/v2/get-measurements,Get measurements in specific city by its id,cities,[{}],"[{'参数名': ['x-user-lang', 'x-user-timezone', 'x-aqi-index', 'x-units-pressure', 'x-units-distance', 'x-units-temperature'], '参数类型': ['STRING', 'STRING', 'STRING', 'STRING', 'STRING', 'STRING'], '参数注意事项': ['', '', 'One of the following : us|cn', 'One of the following : hg|mbar', 'One of the following : miles|kilometer', 'One of the following : fahrenheit|celsius']}]"
AirVisual,https://rapidapi.com/apidojo/api/airvisual1/,airvisual1.p.rapidapi.com,GET:cities/get-measurements (Deprecated),Get measurements in specific city by its id,cities,[{}],"[{'参数名': ['timezone', 'aqiIndex', 'lang'], '参数类型': ['STRING', 'STRING', 'STRING'], '参数注意事项': ['', '', '']}]"
AirVisual,https://rapidapi.com/apidojo/api/airvisual1/,airvisual1.p.rapidapi.com,GET:cities/get-information (Deprecated),Get information in specific city by its id,cities,[{}],"[{'参数名': ['timezone', 'lang', 'aqiIndex'], '参数类型': ['STRING', 'STRING', 'STRING'], '参数注意事项': ['', '', 'AQI index (us | cn)']}]"
AirVisual,https://rapidapi.com/apidojo/api/airvisual1/,airvisual1.p.rapidapi.com,GET:stations/v2/get-information,Get information at specific station by its id,stations,[{}],"[{'参数名': ['x-user-lang', 'x-aqi-index', 'x-units-pressure', 'x-units-distance', 'x-user-timezone', 'x-units-temperature'], '参数类型': ['STRING', 'STRING', 'STRING', 'STRING', 'STRING', 'STRING'], '参数注意事项': ['', 'One of the following : us|cn', 'One of the following : hg|mbar', 'One of the following : miles|kilometer', '', 'One of the following : fahrenheit|celsius']}]"
AirVisual,https://rapidapi.com/apidojo/api/airvisual1/,airvisual1.p.rapidapi.com,GET:stations/v2/get-measurements,Get measurements at specific station by its id,stations,[{}],"[{'参数名': ['x-user-lang', 'x-aqi-index', 'x-units-pressure', 'x-units-distance', 'x-user-timezone', 'x-units-temperature'], '参数类型': ['STRING', 'STRING', 'STRING', 'STRING', 'STRING', 'STRING'], '参数注意事项': ['', 'One of the following : us|cn', 'One of the following : hg|mbar', 'One of the following : miles|kilometer', '', 'One of the following : fahrenheit|celsius']}]"
AirVisual,https://rapidapi.com/apidojo/api/airvisual1/,airvisual1.p.rapidapi.com,GET:stations/get-information (Deprecated),Get information at specific station by its id,stations,[{}],"[{'参数名': ['lang', 'aqiIndex', 'timezone'], '参数类型': ['STRING', 'STRING', 'STRING'], '参数注意事项': ['', 'AQI index (us | cn)', '']}]"
AirVisual,https://rapidapi.com/apidojo/api/airvisual1/,airvisual1.p.rapidapi.com,GET:stations/get-measurements (Deprecated),Get measurements at specific station by its id,stations,[{}],"[{'参数名': ['timezone', 'aqiIndex', 'lang'], '参数类型': ['STRING', 'STRING', 'STRING'], '参数注意事项': ['', 'AQI index (us | cn)', '']}]"
Exercises by API-Ninjas,https://rapidapi.com/apininjas/api/exercises-by-api-ninjas/,exercises-by-api-ninjas.p.rapidapi.com,GET:/v1/exercises,API Ninjas Exercises API endpoint. Returns up to 10 exercises that satisfy the given parameters.,,[{}],"[{'参数名': ['name', 'type', 'muscle', 'difficulty', 'offset'], '参数类型': ['STRING', 'STRING', 'STRING', 'STRING', 'NUMBER'], '参数注意事项': ['name of exercise. This value can be partial (e.g. press will match Dumbbell Bench Press)', 'exercise type. Possible values are:\ncardio\nolympic_weightlifting\nplyometrics\npowerlifting\nstrength\nstretching\nstrongman', 'muscle group targeted by the exercise. Possible values are:\nabdominals\nabductors\nadductors\nbiceps\ncalves\nchest\nforearms\nglutes\nhamstrings\nlats\nlower_back\nmiddle_back\nneck\nquadriceps\ntraps\ntriceps', 'difficulty level of the exercise. Possible values are:\nbeginner\nintermediate\nexpert', 'number of results to offset for pagination. Default is 0.']}]"
ExerciseAPI,https://rapidapi.com/mortimerbrian135/api/exerciseapi3/,exerciseapi3.p.rapidapi.com,GET:SearchByName,Search by name,,"[{'参数名': ['name'], '参数类型': ['STRING'], '参数注意事项': ['']}]",[{}]
ExerciseAPI,https://rapidapi.com/mortimerbrian135/api/exerciseapi3/,exerciseapi3.p.rapidapi.com,GET:SearchByPrimaryMuscle,Search by Primary Muscle,,"[{'参数名': ['muscle'], '参数类型': ['STRING'], '参数注意事项': ['']}]",[{}]
