API名称,API链接,API_Host,Endpoint名称,Endpoint描述,Endpoint种类,Endpoint必须参数,Endpoint可选参数
Referential,https://rapidapi.com/referential/api/referential/,referential.p.rapidapi.com,GET:City by IP address (Geo IP),"Find a city, state, country and continent by IP address. For some results, the closest result within 10 miles will be provided.",Geography,[{}],"[{'参数名': ['fields'], '参数类型': ['STRING'], '参数注意事项': ['Select fields to return in result [geonameid, timezone,state_code,iso_a2]']}]"
Referential,https://rapidapi.com/referential/api/referential/,referential.p.rapidapi.com,GET:Countries,"List or search countries of the world in different languages.. Get iso a2, a3 country code and localized country name",Geography,[{}],"[{'参数名': ['currency_code', 'currency_num_code', 'fields', 'continent_code', 'iso_a2', 'dial_code', 'lang', 'iso_a3', 'currency', 'name', 'limit'], '参数类型': ['STRING', 'STRING', 'STRING', 'STRING', 'STRING', 'NUMBER', 'STRING', 'STRING', 'STRING', 'STRING', 'NUMBER'], '参数注意事项': ['Filter on 3 letter currency code (ISO)', 'Filter on 3 digit numeric currency code (ISO)', 'Select fields to return for each country [iso_a2, iso_a3, continent_code, dial_code, currency_code, currency_num_code, currency]', 'Two letter region/continent code (eu, na, sa, as, af, oc, an). Lookup at /v1/continent.', 'Filter on 2 letter iso country code', 'Filter on country dial code', 'Language selection ISO 639-2 letter code. Overrides Accept-Language header. Defaults to browser value. Default: en', 'Filter on 3 letter iso country code', 'Filter on currency name in chosen lang', 'Country name search string. Can be partial contains…', '']}]"
Referential,https://rapidapi.com/referential/api/referential/,referential.p.rapidapi.com,GET:Cities,"List and search over 75,000 world cities in 20 languages.",Geography,[{}],"[{'参数名': ['fields', 'iso_a2', 'state_hasc', 'timezone_offset', 'timezone', 'lang', 'name', 'state_code', 'geonameid', 'prefix', 'sort', 'order', 'limit'], '参数类型': ['STRING', 'STRING', 'STRING', 'NUMBER', 'STRING', 'STRING', 'STRING', 'STRING', 'STRING', 'STRING', 'STRING', 'STRING', 'NUMBER'], '参数注意事项': ['Select fields to return in result [iso_a2,state_code,timezone,timezone_offset,state_hasc,geonameid]', 'Filter on 2 letter country code', ""Filter on state's HASC code. List at /v1/state."", 'Filter on timezone offset in hours', 'Filter on timezone name. List at /v1/timezone.', 'Language selection ISO 639-2 letter code. Overrides Accept-Language header. Defaults to browser value. Default: en', 'Search as \\""contains\\"" on city name in chosen lang', ""Filter on state's ISO-3166-2 letter code. List at /v1/state"", 'Filter on geonameid', 'Search by names starting with prefix. See also limit, order and sort fields.', 'Sort on field [population, state_code, name, timezone, state_hasc, iso_a2]. Please see limit and order fields.', 'Sort order [asc | desc]', 'Limit results to N results']}]"
Referential,https://rapidapi.com/referential/api/referential/,referential.p.rapidapi.com,GET:State,List the sub-regions/states/provinces/departments of the world's countries,Geography,[{}],"[{'参数名': ['iso_3166_2', 'fields', 'name', 'iso_a2', 'lang', 'limit'], '参数类型': ['STRING', 'STRING', 'STRING', 'STRING', 'STRING', 'NUMBER'], '参数注意事项': [""Filter on Subregion's ISO-3166-2 letter code"", 'Select fields to select in the result [iso_a2]', 'Filter as \\""contains\\"" on the states\'s name in chosen lang', 'Filter on 2 letter country code', 'Language selection ISO 639-2 letter code. Overrides Accept-Language header. Defaults to browser value. Default: en', '']}]"
Referential,https://rapidapi.com/referential/api/referential/,referential.p.rapidapi.com,GET:City by id,"Direct lookup of over 75,000 cities by id. See the v1/city API to search for city ids.",Geography,[{}],"[{'参数名': ['lang', 'fields'], '参数类型': ['STRING', 'STRING'], '参数注意事项': ['Language selection ISO 639-2 letter code. Overrides Accept-Language header. Defaults to browser value. Default: en', 'Select fields to return in result [iso_a2,state_code,timezone,timezone_offset,state_hasc]']}]"
Referential,https://rapidapi.com/referential/api/referential/,referential.p.rapidapi.com,GET:Country by iso code,Get country by 2 letter iso code localized to a given language,Geography,[{}],"[{'参数名': ['fields', 'lang'], '参数类型': ['STRING', 'STRING'], '参数注意事项': ['Comma deliminated list of fields to return in response', '2 letter iso language code to localize country name']}]"
Referential,https://rapidapi.com/referential/api/referential/,referential.p.rapidapi.com,GET:State by id,Lookup sub-regions/states/provinces/departments by iso 3166-2 code,Geography,[{}],"[{'参数名': ['fields', 'lang'], '参数类型': ['STRING', 'STRING'], '参数注意事项': ['Select fields to return in result [iso_a2]', 'Language selection ISO 639-2 letter code. Overrides Accept-Language header. Defaults to browser value. Default: en']}]"
Referential,https://rapidapi.com/referential/api/referential/,referential.p.rapidapi.com,GET:Continent by id,Lookup a continent by id,Geography,[{}],"[{'参数名': ['lang', 'continent_code', 'name', 'fields'], '参数类型': ['STRING', 'STRING', 'STRING', 'STRING'], '参数注意事项': ['Two letter iso 639-2 language code (i.e. en, sv, pl etc). Lookup /v1/lang.', 'Filter on 2 letter continent code', 'Filter on continent name (value field) as \\""contains\\""', 'Select fields to return for each continent [iso_a2, iso_a3, continent_code, dial_code, currency_code, currency_num_code, currency]']}]"
Referential,https://rapidapi.com/referential/api/referential/,referential.p.rapidapi.com,GET:Continents,List continents of the world localized to requested language,Geography,[{}],"[{'参数名': ['fields', 'continent_code', 'lang', 'name'], '参数类型': ['STRING', 'STRING', 'STRING', 'STRING'], '参数注意事项': ['Select fields to return for each continent [iso_a2, iso_a3, continent_code, dial_code, currency_code, currency_num_code, currency]', 'Filter on 2 letter continent code', 'Two letter iso 639-2 language code (i.e. en, sv, pl etc). Lookup /v1/lang.', 'Filter as ""contains"" on continent name in chosen lang']}]"
Referential,https://rapidapi.com/referential/api/referential/,referential.p.rapidapi.com,GET:Timezones,List the world's time zones in 20 languages,Locale,[{}],"[{'参数名': ['offset', 'name', 'daylights', 'code', 'daylights_code', 'timezone', 'daylights_offset', 'fields', 'lang'], '参数类型': ['STRING', 'STRING', 'STRING', 'STRING', 'STRING', 'STRING', 'STRING', 'STRING', 'STRING'], '参数注意事项': ['Filter on non daylights savings offset in hours', 'Filter as ""contains"" on timezone name in chosen lang', 'Filter on daylights savings/non daylight savings timezones (true,false)', 'Filter on 3 letter non daylight savings timezone code (not unique)', 'Filter on daylights savings letter code (not unique)', 'Filter on timezone name in english', 'Filter on daylights savings offset in hours', 'Select fields to return in result [code,timezone,daylights_code,daylights_offset,daylights,hours_offset,offset]', 'Language selection ISO 639-2 letter code. Overrides Accept-Language header. Defaults to browser value. Default: en']}]"
