API名称,API链接,API_Host,Endpoint名称,Endpoint描述,Endpoint种类,Endpoint必须参数,Endpoint可选参数
TrueWay Matrix,https://rapidapi.com/trueway/api/trueway-matrix/,trueway-matrix.p.rapidapi.com,GET:CalculateDrivingDistanceMatrix,Calculate distances and durations between a set of origins and destinations.,,[{}],"[{'参数名': ['start_time', 'destinations', 'avoid_highways', 'avoid_tolls', 'avoid_ferries'], '参数类型': ['STRING', 'STRING', 'BOOLEAN', 'BOOLEAN', 'BOOLEAN'], '参数注意事项': ['Time when travel is expected to start. You can specify the time as an integer in seconds since midnight, January 1, 1970 UTC or you can use \\""now\\"" to specify the current time.', 'List of destinations described as semicolon-delimited coordinate pairs with latitudes and longitudes. If not specified, an n x n matrix will be generated using the origins. Max: 25', 'avoid highways', 'avoid toll roads', 'avoid ferries']}]"
MapTiles,https://rapidapi.com/MapTilesApi/api/maptiles/,maptiles.p.rapidapi.com,GET:getMapTilewithSpanishLabels,Raster Map Tiles with Spanish Labels. Please see tutorial on how to use the Spanish world map.,,"[{'参数名': ['x', 'z', 'y'], '参数类型': ['NUMBER', 'NUMBER', 'NUMBER'], '参数注意事项': ['X-number of tile (see documentation)', 'zoom (from 0 up to zoom 19)', 'Y-number of tile (see documentation)']}]",[{}]
MapTiles,https://rapidapi.com/MapTilesApi/api/maptiles/,maptiles.p.rapidapi.com,GET:getMapTilewithEnglishLabels,Raster Map Tiles with English Labels. Please see our tutorials page on how to use this.,,"[{'参数名': ['z', 'x', 'y'], '参数类型': ['NUMBER', 'NUMBER', 'NUMBER'], '参数注意事项': ['zoom (from 0 up to zoom 19)', 'X-number of tile (see documentation)', 'Y-number of tile (see documentation)']}]",[{}]
MapTiles,https://rapidapi.com/MapTilesApi/api/maptiles/,maptiles.p.rapidapi.com,GET:getMapTilewithFrenchLabels,Raster Map Tiles with French Labels,,"[{'参数名': ['x', 'z', 'y'], '参数类型': ['NUMBER', 'NUMBER', 'NUMBER'], '参数注意事项': ['X-number of tile (see documentation)', 'zoom (from 0 up to zoom 19)', 'Y-number of tile (see documentation)']}]",[{}]
MapTiles,https://rapidapi.com/MapTilesApi/api/maptiles/,maptiles.p.rapidapi.com,GET:getStandardMapTile,Standard tiles with labels in local language for a place (untranslated and untransliterated) as known from OpenStreetMap,,"[{'参数名': ['y', 'x', 'z'], '参数类型': ['NUMBER', 'NUMBER', 'NUMBER'], '参数注意事项': ['Y-number of tile (see documentation)', 'X-number of tile (see documentation)', 'zoom (from 0 up to zoom 19)']}]",[{}]
TrueWay Directions,https://rapidapi.com/trueway/api/trueway-directions2/,trueway-directions2.p.rapidapi.com,GET:FindDrivingRoute,Find the best route and get multiple stops driving directions,,[{}],"[{'参数名': ['optimize', 'avoid_ferries', 'avoid_highways', 'avoid_tolls', 'geometry_format'], '参数类型': ['BOOLEAN', 'BOOLEAN', 'BOOLEAN', 'BOOLEAN', 'STRING'], '参数注意事项': ['Instructs the API to reorder stops to find the optimized route. The route first stop and last stop order is not changed, their position is considered fixed.', 'the route should avoid ferries', 'the route should avoid highways', 'the route should avoid toll roads', 'geometry format: latlng, lnglat or geojson']}]"
TrueWay Directions,https://rapidapi.com/trueway/api/trueway-directions2/,trueway-directions2.p.rapidapi.com,GET:FindDrivingPath,"Find the best route between an origin and a destination, passing through waypoints (if specified)",,[{}],"[{'参数名': ['waypoints', 'geometry_format', 'avoid_highways', 'start_time', 'avoid_tolls', 'avoid_ferries'], '参数类型': ['STRING', 'STRING', 'BOOLEAN', 'STRING', 'BOOLEAN', 'BOOLEAN'], '参数注意事项': ['Specifies an array of intermediate locations to include along the route between the origin and destination points as pass through locations. Max: 23', 'geometry format: latlng, lnglat or geojson', 'the route should avoid highways', 'Time when travel is expected to start. You can specify the time as an integer in seconds since midnight, January 1, 1970 UTC or you can use \\\\""now\\\\"" to specify the current time.', 'the route should avoid toll roads', 'the route should avoid ferries']}]"
Mexico ZIP Codes,https://rapidapi.com/acrogenesis-llc-api/api/mexico-zip-codes/,mexico-zip-codes.p.rapidapi.com,GET:Search zip codes,Search for valid zip codes with starting digits,,"[{'参数名': ['codigo_postal'], '参数类型': ['STRING'], '参数注意事项': ['Part of a zip code']}]",[{}]
Mexico ZIP Codes,https://rapidapi.com/acrogenesis-llc-api/api/mexico-zip-codes/,mexico-zip-codes.p.rapidapi.com,GET:Zip Code Information,Retrieves the information of a particular zip code,,"[{'参数名': ['zip_code'], '参数类型': ['STRING'], '参数注意事项': ['A zip code']}]",[{}]
Places,https://rapidapi.com/opentripmap/api/places1/,opentripmap-places-v1.p.rapidapi.com,GET:Geographic coordinates by placename,"Returns geographic coordinates for the given placename (city, village, etc.). The method returns the place whose name is most similar to the search string.",,[{}],"[{'参数名': ['country'], '参数类型': ['STRING'], '参数注意事项': ['Two-letter country code, ISO-3166 (optional). Default is all countries.']}]"
