API名称,API链接,API_Host,Endpoint名称,Endpoint描述,Endpoint种类,Endpoint必须参数,Endpoint可选参数
Movies App,https://rapidapi.com/dotero27022001/api/movies-app1/,movies-app1.p.rapidapi.com,GET:List of Movie Genres,Return the List of Movie Genres,Movies,[{}],[{}]
Movies App,https://rapidapi.com/dotero27022001/api/movies-app1/,movies-app1.p.rapidapi.com,GET:List of Movie Years,Return the List of Movie Years,Movies,[{}],[{}]
Movies App,https://rapidapi.com/dotero27022001/api/movies-app1/,movies-app1.p.rapidapi.com,GET:Movie Trailers,Return the Movie Trailers,Movies,"[{'参数名': ['id'], '参数类型': ['STRING'], '参数注意事项': ['the movie id']}]",[{}]
Movies App,https://rapidapi.com/dotero27022001/api/movies-app1/,movies-app1.p.rapidapi.com,GET:Movies List,Return a Movies List,Movies,[{}],"[{'参数名': ['page', 'limit', 'sort', 'type', 'query', 'year', 'genres'], '参数类型': ['NUMBER', 'NUMBER', 'ENUM', 'ENUM', 'STRING', 'NUMBER', 'ENUM'], '参数注意事项': ['the page of the list movies', 'the limited number of items', 'sort the movies descending by a field the limited number of items', '', '', '', '']}]"
Movies App,https://rapidapi.com/dotero27022001/api/movies-app1/,movies-app1.p.rapidapi.com,GET:Movie by id,Return Movie by id,Movies,"[{'参数名': ['id'], '参数类型': ['STRING'], '参数注意事项': ['the movie id']}]",[{}]
Movies App,https://rapidapi.com/dotero27022001/api/movies-app1/,movies-app1.p.rapidapi.com,GET:Episode by Movie id and Number of Season/Episode,Return the Episode by Movie id and Number of Season/Episode,Episodes,"[{'参数名': ['episode_number', 'movie_id', 'season_number'], '参数类型': ['NUMBER', 'STRING', 'NUMBER'], '参数注意事项': ['the episode number', 'the movie id', 'the season number']}]",[{}]
Movies App,https://rapidapi.com/dotero27022001/api/movies-app1/,movies-app1.p.rapidapi.com,GET:Episode by id,Return Episode by id,Episodes,"[{'参数名': ['id'], '参数类型': ['STRING'], '参数注意事项': ['the episode id']}]",[{}]
Movies App,https://rapidapi.com/dotero27022001/api/movies-app1/,movies-app1.p.rapidapi.com,GET:List of episodes,Return the List of Episodes,Episodes,[{}],"[{'参数名': ['page', 'limit'], '参数类型': ['NUMBER', 'NUMBER'], '参数注意事项': ['the page of the list episodes', 'the limited number of items']}]"
Movies Tv Shows Database,https://rapidapi.com/amrelrafie/api/movies-tv-shows-database/,movies-tv-shows-database.p.rapidapi.com,GET:Get Movie by ID,"A valid Movie ID (e.g. tt1375666)
return Title, Description, Year, Release Date, Rated, Runtime, Genre, Directors, Actors, Languages, Country
Rating, votes, Popularity, id",Movies,"[{'参数名': ['movieid'], '参数类型': ['STRING'], '参数注意事项': ['A valid Movie ID (e.g. tt1375666)']}]",[{}]
Movies Tv Shows Database,https://rapidapi.com/amrelrafie/api/movies-tv-shows-database/,movies-tv-shows-database.p.rapidapi.com,GET:Get Movies By Title,"Result set includes all search results
Each item includes fields:
Title
Year
Movie ID",Movies,"[{'参数名': ['title'], '参数类型': ['STRING'], '参数注意事项': ['']}]",[{}]
Movies Tv Shows Database,https://rapidapi.com/amrelrafie/api/movies-tv-shows-database/,movies-tv-shows-database.p.rapidapi.com,GET:Get Movie Images by ID,"A valid Movie ID (e.g. tt1375666)
return title, id, poster, fanart",Movies,"[{'参数名': ['movieid'], '参数类型': ['STRING'], '参数注意事项': ['A valid Movie ID (e.g. tt1375666)']}]",[{}]
Movies Tv Shows Database,https://rapidapi.com/amrelrafie/api/movies-tv-shows-database/,movies-tv-shows-database.p.rapidapi.com,GET:Get Movie Aliases by ID,"A valid Movie ID (e.g. tt1375666)
return movie aliases",Movies,"[{'参数名': ['movieid'], '参数类型': ['STRING'], '参数注意事项': ['A valid Movie ID (e.g. tt1375666)']}]",[{}]
Movies Tv Shows Database,https://rapidapi.com/amrelrafie/api/movies-tv-shows-database/,movies-tv-shows-database.p.rapidapi.com,GET:Get Recently Added Movies by Release Date,"get recently added movies
return title, year, id",Movies,[{}],"[{'参数名': ['page'], '参数类型': ['STRING'], '参数注意事项': ['']}]"
Movies Tv Shows Database,https://rapidapi.com/amrelrafie/api/movies-tv-shows-database/,movies-tv-shows-database.p.rapidapi.com,GET:Get Popular Movies by Year,"return movie results with title , year , id",Movies,[{}],"[{'参数名': ['page'], '参数类型': ['STRING'], '参数注意事项': ['']}]"
Movies Tv Shows Database,https://rapidapi.com/amrelrafie/api/movies-tv-shows-database/,movies-tv-shows-database.p.rapidapi.com,GET:Get Now Playing Movies,"return movie results with title, year, id",Movies,[{}],"[{'参数名': ['page'], '参数类型': ['STRING'], '参数注意事项': ['']}]"
Movies Tv Shows Database,https://rapidapi.com/amrelrafie/api/movies-tv-shows-database/,movies-tv-shows-database.p.rapidapi.com,GET:Get Trending Movies,"return movie results with title , year , id",Movies,[{}],"[{'参数名': ['page'], '参数类型': ['STRING'], '参数注意事项': ['']}]"
Movies Tv Shows Database,https://rapidapi.com/amrelrafie/api/movies-tv-shows-database/,movies-tv-shows-database.p.rapidapi.com,GET:Get Box-Office Movies,"return movie results with title , year , id",Movies,[{}],"[{'参数名': ['page'], '参数类型': ['STRING'], '参数注意事项': ['']}]"
Movies Tv Shows Database,https://rapidapi.com/amrelrafie/api/movies-tv-shows-database/,movies-tv-shows-database.p.rapidapi.com,GET:Get Similar Movies,"return movie results with title , release date , id",Movies,[{}],"[{'参数名': ['page'], '参数类型': ['STRING'], '参数注意事项': ['']}]"
Movies Tv Shows Database,https://rapidapi.com/amrelrafie/api/movies-tv-shows-database/,movies-tv-shows-database.p.rapidapi.com,GET:Get Movies by Year,"return movie results with title, year , id",Movies,[{}],"[{'参数名': ['page'], '参数类型': ['STRING'], '参数注意事项': ['']}]"
Movies Tv Shows Database,https://rapidapi.com/amrelrafie/api/movies-tv-shows-database/,movies-tv-shows-database.p.rapidapi.com,GET:Get Upcoming Movies,"return movie results with title, year, id",Movies,[{}],"[{'参数名': ['page'], '参数类型': ['STRING'], '参数注意事项': ['']}]"
Movies Tv Shows Database,https://rapidapi.com/amrelrafie/api/movies-tv-shows-database/,movies-tv-shows-database.p.rapidapi.com,GET:Get by TV Series by ID,A valid TV Series ID (e.g. tt2741602),TV Series/Shows,"[{'参数名': ['seriesid'], '参数类型': ['STRING'], '参数注意事项': ['A valid Series ID (e.g. tt2741602)']}]",[{}]
Movies Tv Shows Database,https://rapidapi.com/amrelrafie/api/movies-tv-shows-database/,movies-tv-shows-database.p.rapidapi.com,GET:Get TV Series by Title,"Search by TV Series Title
return title, id, release_date",TV Series/Shows,"[{'参数名': ['title'], '参数类型': ['STRING'], '参数注意事项': ['']}]",[{}]
Movies Tv Shows Database,https://rapidapi.com/amrelrafie/api/movies-tv-shows-database/,movies-tv-shows-database.p.rapidapi.com,GET:Get TV Series Images by ID,"A valid TV Series ID (e.g. tt2741602)
return poster, fanart",TV Series/Shows,"[{'参数名': ['seriesid'], '参数类型': ['STRING'], '参数注意事项': ['A valid Series ID (e.g. tt2741602)']}]",[{}]
Movies Tv Shows Database,https://rapidapi.com/amrelrafie/api/movies-tv-shows-database/,movies-tv-shows-database.p.rapidapi.com,GET:Get TV Series Aliases by ID,"A valid TV Series ID (e.g. tt2741602)
return tv series aliases",TV Series/Shows,"[{'参数名': ['seriesid'], '参数类型': ['STRING'], '参数注意事项': ['A valid Series ID (e.g. tt2741602)']}]",[{}]
