API名称,API链接,API_Host,Endpoint名称,Endpoint描述,Endpoint种类,Endpoint必须参数,Endpoint可选参数
Newslit News Search,https://rapidapi.com/newslit/api/newslit-news-search/,newslit-news-search.p.rapidapi.com,GET:/news,Get news stories by keyword(s),,[{}],"[{'参数名': ['count', 'offset'], '参数类型': ['NUMBER', 'NUMBER'], '参数注意事项': ['Number of items in response (default 10, max 100)', 'Offset of first item in result (default 0)']}]"
IMDb,https://rapidapi.com/apidojo/api/imdb8/,imdb8.p.rapidapi.com,GET:auto-complete,Get auto complete suggestion by term or phrase,,"[{'参数名': ['q'], '参数类型': ['STRING'], '参数注意事项': ['Anything that you are familiar with, such as : name of title, album, song, etc…']}]",[{}]
NewsNow,https://rapidapi.com/rphrp1985/api/newsnow/,newsnow.p.rapidapi.com,POST:News API V2 (Powered By Google),"To get news between 'from date' to 'To date' set 'time_bounded parameter true
Dates are in dd/mm/yyyy format
set 'time_bounded' false to get only latest news
Categories ( all categories are supported eg - finance, sports and more , Can be removed)
Loca...",,[{}],[{}]
NewsNow,https://rapidapi.com/rphrp1985/api/newsnow/,newsnow.p.rapidapi.com,POST:News (Powered By Duck Duck Go),"NewsNow API: Real-time news aggregation and delivery service, providing developers and businesses with global news articles and headlines, offering extensive coverage, flexible querying, and easy integration.",,[{}],[{}]
NewsNow,https://rapidapi.com/rphrp1985/api/newsnow/,newsnow.p.rapidapi.com,POST:Top News (Powered By Duck Duck Go),Get Top News,,[{}],[{}]
NewsNow,https://rapidapi.com/rphrp1985/api/newsnow/,newsnow.p.rapidapi.com,POST:Headlines -Query (Powered By Google ),get headlines,,[{}],[{}]
NewsNow,https://rapidapi.com/rphrp1985/api/newsnow/,newsnow.p.rapidapi.com,POST:Top World Headline (Powered By Google ),get top headlines.,,[{}],[{}]
News Sentiment,https://rapidapi.com/textsla-textsla-default/api/news-sentiment2/,news-sentiment2.p.rapidapi.com,GET:URL,Input news URL,,"[{'参数名': ['url'], '参数类型': ['STRING'], '参数注意事项': ['']}]",[{}]
IMDb com,https://rapidapi.com/ntd119/api/imdb-com/,imdb-com.p.rapidapi.com,GET:auto-complete,auto-complete,,"[{'参数名': ['q'], '参数类型': ['STRING'], '参数注意事项': ['Search IMDb']}]",[{}]
Coronavirus Smartable,https://rapidapi.com/SmartableAI/api/coronavirus-smartable/,coronavirus-smartable.p.rapidapi.com,GET:GetNews,Get the latest coronavirus news for the globe or your selected country or state.,,"[{'参数名': ['location'], '参数类型': ['STRING'], '参数注意事项': ['ISO 3166-2 location code. For example, use ""FR"" for coronavirus news in France; use ""US"" for coronavirus news in US; use ""US-CA"" for coronavirus news in the US California state. Use ""global"" to retrieve global news.']}]",[{}]
Coronavirus Smartable,https://rapidapi.com/SmartableAI/api/coronavirus-smartable/,coronavirus-smartable.p.rapidapi.com,GET:GetStats,"Get the latest and historic coronavirus stats data (confirmed cases, deaths and recovered cases) for the globe or your selected country or state.",,"[{'参数名': ['location'], '参数类型': ['STRING'], '参数注意事项': ['ISO 3166-2 location code. For example, use ""FR"" for coronavirus stats in France; use ""US"" for coronavirus stats in US; use ""US-CA"" for coronavirus stats in the US California state. Use ""global"" to retrieve global stats.']}]",[{}]
