API名称,API链接,API_Host,Endpoint名称,Endpoint描述,Endpoint种类,Endpoint必须参数,Endpoint可选参数
Horoscope Match Making,https://rapidapi.com/vedicrishi/api/horoscope-match-making/,vedicrishi-horoscope-match-making-v1.p.rapidapi.com,POST:Ashtakoot details,Ashtakoot details provides complete ashtakoot analysis .,,[{}],[{}]
Horoscope Match Making,https://rapidapi.com/vedicrishi/api/horoscope-match-making/,vedicrishi-horoscope-match-making-v1.p.rapidapi.com,POST:Match making report,Match making report gives matching report based on male and female horoscope.,,[{}],[{}]
Horoscope Match Making,https://rapidapi.com/vedicrishi/api/horoscope-match-making/,vedicrishi-horoscope-match-making-v1.p.rapidapi.com,POST:Match manglik report,Match manglik reports gives you manglik report for male and female horoscopes.,,[{}],[{}]
Horoscope Match Making,https://rapidapi.com/vedicrishi/api/horoscope-match-making/,vedicrishi-horoscope-match-making-v1.p.rapidapi.com,POST:Matching astrology details,"Provides matching astrological details like, varna, vashya,maitri,nadi,gan etc.",,[{}],[{}]
Horoscope Match Making,https://rapidapi.com/vedicrishi/api/horoscope-match-making/,vedicrishi-horoscope-match-making-v1.p.rapidapi.com,POST:Matching birth details,Gives birth details of both male and femaile horoscope.,,[{}],[{}]
Horoscope Match Making,https://rapidapi.com/vedicrishi/api/horoscope-match-making/,vedicrishi-horoscope-match-making-v1.p.rapidapi.com,POST:Matching Obstruction,Matching Obstruction provide whether matching have obstruction or not.,,[{}],[{}]
Horoscope Match Making,https://rapidapi.com/vedicrishi/api/horoscope-match-making/,vedicrishi-horoscope-match-making-v1.p.rapidapi.com,POST:Matching planetary details,Provides both male and female planetary position details of their corresponding horoscopes.,,[{}],[{}]
Basic Horoscope and Numerology,https://rapidapi.com/vedicrishi/api/basic-horoscope-and-numerology/,vedicrishi-horoscope-matching-v1.p.rapidapi.com,POST:Numerology basic details,Provides detailed Numerology report.,,[{}],[{}]
Basic Horoscope and Numerology,https://rapidapi.com/vedicrishi/api/basic-horoscope-and-numerology/,vedicrishi-horoscope-matching-v1.p.rapidapi.com,POST:Birth Details,"Along with birth details it provides sunrise, sunset, ayanamsha as well.",,[{}],[{}]
Basic Horoscope and Numerology,https://rapidapi.com/vedicrishi/api/basic-horoscope-and-numerology/,vedicrishi-horoscope-matching-v1.p.rapidapi.com,POST:Basic Astrological Details,"Provides the complete avakahada details e.g. nakshtatra, charan, tithi, karan, yog ,varna, vashaya, yoni, etc",,[{}],[{}]
Basic Horoscope and Numerology,https://rapidapi.com/vedicrishi/api/basic-horoscope-and-numerology/,vedicrishi-horoscope-matching-v1.p.rapidapi.com,POST:Basic panchang details at the time of sunrise,"Provides data points for panchang elements, chaugadiya and sunrise and set time at he time of sunrise.",,[{}],[{}]
Basic Horoscope and Numerology,https://rapidapi.com/vedicrishi/api/basic-horoscope-and-numerology/,vedicrishi-horoscope-matching-v1.p.rapidapi.com,POST:Basic panchang details,"Provides data points for panchang elements, and sunrise and set timings.",,[{}],[{}]
Online Code Compiler,https://rapidapi.com/Glavier/api/online-code-compiler/,online-code-compiler.p.rapidapi.com,POST:Code Compiler,Code Compiler,,[{}],[{}]
Online Code Compiler,https://rapidapi.com/Glavier/api/online-code-compiler/,online-code-compiler.p.rapidapi.com,GET:Languages & Versions,Languages & Versions,,[{}],[{}]
Facts by API-Ninjas,https://rapidapi.com/apininjas/api/facts-by-api-ninjas/,facts-by-api-ninjas.p.rapidapi.com,GET:/v1/facts,API Ninjas Facts API endpoint,,[{}],"[{'参数名': ['limit'], '参数类型': ['NUMBER'], '参数注意事项': ['How many results to return. Must be between 1 and 30. Default is 1.']}]"
YouTube MP3,https://rapidapi.com/elisbushaj2/api/youtube-mp310/,youtube-mp310.p.rapidapi.com,GET:Download,Download mp3.,,"[{'参数名': ['url'], '参数类型': ['STRING'], '参数注意事项': ['']}]",[{}]
YouTube MP3,https://rapidapi.com/elisbushaj2/api/youtube-mp310/,youtube-mp310.p.rapidapi.com,POST:MP3,YouTube MP3 Downloader.,,[{}],[{}]
Aka,https://rapidapi.com/fdis-fdis-default/api/aka1/,aka1.p.rapidapi.com,POST:V2,Check discord for the user agent list.,,[{}],[{}]
Aka,https://rapidapi.com/fdis-fdis-default/api/aka1/,aka1.p.rapidapi.com,POST:V1.75,V1.75,,[{}],[{}]
Aka,https://rapidapi.com/fdis-fdis-default/api/aka1/,aka1.p.rapidapi.com,POST:Pixel,Pixel,,[{}],[{}]
Random Username Generate,https://rapidapi.com/mrsonj/api/random-username-generate/,random-username-generate.p.rapidapi.com,GET:Identity,Random Username Generate,,[{}],"[{'参数名': ['domain'], '参数类型': ['STRING'], '参数注意事项': ['']}]"
DuckDuckGo Zero-click Info,https://rapidapi.com/duckduckgo/api/duckduckgo-zero-click-info/,duckduckgo-duckduckgo-zero-click-info.p.rapidapi.com,GET:Zero Click Info,"Our Zero-click Info API gives you free access to much of our topic summaries, categories, disambiguation, !bang redirects, definitions and more.",,[{}],"[{'参数名': ['callback', 'no_html', 'no_redirect', 'skip_disambig', 'format'], '参数类型': ['STRING', 'NUMBER', 'NUMBER', 'NUMBER', 'STRING'], '参数注意事项': ['Function to callback (for a JSONP formatted response).', '1 to remove HTML from text, e.g. bold and italics.', '1 to skip HTTP redirects (for !bang commands - see http://duckduckgo.com/bang.html).', '1 to skip disambiguation (D) Type.', '']}]"
Daily Horoscope,https://rapidapi.com/divineapi/api/daily-horoscope3/,daily-horoscope3.p.rapidapi.com,POST:DailyHoroscope,"Please sign up for Divine API for 7 days trial & get your API Key and test our API.
https://divineapi.com/register",,[{}],[{}]
