API名称,API链接,API_Host,Endpoint名称,Endpoint描述,Endpoint种类,Endpoint必须参数,Endpoint可选参数
Rewards as a Service,https://rapidapi.com/tangocard/api/rewards-as-a-service/,tangocard-rewards-as-a-service.p.rapidapi.com,GET:4. Get list of rewards,Gets the list of rewards available for the platform,,[{}],[{}]
Rewards as a Service,https://rapidapi.com/tangocard/api/rewards-as-a-service/,tangocard-rewards-as-a-service.p.rapidapi.com,GET:2. Get Account Information,Get the information for an account created under a Customer,,"[{'参数名': ['customer', 'account_identifier'], '参数类型': ['STRING', 'STRING'], '参数注意事项': ['', '']}]",[{}]
Rewards as a Service,https://rapidapi.com/tangocard/api/rewards-as-a-service/,tangocard-rewards-as-a-service.p.rapidapi.com,POST:5. Place an order for a reward,Order a rewar,,[{}],[{}]
Rewards as a Service,https://rapidapi.com/tangocard/api/rewards-as-a-service/,tangocard-rewards-as-a-service.p.rapidapi.com,GET:6. Get order information,Get more information about an order,,"[{'参数名': ['order_id'], '参数类型': ['STRING'], '参数注意事项': ['']}]",[{}]
Rewards as a Service,https://rapidapi.com/tangocard/api/rewards-as-a-service/,tangocard-rewards-as-a-service.p.rapidapi.com,GET:7. Get order history,Get more information about all the orders placed on this customer and account,,[{}],"[{'参数名': ['offset', 'limit', 'start_date', 'end_date'], '参数类型': ['NUMBER', 'NUMBER', 'STRING', 'STRING'], '参数注意事项': ['', '', '', '']}]"
Rewards as a Service,https://rapidapi.com/tangocard/api/rewards-as-a-service/,tangocard-rewards-as-a-service.p.rapidapi.com,POST:3. Fund account,Funds the given account,,[{}],[{}]
Rewards as a Service,https://rapidapi.com/tangocard/api/rewards-as-a-service/,tangocard-rewards-as-a-service.p.rapidapi.com,POST:1. Create an account,,,[{}],[{}]
SpaceX API,https://rapidapi.com/rapidapi-2tb1c-rapidapi-2tb1c-default/api/spacex-api/,spacex-api.p.rapidapi.com,GET:641060d2-db31-4f70-9878-0fcfca4736aa,,v5,[{}],[{}]
SpaceX API,https://rapidapi.com/rapidapi-2tb1c-rapidapi-2tb1c-default/api/spacex-api/,spacex-api.p.rapidapi.com,GET:7d22acf3-7d3e-4bdc-a476-e5a500f505cd,,v5,[{}],[{}]
SpaceX API,https://rapidapi.com/rapidapi-2tb1c-rapidapi-2tb1c-default/api/spacex-api/,spacex-api.p.rapidapi.com,GET:22936e32-2df1-4eb8-a099-f04124ef62b3,,v4,[{}],[{}]
SpaceX API,https://rapidapi.com/rapidapi-2tb1c-rapidapi-2tb1c-default/api/spacex-api/,spacex-api.p.rapidapi.com,GET:fc2fca55-f99e-47e0-9630-79bda50fb029,,v4,[{}],[{}]
SpaceX API,https://rapidapi.com/rapidapi-2tb1c-rapidapi-2tb1c-default/api/spacex-api/,spacex-api.p.rapidapi.com,GET:b6777bac-f225-41af-ab9d-db80a7de448b,,v4,[{}],[{}]
AlDenteAPI,https://rapidapi.com/rodolfodzr/api/aldenteapi/,aldenteapi.p.rapidapi.com,GET:GET Rcard user transaction detail,use this request to review all transactions made by an specific user using the card number,,"[{'参数名': ['CardNumber', 'ClientID'], '参数类型': ['STRING', 'STRING'], '参数注意事项': ['', '']}]",[{}]
AlDenteAPI,https://rapidapi.com/rodolfodzr/api/aldenteapi/,aldenteapi.p.rapidapi.com,GET:GET sftRest overview,Branch overview with number of users and total sales,,"[{'参数名': ['SucID'], '参数类型': ['STRING'], '参数注意事项': ['']}]",[{}]
AlDenteAPI,https://rapidapi.com/rodolfodzr/api/aldenteapi/,aldenteapi.p.rapidapi.com,GET:GET sftRest user summary,get specific user summary with visits and transactions,,"[{'参数名': ['SucID', 'CardNumber'], '参数类型': ['STRING', 'STRING'], '参数注意事项': ['', '']}]",[{}]
AlDenteAPI,https://rapidapi.com/rodolfodzr/api/aldenteapi/,aldenteapi.p.rapidapi.com,GET:GET SftRest All details by customer:,Detailed report from a single user for sftrest,,"[{'参数名': ['CardNumber', 'SucID'], '参数类型': ['STRING', 'STRING'], '参数注意事项': ['', '']}]",[{}]
AlDenteAPI,https://rapidapi.com/rodolfodzr/api/aldenteapi/,aldenteapi.p.rapidapi.com,GET:Sales Summary,Provides JSON with sales summary per end point,,"[{'参数名': ['client', 'StartDate', 'EndDate'], '参数类型': ['STRING', 'STRING', 'STRING'], '参数注意事项': ['', '', '']}]",[{}]
AlDenteAPI,https://rapidapi.com/rodolfodzr/api/aldenteapi/,aldenteapi.p.rapidapi.com,GET:GET user per range softRest,Get user activity per range and stores under same client,,"[{'参数名': ['EndDate', 'ClientID', 'StartDate'], '参数类型': ['DATE (YYYY-MM-DD)', 'STRING', 'DATE (YYYY-MM-DD)'], '参数注意事项': ['', '', '']}]",[{}]
AlDenteAPI,https://rapidapi.com/rodolfodzr/api/aldenteapi/,aldenteapi.p.rapidapi.com,POST:UpdateCard,POST to update an existing plastic card on RescardDB,,[{}],[{}]
AlDenteAPI,https://rapidapi.com/rodolfodzr/api/aldenteapi/,aldenteapi.p.rapidapi.com,GET:ResCard By Range,Provide a list of the rescard db based on a time range,,"[{'参数名': ['EndDate', 'ClientID', 'StartDate'], '参数类型': ['STRING', 'STRING', 'STRING'], '参数注意事项': ['', '', '']}]",[{}]
AlDenteAPI,https://rapidapi.com/rodolfodzr/api/aldenteapi/,aldenteapi.p.rapidapi.com,POST:Add Virtual Card,"API request a new Virtual card to client parsing customerID , and user Biometrics using a POST method",,[{}],[{}]
