API名称,API链接,API_Host,Endpoint名称,Endpoint描述,Endpoint种类,Endpoint必须参数,Endpoint可选参数
Moon Phase,https://rapidapi.com/MoonAPIcom/api/moon-phase/,moon-phase.p.rapidapi.com,GET:Advanced,Advanced Endpoint: Comprehensive Lunar and Solar Details,,[{}],"[{'参数名': ['lat', 'lon'], '参数类型': ['NUMBER', 'NUMBER'], '参数注意事项': ['', '']}]"
Moon Phase,https://rapidapi.com/MoonAPIcom/api/moon-phase/,moon-phase.p.rapidapi.com,GET:Lunar Calendar,Calendar Endpoint: Lunar Calendar,,[{}],"[{'参数名': ['format'], '参数类型': ['STRING'], '参数注意事项': ['This can be either markdown or html. (defaults to markdown if nothing sent)']}]"
Moon Phase,https://rapidapi.com/MoonAPIcom/api/moon-phase/,moon-phase.p.rapidapi.com,GET:Basic,Basic Endpoint: Essential Moon Phase Information,,[{}],[{}]
Moon Phase,https://rapidapi.com/MoonAPIcom/api/moon-phase/,moon-phase.p.rapidapi.com,GET:Phase,Plain Text Endpoint: Simple Moon Phase Description,,[{}],[{}]
Moon Phase,https://rapidapi.com/MoonAPIcom/api/moon-phase/,moon-phase.p.rapidapi.com,GET:Emoji,Emoji Endpoint: Moon Phase Emoji,,[{}],[{}]
UPHERE.SPACE,https://rapidapi.com/uphere.space/api/uphere-space1/,uphere-space1.p.rapidapi.com,GET:Orbit,Orbital track for specified period,satellites,"[{'参数名': ['number', 'period'], '参数类型': ['NUMBER', 'NUMBER'], '参数注意事项': ['NORAD ID Number', 'Orbital period (minutes)']}]",[{}]
UPHERE.SPACE,https://rapidapi.com/uphere.space/api/uphere-space1/,uphere-space1.p.rapidapi.com,GET:Launch Sites,Launch sites around the world,satellites,[{}],[{}]
UPHERE.SPACE,https://rapidapi.com/uphere.space/api/uphere-space1/,uphere-space1.p.rapidapi.com,GET:Location,Current location by NORAD TLE number,satellites,[{}],"[{'参数名': ['units', 'lng', 'lat'], '参数类型': ['ENUM', 'NUMBER', 'NUMBER'], '参数注意事项': ['Units for height and speed values. Options are:\nimperial\nmetric', 'Longitude to get satellite visibility', 'Latitude to get satellite visibility']}]"
UPHERE.SPACE,https://rapidapi.com/uphere.space/api/uphere-space1/,uphere-space1.p.rapidapi.com,GET:Popular Satellites,Most popular satellites going back x days,satellites,"[{'参数名': ['days'], '参数类型': ['NUMBER'], '参数注意事项': ['Days to go back']}]",[{}]
UPHERE.SPACE,https://rapidapi.com/uphere.space/api/uphere-space1/,uphere-space1.p.rapidapi.com,GET:Visible Satellites,Satellites visible from a specific latitude and longitude,satellites,"[{'参数名': ['lat', 'lng'], '参数类型': ['STRING', 'STRING'], '参数注意事项': ['', '']}]",[{}]
UPHERE.SPACE,https://rapidapi.com/uphere.space/api/uphere-space1/,uphere-space1.p.rapidapi.com,GET:Details,Details by Norad TLE number,satellites,"[{'参数名': ['number'], '参数类型': ['NUMBER'], '参数注意事项': ['Norad TLE number']}]",[{}]
UPHERE.SPACE,https://rapidapi.com/uphere.space/api/uphere-space1/,uphere-space1.p.rapidapi.com,GET:Categories,Categories used to filter satellites,satellites,[{}],[{}]
UPHERE.SPACE,https://rapidapi.com/uphere.space/api/uphere-space1/,uphere-space1.p.rapidapi.com,GET:Countries,Countries who have launched satellites which have been or are in orbit.,satellites,[{}],[{}]
