API名称,API链接,API_Host,Endpoint名称,Endpoint描述,Endpoint种类,Endpoint必须参数,Endpoint可选参数
SynWave,https://rapidapi.com/rpi4gx/api/synwave/,synwave.p.rapidapi.com,POST:Upload a new file,Upload a new file.,Store a new file,[{}],[{}]
SynWave,https://rapidapi.com/rpi4gx/api/synwave/,synwave.p.rapidapi.com,GET:Get list of stored files,Get list of stored files,File management,[{}],"[{'参数名': ['page_number', 'page_size'], '参数类型': ['NUMBER', 'NUMBER'], '参数注意事项': ['Number of the page, starts at 0', 'Size of the page']}]"
SynWave,https://rapidapi.com/rpi4gx/api/synwave/,synwave.p.rapidapi.com,GET:Get state of a stored file,Get state of a stored file,File management,"[{'参数名': ['id'], '参数类型': ['STRING'], '参数注意事项': ['The id of the file']}]",[{}]
SynWave,https://rapidapi.com/rpi4gx/api/synwave/,synwave.p.rapidapi.com,DELETE:Delete a stored file,Delete a stored file,File management,"[{'参数名': ['id'], '参数类型': ['STRING'], '参数注意事项': ['The id of the file']}]",[{}]
SynWave,https://rapidapi.com/rpi4gx/api/synwave/,synwave.p.rapidapi.com,GET:Get account information,Get account information,Account management,[{}],[{}]
JSON Storage API,https://rapidapi.com/XPLOR/api/json-storage-api/,json-storage-api.p.rapidapi.com,POST:createDataLakeItem,Store your JSON document to Result.About and save it as an item of our DataLake. Use Result.Name as identifier to categorize similar JSON resources if you want. Doing like this you can later filter your items by category name. Set Result.Creator...,,[{}],[{}]
JSON Storage API,https://rapidapi.com/XPLOR/api/json-storage-api/,json-storage-api.p.rapidapi.com,POST:readDataLakeItems,"Retrieve one or more JSON documents from the DataLake by Object.FilterItem.Identifier, Object.FilterItem.Name, Object.FilterItem.Creator.Identifier or Object.FilterItem.About['@type'].",,[{}],[{}]
JSON Storage API,https://rapidapi.com/XPLOR/api/json-storage-api/,json-storage-api.p.rapidapi.com,POST:updateDataLakeItem,Use this endpoint to update an existing JSON document in the DataLake. Store your updated version of your JSON document to Result.About.,,[{}],[{}]
JSON Storage API,https://rapidapi.com/XPLOR/api/json-storage-api/,json-storage-api.p.rapidapi.com,POST:deleteDataLakeItems,"Delete one or more JSON documents from the DataLake by Object.FilterItem.Identifier, Object.FilterItem.Name, Object.FilterItem.Creator.Identifier or Object.FilterItem.About['@type'].",,[{}],[{}]
Datapi,https://rapidapi.com/mariusndini/api/datapi1/,datapi1.p.rapidapi.com,GET:Make ID,"Creates Unique address, private and public key pair. The backend process uses Bitcoin new wallet structure to create IDs. IDs have the following structure. Feel free to use your own IDs or have one created for you.",ID,[{}],[{}]
Datapi,https://rapidapi.com/mariusndini/api/datapi1/,datapi1.p.rapidapi.com,POST:Make UUID,Creates unique UUID. The backend process uses Bitcoin new wallet to create IDs. Bitcoin public + private key combo are used to create unique UUID.,ID,[{}],[{}]
Datapi,https://rapidapi.com/mariusndini/api/datapi1/,datapi1.p.rapidapi.com,GET:Make UUID,Creates unique UUID. The backend process uses Bitcoin new wallet to create IDs. Bitcoin public + private key combo are used to create unique UUID.,ID,[{}],[{}]
Datapi,https://rapidapi.com/mariusndini/api/datapi1/,datapi1.p.rapidapi.com,POST:Get Value,Get Value by ID,Transaction,"[{'参数名': ['id'], '参数类型': ['STRING'], '参数注意事项': ['']}]",[{}]
Datapi,https://rapidapi.com/mariusndini/api/datapi1/,datapi1.p.rapidapi.com,GET:Get Value,Get Value,Transaction,"[{'参数名': ['id'], '参数类型': ['STRING'], '参数注意事项': ['']}]",[{}]
Datapi,https://rapidapi.com/mariusndini/api/datapi1/,datapi1.p.rapidapi.com,POST:Set Value,Sets value for a particular ID,Transaction,[{}],[{}]
Datapi,https://rapidapi.com/mariusndini/api/datapi1/,datapi1.p.rapidapi.com,POST:Send Data,Send or Save data to the backend API,Query,[{}],[{}]
Datapi,https://rapidapi.com/mariusndini/api/datapi1/,datapi1.p.rapidapi.com,POST:Query Data,Query Data within Data API,Query,[{}],[{}]
Google Spreadsheets,https://rapidapi.com/dockerizator/api/google-spreadsheets/,google-spreadsheets.p.rapidapi.com,GET:Get sheets,Get all the sheets in the spreadsheet.,Spreadsheet,"[{'参数名': ['spreadsheet'], '参数类型': ['STRING'], '参数注意事项': ['']}]",[{}]
Google Spreadsheets,https://rapidapi.com/dockerizator/api/google-spreadsheets/,google-spreadsheets.p.rapidapi.com,POST:Update properties,"Edit values as ""title"", ""index"", …",Spreadsheet,[{}],[{}]
Google Spreadsheets,https://rapidapi.com/dockerizator/api/google-spreadsheets/,google-spreadsheets.p.rapidapi.com,GET:Get rows,Get the rows from the sheet.,Sheets,[{}],"[{'参数名': ['limit', 'offset'], '参数类型': ['NUMBER', 'NUMBER'], '参数注意事项': ['', '']}]"
Google Spreadsheets,https://rapidapi.com/dockerizator/api/google-spreadsheets/,google-spreadsheets.p.rapidapi.com,GET:Download,Download the sheet.,Sheets,"[{'参数名': ['extension', 'spreadsheet', 'sheet'], '参数类型': ['STRING', 'STRING', 'NUMBER'], '参数注意事项': ['', '', 'Sheet index.']}]",[{}]
Google Spreadsheets,https://rapidapi.com/dockerizator/api/google-spreadsheets/,google-spreadsheets.p.rapidapi.com,POST:Set header,Set the header to use it as a column name.,Sheets,[{}],[{}]
Google Spreadsheets,https://rapidapi.com/dockerizator/api/google-spreadsheets/,google-spreadsheets.p.rapidapi.com,POST:Add rows,Add rows to the sheet.,Sheets,[{}],[{}]
Google Spreadsheets,https://rapidapi.com/dockerizator/api/google-spreadsheets/,google-spreadsheets.p.rapidapi.com,POST:Clear rows,Clear rows from a sheet.,Sheets,[{}],[{}]
B1- Generate Presigned Url for Secure Upload Amazon AWS S3,https://rapidapi.com/ozgurcagdas/api/b1-generate-presigned-url-for-secure-upload-amazon-aws-s3/,b1-generate-presigned-url-for-secure-upload-amazon-aws-s3.p.rapidapi.com,POST:B1- Generate Signed Url for Secure Upload to AWS S3,You must have IAM access keys with putObject permission.,,[{}],[{}]
Storage,https://rapidapi.com/markhah7/api/storage5/,storage5.p.rapidapi.com,POST:upload,upload file,Uploads,[{}],[{}]
Storage,https://rapidapi.com/markhah7/api/storage5/,storage5.p.rapidapi.com,POST:loadUploadSession,"This will either create a new upload session for specified fingerprint, or load an existing one if it was previously created.

All parameters for chunked uploading should be included via headers and prefixed with Be-",Chunked Uploads,[{}],[{}]
Storage,https://rapidapi.com/markhah7/api/storage5/,storage5.p.rapidapi.com,POST:uploadChunk,"Uploads a sinle file chunk to SITE_NAME.

All parameters for chunked uploading should be included via headers and prefixed with Be-",Chunked Uploads,[{}],[{}]
Storage,https://rapidapi.com/markhah7/api/storage5/,storage5.p.rapidapi.com,POST:login,"Logs in specified user and returns user object along with access token.

Access Token is a string that enables SITE_NAME to verify that a request belongs to an authorized session. This token should be sent along with every request to SITE_NAME API in a authorizatio...",Auth,[{}],[{}]
Storage,https://rapidapi.com/markhah7/api/storage5/,storage5.p.rapidapi.com,POST:register,,Auth,[{}],[{}]
Storage,https://rapidapi.com/markhah7/api/storage5/,storage5.p.rapidapi.com,POST:entriesCopy,,Files and Folders,[{}],[{}]
Storage,https://rapidapi.com/markhah7/api/storage5/,storage5.p.rapidapi.com,POST:entriesMove,,Files and Folders,[{}],[{}]
Storage,https://rapidapi.com/markhah7/api/storage5/,storage5.p.rapidapi.com,POST:entriesRestore,,Files and Folders,[{}],[{}]
Storage,https://rapidapi.com/markhah7/api/storage5/,storage5.p.rapidapi.com,POST:createFolder,,Files and Folders,[{}],[{}]
Storage,https://rapidapi.com/markhah7/api/storage5/,storage5.p.rapidapi.com,DELETE:entriesDelete,,Files and Folders,[{}],[{}]
Storage,https://rapidapi.com/markhah7/api/storage5/,storage5.p.rapidapi.com,PUT:entryUpdate,,Files and Folders,[{}],[{}]
Storage,https://rapidapi.com/markhah7/api/storage5/,storage5.p.rapidapi.com,GET:indexEntry,Get the list of all file entries you have access to,Files and Folders,[{}],"[{'参数名': ['starredOnly', 'query', 'type', 'sharedOnly', 'recentOnly', 'parentIds', 'deletedOnly', 'perPage'], '参数类型': ['BOOLEAN', 'STRING', 'STRING', 'BOOLEAN', 'BOOLEAN', 'ARRAY', 'BOOLEAN', 'NUMBER'], '参数注意事项': ['Whether only starred entries should be returned', 'Search query entry names should be filtered on', 'File type entries should be filtered on', 'Whether only entries that have been shared with you should be returned', 'Whether only recent entries should be returned', 'Only entries that are children of specified folders will be returned', 'Whether only trashed entries should be returned', 'How many entries to return per page']}]"
Storage,https://rapidapi.com/markhah7/api/storage5/,storage5.p.rapidapi.com,PUT:/entries/update-user/{userId},,Sharing,[{}],[{}]
Storage,https://rapidapi.com/markhah7/api/storage5/,storage5.p.rapidapi.com,POST:/entries/add-users,,Sharing,[{}],[{}]
