API名称,API链接,API_Host,Endpoint名称,Endpoint描述,Endpoint种类,Endpoint必须参数,Endpoint可选参数
NLP Translation,https://rapidapi.com/gofitech/api/nlp-translation/,nlp-translation.p.rapidapi.com,GET:Translate,Translate Text or HTML,,[{}],"[{'参数名': ['from', 'protected_words'], '参数类型': ['STRING', 'STRING'], '参数注意事项': ['', '']}]"
NLP Translation,https://rapidapi.com/gofitech/api/nlp-translation/,nlp-translation.p.rapidapi.com,POST:Translate,Translate Text or HTML,,[{}],[{}]
NLP Translation,https://rapidapi.com/gofitech/api/nlp-translation/,nlp-translation.p.rapidapi.com,POST:JSON Data Translate,Translate values inside JSON formatted string with protected keys and protected words capabilities,,[{}],[{}]
linguatools translate,https://rapidapi.com/petapro/api/linguatools-translate/,petapro-translate-v1.p.rapidapi.com,GET:translate a word (new),Looks up a word in a bilingual dictionary and returns all translations ordered by frequency. Optionally restricts the result for a given wordclass.,,[{}],"[{'参数名': ['wortart'], '参数类型': ['STRING'], '参数注意事项': ['One of the following parts of speech (in upper case): ADJ, ADV, AUX, EIGENNAME, ITJ, PHRASE, PRON, PREP, PREP_ART, PTK, KONJ, MODAL, NOMEN, NUM, VERB']}]"
MateCat Filters,https://rapidapi.com/translated/api/matecat-filters/,translated-matecat-filters-v1.p.rapidapi.com,POST:/AutomationService/original2xliff,Extract translatable text in XLIFF,,[{}],[{}]
MateCat Filters,https://rapidapi.com/translated/api/matecat-filters/,translated-matecat-filters-v1.p.rapidapi.com,POST:/AutomationService/xliff2original,Get the target translated file,,[{}],[{}]
Rapid Translate,https://rapidapi.com/petadata/api/rapid-translate/,rapid-translate.p.rapidapi.com,GET:Get Languages,Returns supported language list.,,[{}],[{}]
Rapid Translate,https://rapidapi.com/petadata/api/rapid-translate/,rapid-translate.p.rapidapi.com,POST:Translate Text,Translates text and returns translated result.,,[{}],[{}]
DpL Translator,https://rapidapi.com/splintPRO/api/dpl-translator/,dpl-translator.p.rapidapi.com,POST:/translate,A list of acceptable languages can be found here.,Translator,[{}],[{}]
Google Translate,https://rapidapi.com/undergroundapi-undergroundapi-default/api/google-translate113/,google-translate113.p.rapidapi.com,POST:Tranlate Text,Translate Text,,[{}],[{}]
Google Translate,https://rapidapi.com/undergroundapi-undergroundapi-default/api/google-translate113/,google-translate113.p.rapidapi.com,POST:Translate JSON,Translate JSON,,[{}],[{}]
Google Translate,https://rapidapi.com/undergroundapi-undergroundapi-default/api/google-translate113/,google-translate113.p.rapidapi.com,POST:Detect Language,Detect Language,,[{}],[{}]
Google Translate,https://rapidapi.com/undergroundapi-undergroundapi-default/api/google-translate113/,google-translate113.p.rapidapi.com,GET:Supported languages,Get Support Languages,,[{}],[{}]
Translate Plus,https://rapidapi.com/sohailglt/api/translate-plus/,translate-plus.p.rapidapi.com,POST:translate,Translate any text into more than 100+ languages.,,[{}],[{}]
Translate Plus,https://rapidapi.com/sohailglt/api/translate-plus/,translate-plus.p.rapidapi.com,POST:detect_language,Our API will detect text and let you know the language name!,,[{}],[{}]
Translate Plus,https://rapidapi.com/sohailglt/api/translate-plus/,translate-plus.p.rapidapi.com,GET:supported_languages,The languages which out api supports.,,[{}],[{}]
Deep Translate,https://rapidapi.com/gatzuma/api/deep-translate1/,deep-translate1.p.rapidapi.com,POST:detect,"To detect the language of some text, make a POST request and provide the appropriate request body.",language,[{}],[{}]
Deep Translate,https://rapidapi.com/gatzuma/api/deep-translate1/,deep-translate1.p.rapidapi.com,GET:languages,You can discover the supported languages of this API by sending an HTTP request using a URL of the following format,language,[{}],[{}]
Deep Translate,https://rapidapi.com/gatzuma/api/deep-translate1/,deep-translate1.p.rapidapi.com,POST:translate,"To translate text, make a POST request and provide JSON in the request body that identifies the language to translate to (target) and the text to translate (q). You can provide multiple segments of text to translate by including multiple q fields or a list of values for the q ...",language,[{}],[{}]
Lingvanex Translate,https://rapidapi.com/Lingvanex/api/lingvanex-translate/,lingvanex-translate.p.rapidapi.com,GET:/getLanguages,,translate,"[{'参数名': ['code', 'platform'], '参数类型': ['STRING', 'STRING'], '参数注意事项': ['the language code in the format “language code_code of the country”, which is used to display the names of the languages. The language code is represented only in lowercase letters, the country code only in uppercase letters (example en_GB, es_ES, ru_RU etc). If this option is not present, then English is used by default', 'api']}]",[{}]
Lingvanex Translate,https://rapidapi.com/Lingvanex/api/lingvanex-translate/,lingvanex-translate.p.rapidapi.com,POST:/translate,,translate,[{}],[{}]
Dictionary by API-Ninjas,https://rapidapi.com/apininjas/api/dictionary-by-api-ninjas/,dictionary-by-api-ninjas.p.rapidapi.com,GET:/v1/dictionary,API Ninjas Dictionary API endpoint.,,"[{'参数名': ['word'], '参数类型': ['STRING'], '参数注意事项': ['Word to look up.']}]",[{}]
Text Translator,https://rapidapi.com/dickyagustin/api/text-translator2/,text-translator2.p.rapidapi.com,POST:translate,This endpoint is used to translate text from one language to another using the post method,,[{}],[{}]
Text Translator,https://rapidapi.com/dickyagustin/api/text-translator2/,text-translator2.p.rapidapi.com,GET:getLanguages,This endpoint is used to get a list of available language codes,,[{}],[{}]
OpenTranslator,https://rapidapi.com/falcondsp/api/opentranslator/,opentranslator.p.rapidapi.com,POST:Open Translator,This is open translator by AI,,[{}],[{}]
AIbit translator,https://rapidapi.com/aibitranslator-aibitranslator-default/api/aibit-translator/,aibit-translator.p.rapidapi.com,POST:Translate Text,,,[{}],[{}]
AIbit translator,https://rapidapi.com/aibitranslator-aibitranslator-default/api/aibit-translator/,aibit-translator.p.rapidapi.com,POST:Translate JSON,,,[{}],[{}]
AIbit translator,https://rapidapi.com/aibitranslator-aibitranslator-default/api/aibit-translator/,aibit-translator.p.rapidapi.com,POST:Detect language,,,[{}],[{}]
AIbit translator,https://rapidapi.com/aibitranslator-aibitranslator-default/api/aibit-translator/,aibit-translator.p.rapidapi.com,GET:Get Supported Languages,Get list support languages by AIbit,,[{}],[{}]
Just Translated,https://rapidapi.com/lebedev.str/api/just-translated/,just-translated.p.rapidapi.com,GET:getTranslate,"Try quality Translate.
HTML or Text",,"[{'参数名': ['lang', 'text'], '参数类型': ['STRING', 'STRING'], '参数注意事项': ['What language to translate into?\nPut langfrom-langto (ex. en-fr) OR lang to need translate (ex. fr)\nLanguage flags\nhttps://rapidapi.com/lebedev.str/api/just-translated/tutorials/language-flags', 'HTML or plain text']}]",[{}]
AI-translate,https://rapidapi.com/ai-translate-ai-translate-default/api/ai-translate1/,ai-translate1.p.rapidapi.com,POST:Translate,To make translate you need to make a POST call,,[{}],[{}]
AI-translate,https://rapidapi.com/ai-translate-ai-translate-default/api/ai-translate1/,ai-translate1.p.rapidapi.com,POST:Get list of languages,To get languages list you need to make a POST call:,,[{}],[{}]
AI Translate,https://rapidapi.com/haizibinbin-owyntKc0a48/api/ai-translate/,ai-translate.p.rapidapi.com,POST:translates,Translate batches of articles and HTML to multiple target languages,,[{}],[{}]
AI Translate,https://rapidapi.com/haizibinbin-owyntKc0a48/api/ai-translate/,ai-translate.p.rapidapi.com,POST:translate,Translate batches of articles and HTML to a target language,,[{}],[{}]
Anime Voice Waifu Ai Api,https://rapidapi.com/alsheikhaminulislam/api/anime-voice-waifu-ai-api/,anime-voice-waifu-ai-api.p.rapidapi.com,GET:Get Speaker List,Get Speaker List,,[{}],[{}]
Anime Voice Waifu Ai Api,https://rapidapi.com/alsheikhaminulislam/api/anime-voice-waifu-ai-api/,anime-voice-waifu-ai-api.p.rapidapi.com,GET:Get Voice,Get Voice,,[{}],"[{'参数名': ['speaker'], '参数类型': ['STRING'], '参数注意事项': ['']}]"
Cheap Translate,https://rapidapi.com/cheap-translate-cheap-translate-default/api/cheap-translate/,cheap-translate.p.rapidapi.com,GET:/goo/translate/languages,Get all Goog supported language,translate,[{}],[{}]
Cheap Translate,https://rapidapi.com/cheap-translate-cheap-translate-default/api/cheap-translate/,cheap-translate.p.rapidapi.com,POST:/goo/translate,Translate text from language to other language via Goo,translate,[{}],[{}]
Cheap Translate,https://rapidapi.com/cheap-translate-cheap-translate-default/api/cheap-translate/,cheap-translate.p.rapidapi.com,GET:/translate/languages,Get all supported language,translate,[{}],[{}]
Cheap Translate,https://rapidapi.com/cheap-translate-cheap-translate-default/api/cheap-translate/,cheap-translate.p.rapidapi.com,POST:/translate,Translate text from language to other language,translate,[{}],[{}]
Translation API,https://rapidapi.com/sorinmarica4/api/translation-api4/,translation-api4.p.rapidapi.com,GET:Translate,Translate text between any two different languages with a simple and reliable API,,"[{'参数名': ['from', 'to', 'query'], '参数类型': ['STRING', 'STRING', 'STRING'], '参数注意事项': ['The original language of your text (query), Country code of two letters', 'The language you want to translate to. (Country code of 2 letters)', 'The text you want to translate']}]",[{}]
LINK Bilingual Dictionary,https://rapidapi.com/fesnt/api/link-bilingual-dictionary/,link-bilingual-dictionary.p.rapidapi.com,GET:Lookup,Get bilingual translations,,"[{'参数名': ['to', 'word', 'from'], '参数类型': ['ENUM', 'STRING', 'ENUM'], '参数注意事项': ['The language you want to get translations', 'The word you want to translate', 'The language that your word belongs']}]",[{}]
TranslaText,https://rapidapi.com/roylyntikisa/api/translatext/,translatext.p.rapidapi.com,GET:getTranslate,,default,[{}],"[{'参数名': ['to', 'text', 'from'], '参数类型': ['STRING', 'STRING', 'STRING'], '参数注意事项': ['', '', '']}]"
TranslaText,https://rapidapi.com/roylyntikisa/api/translatext/,translatext.p.rapidapi.com,POST:postTranslate,,default,[{}],[{}]
Translate All Languages,https://rapidapi.com/JustMobi/api/translate-all-languages/,translate-all-languages.p.rapidapi.com,GET:Translate,"Translates input text, returning translated text",,[{}],"[{'参数名': ['fromLang'], '参数类型': ['STRING'], '参数注意事项': ['The language of the fromLang, set to one of the language codes listed in Language Support. If the source language is not specified, the API will attempt to detect the source language automatically and return it within the response.']}]"
Translate All Languages,https://rapidapi.com/JustMobi/api/translate-all-languages/,translate-all-languages.p.rapidapi.com,GET:Languages,Returns a list of supported languages for translation.,,[{}],[{}]
Translate All Languages,https://rapidapi.com/JustMobi/api/translate-all-languages/,translate-all-languages.p.rapidapi.com,GET:Detect,Detects the language of text within a request.,,"[{'参数名': ['text'], '参数类型': ['STRING'], '参数注意事项': ['The input text upon which to perform language detection. Repeat this parameter to perform language detection on multiple text inputs.']}]",[{}]
Microsoft Translator Text,https://rapidapi.com/microsoft-azure-org-microsoft-cognitive-services/api/microsoft-translator-text/,microsoft-translator-text.p.rapidapi.com,POST:Break Sentence,Identifies the position of sentence boundaries in a piece of text.,Break Sentence,[{}],[{}]
Microsoft Translator Text,https://rapidapi.com/microsoft-azure-org-microsoft-cognitive-services/api/microsoft-translator-text/,microsoft-translator-text.p.rapidapi.com,POST:Detect,Identifies the language of a string of text.,Detect,[{}],[{}]
Microsoft Translator Text,https://rapidapi.com/microsoft-azure-org-microsoft-cognitive-services/api/microsoft-translator-text/,microsoft-translator-text.p.rapidapi.com,POST:Dictionary Lookup,Provides alternative translations for a word and a small number of idiomatic phrases. Each translation has a part-of-speech and a list of back-translations. The back-translations enable a user to understand the translation in context. The Dictionary E...,Dictionary Lookup,[{}],[{}]
Microsoft Translator Text,https://rapidapi.com/microsoft-azure-org-microsoft-cognitive-services/api/microsoft-translator-text/,microsoft-translator-text.p.rapidapi.com,POST:Dictionary Examples,Provides examples that show how terms in the dictionary are used in context. This operation is used in tandem with Dictionary lookup.,Dictionary Examples,[{}],[{}]
