API名称,API链接,API_Host,Endpoint名称,Endpoint描述,Endpoint种类,Endpoint必须参数,Endpoint可选参数
Dark Sky,https://rapidapi.com/darkskyapis/api/dark-sky/,dark-sky.p.rapidapi.com,GET:Forecast,"A Forecast Request returns the current weather conditions, a minute-by-minute forecast for the next hour (where available), an hour-by-hour forecast for the next 48 hours, and a day-by-day forecast for the next week.",,[{}],"[{'参数名': ['exclude', 'units', 'extend', 'lang'], '参数类型': ['STRING', 'STRING', 'STRING', 'STRING'], '参数注意事项': ['Exclude some number of data blocks from the API response. This is useful for reducing latency and saving cache space. The value blocks should be a comma-delimeted list (without spaces) of any of the following: currently, minutely, hourly, daily, alerts, flags', 'Return weather conditions in the requested units. [units] should be one of the following: auto: automatically select units based on geographic location ca: same as si, except that windSpeed and windGust are in kilometers per hour uk2: same as si, except that nearestStormDistance and visibility are in miles, and windSpeed and windGust in miles per hour us: Imperial units (the default) si: SI units', 'When extend=hourly, return hour-by-hour data for the next 168 hours, instead of the next 48. When using this option, we strongly recommend enabling HTTP compression.', 'Return summary properties in the desired language. (Note that units in the summary will be set according to the units parameter, so be sure to set both parameters appropriately.) language should be 2-letter language code. English is default']}]"
Dark Sky,https://rapidapi.com/darkskyapis/api/dark-sky/,dark-sky.p.rapidapi.com,GET:Time Machine,A Time Machine Request returns the observed (in the past) or forecasted (in the future) hour-by-hour weather and daily weather conditions for a particular date.,,[{}],"[{'参数名': ['lang', 'exclude', 'units'], '参数类型': ['STRING', 'STRING', 'STRING'], '参数注意事项': ['Return summary properties in the desired language. (Note that units in the summary will be set according to the units parameter, so be sure to set both parameters appropriately.) Use 2-letter language code (full list in API Details). en is default.', 'Exclude some number of data blocks from the API response. This is useful for reducing latency and saving cache space. The value blocks should be a comma-delimeted list (without spaces) of any of the following: currently, minutely, hourly, daily, alerts, flags', 'Return weather conditions in the requested units. [units] should be one of the following: auto: automatically select units based on geographic location ca: same as si, except that windSpeed is in kilometers per hour uk2: same as si, except that nearestStormDistance and visibility are in miles and windSpeed is in miles per hour us: Imperial units (the default) si: SI units']}]"
Air Quality,https://rapidapi.com/weatherbit/api/air-quality/,air-quality.p.rapidapi.com,GET:Air Quality History,Returns the past 24 hours of air quality observations for any point in the world given a lat/lon.,,"[{'参数名': ['lon', 'lat'], '参数类型': ['NUMBER', 'NUMBER'], '参数注意事项': ['Longitude', 'Latitude']}]",[{}]
Air Quality,https://rapidapi.com/weatherbit/api/air-quality/,air-quality.p.rapidapi.com,GET:Air Quality Forecast,Returns a 3 day (72 hour) air quality forecast for any point in the world given a lat/lon.,,[{}],"[{'参数名': ['hours'], '参数类型': ['NUMBER'], '参数注意事项': ['Limits response forecast hours (default 72).']}]"
Air Quality,https://rapidapi.com/weatherbit/api/air-quality/,air-quality.p.rapidapi.com,GET:Current Air Quality,"Retrieves current air quality conditions for any location in the world, given a lat/lon.",,"[{'参数名': ['lon', 'lat'], '参数类型': ['STRING', 'STRING'], '参数注意事项': ['Longitude', 'Latitude']}]",[{}]
Tides,https://rapidapi.com/apihood/api/tides/,tides.p.rapidapi.com,GET:Tides,Endpoint for getting Tide predictions like extremes and water level,,[{}],"[{'参数名': ['interval', 'radius', 'timestamp', 'duration'], '参数类型': ['NUMBER', 'NUMBER', 'NUMBER', 'STRING'], '参数注意事项': [""Interval means number of minutes between the returned measurements. Please note that one response can contain max 10 080 predicted heights, so duration/interval can't be bigger than 10 080."", 'When no prediction is found in requested coordinates, API tries to return the nearest prediction. You can limit the radius by setting radius parameter to any positive integer.', 'Timestamp (number of seconds since the unix epoch) of the prediction beginning. Datetime represented with this timestamp will be floored to whole minute. Defaults to current timestamp', ""Duration is the number of minutes for which the forecast should be calculated. Default and minimum is 1 440 (one day). Please note that one response can contain max 10 080 predicted heights, so duration/interval can't be bigger than 10 080.""]}]"
US Weather By Zip Code,https://rapidapi.com/interzoid/api/us-weather-by-zip-code/,us-weather-by-zip-code.p.rapidapi.com,GET:Get Weather By Zip,Retrieves current US weather information,,"[{'参数名': ['zip'], '参数类型': ['STRING'], '参数注意事项': ['Zip code']}]",[{}]
Visual Crossing Weather,https://rapidapi.com/visual-crossing-corporation-visual-crossing-corporation-default/api/visual-crossing-weather/,visual-crossing-weather.p.rapidapi.com,GET:Weather forecast data,"Provides access to weather forecast information. The forecast is available for up to seven days at the hourly, 12 hour and daily summary level.",,[{}],"[{'参数名': ['contentType', 'unitGroup', 'shortColumnNames'], '参数类型': ['STRING', 'STRING', 'BOOLEAN'], '参数注意事项': ['When present, choose between json or csv output', 'unitGroup - The system of units used for the output data. Supported values are us,uk,metric.', 'When false, the returned dataset includes descriptive column names. When true, returns shorter, abbreviated column names with only alphanumeric characters. The short names are useful for programmatic use of the data.']}]"
Visual Crossing Weather,https://rapidapi.com/visual-crossing-corporation-visual-crossing-corporation-default/api/visual-crossing-weather/,visual-crossing-weather.p.rapidapi.com,GET:Historical weather record,The weather history data is suitable for retrieving hourly or daily historical weather records.,,[{}],"[{'参数名': ['dayStartTime', 'contentType', 'dayEndTime', 'shortColumnNames'], '参数类型': ['STRING', 'STRING', 'STRING', 'BOOLEAN'], '参数注意事项': ['When present and not set to the same as the dayEndTime, filters the output to records that between the specified day times. This is useful for setting filters for business hours. Format h:m:ss (eg 9:00:00 woudl be 9am).', 'When present, choose between json or csv output', 'When present and not set to the same as the dayEndTime, filters the output to records that between the specified day times.', 'When false, the returned dataset includes descriptive column names. When true, returns shorter, abbreviated column names with only alphanumeric characters. The short names are useful for programmatic use of the data.']}]"
WeatherAPI.com,https://rapidapi.com/weatherapi/api/weatherapi-com/,weatherapi-com.p.rapidapi.com,GET:Realtime Weather API,Current weather or realtime weather API method allows a user to get up to date current weather information in json and xml. The data is returned as a Current Object.,,"[{'参数名': ['q'], '参数类型': ['STRING'], '参数注意事项': ['Query parameter based on which data is sent back. It could be following: Latitude and Longitude (Decimal degree) e.g: q=48.8567,2.3508 city name e.g.: q=Paris US zip e.g.: q=10001 UK postcode e.g: q=SW1 Canada postal code e.g: q=G2J metar: e.g: q=metar:EGLL iata:<3 digit airport code> e.g: q=iata:DXB auto:ip IP lookup e.g: q=auto:ip IP address (IPv4 and IPv6 supported) e.g: q=100.0.0.1']}]",[{}]
