API名称,API链接,API_Host,Endpoint名称,Endpoint描述,Endpoint种类,Endpoint必须参数,Endpoint可选参数
Axesso - Walmart Data Service,https://rapidapi.com/axesso/api/axesso-walmart-data-service/,axesso-walmart-data-service.p.rapidapi.com,GET:searchByKeyword,Execute a keyword search,,[{}],"[{'参数名': ['sortBy'], '参数类型': ['STRING'], '参数注意事项': ['']}]"
Axesso - Walmart Data Service,https://rapidapi.com/axesso/api/axesso-walmart-data-service/,axesso-walmart-data-service.p.rapidapi.com,GET:lookupProduct,Request product information,,"[{'参数名': ['url'], '参数类型': ['STRING'], '参数注意事项': ['']}]",[{}]
Zappos,https://rapidapi.com/apidojo/api/zappos1/,zappos1.p.rapidapi.com,GET:brands/list,List all brands from Zappos,,[{}],[{}]
Zappos,https://rapidapi.com/apidojo/api/zappos1/,zappos1.p.rapidapi.com,POST:products/list,"List products, search products with options and filters",,[{}],[{}]
Zappos,https://rapidapi.com/apidojo/api/zappos1/,zappos1.p.rapidapi.com,GET:products/detail,Get detail information of product by productId,,"[{'参数名': ['productId'], '参数类型': ['STRING'], '参数注意事项': ['Get id value from products/list API']}]",[{}]
Zappos,https://rapidapi.com/apidojo/api/zappos1/,zappos1.p.rapidapi.com,GET:categories/list (Deprecated),List all categories from Zappos,,[{}],[{}]
Asos,https://rapidapi.com/apidojo/api/asos2/,asos2.p.rapidapi.com,GET:v2/auto-complete,Get auto complete suggestion by product name,,[{}],"[{'参数名': ['store', 'country', 'currency', 'sizeSchema', 'lang'], '参数类型': ['STRING', 'STRING', 'STRING', 'STRING', 'STRING'], '参数注意事项': ['The store code gotten from …/countries/list API', 'The country code gotten from …/countries/list API', 'The currency code gotten from …/countries/list API', 'The sizeSchema code gotten from …/countries/list API', 'The language code gotten from …/countries/list API']}]"
Amazon Price,https://rapidapi.com/ajmorenodelarosa/api/amazon-price1/,amazon-price1.p.rapidapi.com,GET:search,Your GET endpoint,,[{}],"[{'参数名': ['page'], '参数类型': ['NUMBER'], '参数注意事项': ['']}]"
Amazon Price,https://rapidapi.com/ajmorenodelarosa/api/amazon-price1/,amazon-price1.p.rapidapi.com,GET:priceReport,Your GET endpoint,,"[{'参数名': ['asin', 'marketplace'], '参数类型': ['STRING', 'STRING'], '参数注意事项': ['', 'Amazon Marketplace Id']}]",[{}]
Amazon Price,https://rapidapi.com/ajmorenodelarosa/api/amazon-price1/,amazon-price1.p.rapidapi.com,GET:eanToAsin,Your GET endpoint,,"[{'参数名': ['marketplace', 'ean'], '参数类型': ['STRING', 'STRING'], '参数注意事项': ['Amazon Marketplace Id', 'European Article Number']}]",[{}]
Amazon Price,https://rapidapi.com/ajmorenodelarosa/api/amazon-price1/,amazon-price1.p.rapidapi.com,GET:upcToAsin,Your GET endpoint,,"[{'参数名': ['upc', 'marketplace'], '参数类型': ['STRING', 'STRING'], '参数注意事项': ['Universal Product Code', '']}]",[{}]
Taobao API,https://rapidapi.com/gabrielius.u/api/taobao-api/,taobao-api.p.rapidapi.com,GET:Items Search,Real-time search for products using query or category. Then filter and sort the results.,,[{}],"[{'参数名': ['page_size', 'sort', 'page', 'tmall', 'start_price', 'cat', 'q', 'free_shiping', 'end_price', 'loc'], '参数类型': ['NUMBER', 'ENUM', 'NUMBER', 'BOOLEAN', 'NUMBER', 'NUMBER', 'STRING', 'BOOLEAN', 'NUMBER', 'STRING'], '参数注意事项': ['Result returned items quantity', 'Item sorting: default,sales_asc,sales_des,price_asc,price_des', 'Page Number', 'Taobao, Tmall all products / Tmall products', 'Filter by Starting Price', 'Category ID', 'Search Query', 'Is free shipping (only in Mailand China)', 'Filter by Ending Price', 'Name of the city in China (in Chinese)']}]"
Taobao API,https://rapidapi.com/gabrielius.u/api/taobao-api/,taobao-api.p.rapidapi.com,GET:Shops Search (Simple),Search for different shops using query. Then filter and sort the results.,,[{}],"[{'参数名': ['start_credit', 'page', 'end_credit', 'page_size', 'is_tmall', 'sort'], '参数类型': ['NUMBER', 'NUMBER', 'NUMBER', 'NUMBER', 'BOOLEAN', 'STRING'], '参数注意事项': ['Seller credit start', 'Page Number', 'Seller credit end', 'Result returned items quantity', 'Taobao, Tmall all products / Tmall products', 'Result sort']}]"
Forever21,https://rapidapi.com/apidojo/api/forever21/,apidojo-forever21-v1.p.rapidapi.com,GET:categories/v2/list,List all categories from F21,,[{}],[{}]
Forever21,https://rapidapi.com/apidojo/api/forever21/,apidojo-forever21-v1.p.rapidapi.com,GET:products/v2/list,List products by category,,[{}],"[{'参数名': ['pageSize', 'pageNumber', 'sortby', 'maxPrice', 'filterColor', 'filterSize', 'minPrice'], '参数类型': ['NUMBER', 'NUMBER', 'NUMBER', 'STRING', 'STRING', 'STRING', 'STRING'], '参数注意事项': ['The records return in each page', 'The page number to display data', 'One of the following 1-Newest|2-HighToLow|3-LowToHight|4-HighestRating|5-Most popular', 'Search for products lower this amount of money, leave empty to ignore this filter.', 'The value of Filter/ColorList/Key JSON object returned right in this endpoint. Pass this parameter multiple times to apply multiple filters at once. Ex : …&filterColor=BLACK&filterColor=BLUE&…', 'The value of Filter/SizeList/Key JSON object returned right in this endpoint. Pass this parameter multiple times to apply multiple filters at once. Ex : …&filterSize=XS/S&filterSize=S&…', 'Search for products higher this amount of money, leave empty to ignore this filter.']}]"
