API链接,Update_Time,Author,API名称,API描述,API Popularity,API Latency,API Service Level
https://rapidapi.com/Implisense/api/german-company-data/, 2 months ago , Implisense ,German Company Data,Enrich your CRM / MAS / ERP system with credible data about all incorporated companies from Germany.,9.8,102 ms,100%
https://rapidapi.com/realtymole/api/realty-mole-property-api/, 15 days ago , Realty Mole ,Realty Mole Property,"Get instant access to 140+ million property records, owner details, home value and rent estimates, active listings and rental market statistics with the Realty Mole real estate data API. Available nationwide in the US.",9.9,661 ms,100%
https://rapidapi.com/moneals/api/rent-estimate/, 15 days ago , Realty Mole ,Rent Estimate,Get instant access to 140+ million real-time property rent estimates and comparable rental listings with the Realty Mole rental data API. Available nationwide in the US.,9.8,384 ms,100%
https://rapidapi.com/IPQualityScore/api/ipq-proxy-detection-and-email-verification/, 6 months ago , IPQualityScore ,IPQ Proxy Detection and Email Verification,"IPQS Proxy Detection can detect low quality IP connections that indicate fraudulent activity such as proxies, VPNs, & Tor connections. Reduce fraud and potential chargebacks by detecting high risk IP addresses. This service is excellent for affiliate networks and advertisers that want to avoid fraudulent traffic, merchants that want to avoid chargebacks, forums that want to block spammers, and other services looking to eliminate fraudulent signups and purchases. Get 5,000 FREE monthly queries...",9.5,993 ms,100%
https://rapidapi.com/api4yaware/api/yaware-timetracker/, 2 months ago , api4yaware ,Yaware.TimeTracker,"Yaware.TimeTracker is an automatic time tracking app that helps you and your team manage their time, be productive and achieve more. Yaware.TimeTracker allows you to track time spent on projects, websites/software usage, manage resources, evaluate productivity and increase performance. All this without the need to start and stop a timer. The software allows to track software and Internet use, control overtime and flexitime, evaluate and reward achievements, take screenshots and snapshots. A...",9.6,431 ms,100%
https://rapidapi.com/domainr/api/domainr/, 5 months ago , Domainr ,Domainr,Instant domain search. Documentation available at https://domainr.com/docs/api,9.9,126 ms,100%
https://rapidapi.com/translated/api/mymemory-translation-memory/, a year ago , Translated ,MyMemory - Translation Memory,Get a better translation! MyMemory is the world's largest Translation Memory that contains billions of words translated by professional translators. MyMemory will give you ModernMT machine translation if a human translation is not available.,9.9,413 ms,100%
https://rapidapi.com/futureapi-futureapi-default/api/validate-vat-number/, 3 months ago , FutureAPI ,Validate VAT Number,"Reliable and fast. API works with all EU countries, United Kingdom (GB) and Norway (NO). Returns: VAT is valid or not. And if VAT is valid - company name, address.",9.7,966 ms,100%
https://rapidapi.com/apidojo/api/idealista2/, 2 years ago , Api Dojo ,Idealista,"Query for rent and sale properties in Spain, Italy, Portugal",9.8,"2,046 ms",100%
https://rapidapi.com/apidojo/api/zoopla/, 2 years ago , Api Dojo ,Zoopla,"This API helps to query for properties for rent, sale in UK to create a real estate site/application such as zoopla.com",9.8,"2,680 ms",100%
https://rapidapi.com/dreamwebapis/api/phone-number-validation-api/, 2 months ago , dreamweb ,Phone Number Validation API,"The Phone Number Validation API is a comprehensive solution that allows developers to validate and retrieve essential information about phone numbers. With this API, you can easily check if a phone number is valid, determine the network carrier, identify the country, retrieve the number type (e.g., mobile, landline, toll, etc), retrieve the country code, retrieve the number in international format and retrieve the currency code associated with the country. This API provides accurate and up-to...",9.6,"1,202 ms",99%
https://rapidapi.com/scraperium/api/idealista7/, 9 days ago , scraperium ,Idealista,"Scrape all ads published on Idealista. Returns suggested locations (auto complete) and properties in JSON. Works for Spain, Portugal and Italy properties. Check out the tutorial for getting started.",9.7,"1,670 ms",100%
https://rapidapi.com/420vijay47/api/gst-details-filing-data/, 2 months ago , Vijay Prajapati ,GST Details & Filing Data,"Get company details, Return Status & Filing Data based on GSTIN - Monthly Data, Quarterly Data, Yearly Data & hsn codes -Update 21 May 2023: I have updated the API & it's even faster with zero errors.",9.5,"3,276 ms",100%
https://rapidapi.com/pentium10/api/uspto-trademark/, 10 months ago , Marton Kodok ,USPTO Trademark,"Instant trademark search. Check if a trademark keyword is available, search trademarks from USPTO, filter on owner/applicant information, expiration date.",9.8,532 ms,100%
https://rapidapi.com/adarshmadrecha/api/gst-return-status/, 8 months ago , adarshmadrecha ,GST Return Status,GST Return Filing Status for India,9.8,344 ms,80%
https://rapidapi.com/apidojo/api/unofficial-redfin/, 2 years ago , Api Dojo ,Unofficial Redfin,"This API helps to query properties for sale, rent, sold,etc… to create a real estate site/application",9.8,"1,218 ms",100%
https://rapidapi.com/sorowerhossan01/api/zillow-working-api/, 7 days ago , ONEAPI ,Zillow Working API,"100 req/month is totally free! Zestimates using property address. 25,000 requests in just $20!",9.8,913 ms,100%
https://rapidapi.com/apidojo/api/realty-in-ca1/, 7 days ago , Api Dojo ,Realty in CA,"This API helps to query for residential, commercial listing both for sale and for rent from across Canada to create a real estate site/application such as realtor.ca",9.8,"2,313 ms",100%
https://rapidapi.com/hamidahjamiatul/api/weather-api99/, 4 months ago , Jamiatul Hamidah ,Weather API,"This is a simple Flask application that uses the OpenWeatherMap API to get the weather data for a specified city. The application listens for HTTP GET requests to the /weather endpoint with a city query parameter, and returns the JSON response from the API in a pretty printed format. If the city parameter is not provided or the API returns a 404 error because the city is not found, the application returns an appropriate error message with the corresponding HTTP status code. The application al...",9.8,452 ms,100%
https://rapidapi.com/epctex-epctex-default/api/clutch-co/, a month ago , epctex ,Clutch.co,"Gather comprehensive company information, numeric company focus, real client reviews, portfolios, and more from the extensive Clutch.co commercial database.",9.6,"1,329 ms",100%
https://rapidapi.com/simontribus1996/api/fatturacheck/, 5 months ago , Simon Tribus ,FatturaCheck,,9.6,323 ms,98%
https://rapidapi.com/hassan.cs91/api/domain-authority1/, 4 months ago , PromoterKit ,Domain Authority,Get Domain Authority and Page Authority of any Domain or URL.,9.8,956 ms,100%
https://rapidapi.com/ComparableCompanies/api/comparable-companies/, a year ago , ComparableCompanies ,Comparable Companies,"Our ML algorithm finds the most similar firms to any company. Find 10x more companies 10x faster! The API will return up to 50 similar companies for any company domain that you provide. Data points provided for every company include: Name, # of employees, Revenue in USD, Revenue Growth, Description, Logo image URL, HQ Location, Country, and Linkedin URL. Use this API to power your web application with ""related companies"" sections, or use it to leverage internal databases with new data points.",9.5,"2,233 ms",91%
https://rapidapi.com/meshooidsf/api/new-york-dmv-open-data-api/, 3 months ago , SereneTrails Software ,New York DMV Open Data API,2023 Data (Updated monthly),9.5,"3,180 ms",100%
https://rapidapi.com/shake-chillies-shake-chillies-default/api/crunchbase4/, a year ago , Shake Chillies ,Crunchbase,Provides access to Crunchbase data,9.5,"8,151 ms",100%
https://rapidapi.com/epctex-epctex-default/api/realtor26/, a month ago , epctex ,Realtor,"Uncover valuable insights from realtor.com's extensive property listings. Search, filter, retrieve and all!",9.6,"4,374 ms",99%
https://rapidapi.com/wazznco-wazznco-default/api/linkedin-profile-data2/, 10 months ago , wazznco ,LinkedIn Profile Data,Returns LinkedIn profile data from a given username.,9.5,661 ms,99%
https://rapidapi.com/standingapi-standingapi-default/api/public-holidays3/, 2 years ago , StandingAPI ,Public Holidays,"Retrieve religious, non-public and public holidays for 200+ countries worldwide and for any specific year",9.5,947 ms,100%
https://rapidapi.com/epctex-epctex-default/api/apartments-com1/, a month ago , epctex ,Apartments.com,Retrieve Apartments.com to crawl millions of real estate properties nationwide. Specify any location and extract data on all available properties in that area.,9.6,"2,153 ms",100%
https://rapidapi.com/apidojo/api/bayut/, 2 years ago , Api Dojo ,Bayut,This API helps to query real estate in UAE to create a real estate site/application,9.9,"1,840 ms",99%
https://rapidapi.com/hassan.cs91/api/email-validation24/, 3 months ago , PromoterKit ,Email Validation,Validate Emails With 98% Accuracy (Mailbox Validation),9.6,"3,242 ms",100%
https://rapidapi.com/apidojo/api/realty-in-au/, 8 months ago , Api Dojo ,Realty in AU,"This API helps to query properties for sale, rent, sold,etc… in Australia to create a realtor, real estate site/application such as realestate.com.au",9.7,"5,654 ms",98%
https://rapidapi.com/one-api-one-api-default/api/ai-resume-parser-extractor/, 4 months ago , ONE[API] ,AI Resume Parser & Extractor,"An automated, robust CV/resume parsing service, processing PDFs from various input types and extracting key information for machine readability, with detailed status reporting, and the flexibility to support both synchronous and asynchronous operations with callback URL functionality.",9.5,"31,077 ms",90%
https://rapidapi.com/velocityhub/api/powerful-gstin-tool/, 8 days ago , velocityhub ,Powerful GSTIN Tool,"Unlock the Power of GST Data with Our Comprehensive API Suite. Seamlessly access GSTIN details, PAN information, address data, and more with our easy-to-use API tools. Simplify your GST-related workflows and make informed decisions today!!",9.6,633 ms,100%
https://rapidapi.com/apidojo/api/realty-in-us/, 8 days ago , Api Dojo ,Realty in US,"This API helps to query properties for sale, rent, sold,etc… to create a real estate site/application such as realtor.com",9.9,"1,184 ms",100%
https://rapidapi.com/ipworld/api/quotes-inspirational-quotes-motivational-quotes/, 2 years ago , BestinfoPoint.com ,Quotes Inspirational Quotes Motivational Quotes,"This is a totally free API for every website must use it on home page of your website to make your website more professional & an inspirational business website. This API provide Quote of The Day daily with author name. which give you a professional, inspirational & business quotation daily. Just integrate it in your website at once after that our API will give you daily new fresh Quote of Day for your website's home page. Website integrated with quotes API on home page: https://bestinfopoint...",9.8,552 ms,100%
https://rapidapi.com/hamidahjamiatul/api/pokemon-api3/, 4 months ago , Jamiatul Hamidah ,Pokemon API,"Retrieve information about a Pokemon from the PokeAPI with this RESTful API. Simply make a GET request to the /pokemon endpoint with the name of the Pokemon as a query parameter and receive a JSON response with data on that Pokemon's abilities, moves, stats, and more!",9.6,803 ms,100%
https://rapidapi.com/way2risetech/api/gst-details2/, 9 months ago , way2risetech ,GST Details,Get Details about GSTIN (GST number),9.7,"3,402 ms",99%
https://rapidapi.com/Intelitruth/api/free-ofac-scan/, 2 years ago , APIs ,Free OFAC Scan,"A FREE and simple OFAC scan that returns TRUE (if the target was found) or FALSE (if the target was not found). Use ""Complete OFAC Scan"" by Intelitruth for detailed records response.",9.6,749 ms,100%
https://rapidapi.com/indeed/api/indeed/, 2 years ago , indeed ,Indeed,"Indeed is the #1 job site worldwide, with over 100 million unique visitors per month. Indeed is available in more than 50 countries and 26 languages, covering 94% of global GDP.",9.7,45 ms,100%
https://rapidapi.com/theomalbucklidun/api/vin-decoder34/, 3 months ago , Romas Hawk ,VIN decoder,"A region-specific VIN decoder, South Africa / EU / USA.",9.6,"5,250 ms",100%
https://rapidapi.com/consultaempresas/api/consulta-empresa-cnpj-e-socios/, 5 months ago , Consulta Empresas ,"Consulta Empresa, CNPJ e Sócios",,9.2,"1,474 ms",97%
https://rapidapi.com/ajs-logistics-ajs-logistics-default/api/gymshark/, 10 months ago , ajslogistics ,GymShark,This unofficial API infrastructure provides access to GymShark. This provides Access to GymShark.,8.6,"1,764 ms",100%
https://rapidapi.com/Bmbus/api/business-starter-api/, 6 months ago , Jannes ,Business Starter API,"API that generates a name, slogan and idea for a business",9.1,"2,963 ms",100%
https://rapidapi.com/crazyapi/api/convert-company-name-to-website-url/, 10 months ago , crazyapi ,Convert Company Name to Website URL,Convert Company Names to Website URL,9.0,"28,777 ms",100%
https://rapidapi.com/standingapi-standingapi-default/api/currency-exchange-rates3/, 2 years ago , StandingAPI ,Currency Exchange Rates,Get live and historical data from 60+ fiat and crypto currencies via a modern REST API,9.4,967 ms,100%
https://rapidapi.com/standingapi-standingapi-default/api/company-enrichment/, 2 years ago , StandingAPI ,Company Enrichment,"Enrich any domain or email with accurate company data, including headcount, location and industry.",9.2,552 ms,100%
https://rapidapi.com/mj-api-development-mj-api-development-default/api/financial-business-news-api/, 2 months ago , MJ API - Intelligent Stock & Financial News API ,Financial & Business News API,"# Business & Financial News API Our API gives you access to business & financial news articles world wide and from reputable publishers in one easy to use api, which can easily be intergrated to your blog or website.",8.9,"4,800 ms",100%
https://rapidapi.com/gicholksensasa/api/xmlauto/, 3 months ago , xml auto ,XmlAuto,XML-based automotive API,9.3,"4,424 ms",100%
https://rapidapi.com/standingapi-standingapi-default/api/phone-number-validation-and-verification1/, 2 years ago , StandingAPI ,Phone Number Validation and Verification,"Improve your contact rate and clean your lists with industry-leading phone number validation API. Phone Number Validation and Verification API is a fast, lightweight, modern, and RESTful JSON API for determining the validity and other details of phone numbers from over 190 countries. It's very simple to use: you only need to submit your API key and a phone number, and the API will respond as assessment of its validity, as well as additional details like the carrier details, line type, regio...",9.0,821 ms,100%
https://rapidapi.com/isdelnorte/api/infoconstancia/, 6 months ago , isdelnorte ,InfoConstancia,Genera un objeto Json con la informacion de la constancia de un RFC en pdf,9.3,"1,552 ms",100%
https://rapidapi.com/redgalaxy-redgalaxy-default/api/postcodr/, 2 years ago , RedGalaxy ,Postcodr,UK address lookup API with postcode-level geocoding,9.1,323 ms,99%
https://rapidapi.com/inutil-inutil-default/api/phone-validator-api/, 3 months ago , inUtil Labs ,Phone Validator API,Verify phone numbers are valid on your apps.,9.3,535 ms,100%
https://rapidapi.com/appaio/api/sweden-company-data/, 10 months ago , appaio ,Sweden Company Data,Access the official Swedish Government Company register via this API. Ideal for KYB purposes,,,
https://rapidapi.com/veilleio-veilleio-default/api/crunchbase6/, 4 months ago , Veille Scraping ,Crunchbase,Crunchbase Company API,9.4,"8,349 ms",85%
https://rapidapi.com/anand-3YLlqAijFU/api/budgets-ai-contacts-db/, 3 months ago , Anand Karasi ,Budgets AI Contacts DB,Endpoints Email_Linkedin - Provide an email a professional and get the linkedin stub of the professional Budgets Contacts - Provide a linkedin URL stub of a professional and get the emails and phone numbers back,8.8,532 ms,100%
https://rapidapi.com/fraigo/api/calendarevents/, 6 months ago , Francisco Igor ,CalendarEvents,Retrieve Google Calendar Events from a public calendar,9.3,"1,385 ms",100%
https://rapidapi.com/ktatfisoureu/api/california-dmv/, 3 months ago , Pixel Crafters ,California DMV,A wrapper for the California DMV API,9.2,"6,218 ms",100%
https://rapidapi.com/edeveloper17/api/resumetsy/, 3 months ago , medst ,resumetsy,Unlock AI-Powered Resume Parsing. Highly Accurate. Multilingual. Best resume parser api.,8.9,"63,677 ms",100%
https://rapidapi.com/inpro/api/texploro3/, 10 days ago , inpro ,Texploro,"texploro API provides aggregated data of worldwide R&D activities. It contains information about organizations such as research institutes, companies or competitors, cooperations, technological trends, R&D activities & emerging technologies, informations over time and insights in innovation and technological developments.",8.6,"1,726 ms",87%
