API链接,Update_Time,Author,API名称,API描述,API Popularity,API Latency,API Service Level
https://rapidapi.com/binfoconsultas/api/quadro-de-socios-cpf-cnpj/, a year ago , BINFO ,Quadro de sócios CPF/CNPJ,Consultar Quadro de Sócios e Administradores registrados na Receita Federal,9.6,"1,702 ms",100%
https://rapidapi.com/rosoemawd/api/house-plants/, 10 months ago , Ema Roso ,House Plants,"This API provides a database of house plants, along with their description and information how to best take care of them (ideal temperature, light, etc.). All proceeds go to charity (donated at the end of each month).",9.6,758 ms,93%
https://rapidapi.com/idfy-idfy-default/api/pan-card-verification1/, 10 months ago , IDfy ,PAN Card Verification,"Instant PAN Card Verification using government database check. IDfy’s PAN Card Verification API instantly verifies details of a PAN Card by confirming them from the Government database. This makes your onboarding process faster, safer and smarter. With IDfy’s PAN verification, you can be confident that the individuals or merchants you onboard hold a valid PAN card and have provided you with the right identity proof.",9.7,"1,047 ms",100%
https://rapidapi.com/ranjian0/api/cpu-data/, 10 months ago , Ian Karanja ,CPU Data,Get quick access to data on various CPUs.,9.6,55 ms,100%
https://rapidapi.com/rahilkhan224/api/pan-card-verification-at-lowest-price/, 20 hours ago , AK IT services ,Pan Card Verification at Lowest price,"Instant PAN Card Verification using government database check. (Made in India). PAN Card Verification API instantly verifies details of a PAN Card by confirming them from the Government database. This makes your onboarding process faster, safer and smarter. With our PAN verification, you can be confident that the individuals or merchants you onboard hold a valid PAN card and have provided you with the right identity proof.",9.5,"4,490 ms",100%
https://rapidapi.com/alexandremeylan92/api/car-code/, a month ago , Alexandre ,car code,This is a simple API that will return the human readable version of DTC codes (OBD-II Trouble Codes).,9.7,63 ms,100%
https://rapidapi.com/makingdatameaningful/api/restaurants-near-me-usa/, a month ago , Making Data Meaningful ,Restaurants near me USA,"USA Restaurants database. Find restaurants near you by querying this complete and comprehensive restaurant API. The API will return 10 results per page. Please use the ""page"" field for pagination.",9.6,374 ms,100%
https://rapidapi.com/rahilkhan224/api/imdb-movies-web-series-etc-search/, 2 months ago , AK IT services ,"IMDB (Movies, Web Series, etc.) Search","online database of information related to films, television series, home videos, video games, and streaming content online – including cast, production crew and personal biographies, plot summaries, trivia, ratings, and fan and critical reviews.",9.6,363 ms,100%
https://rapidapi.com/makingdatameaningful/api/motorcycle-specs-database/, a month ago , Making Data Meaningful ,Motorcycle Specs Database,"--- DEMO http://api-motorcycle.makingdatameaningful.com/ ---- The complete Motorcycle Database with specifications for all Makes & Models [year 1900 to 2023]. Full specs & images included. Real-Time updated. We provide a motorcycle database delivered through API. There are more than 35,000 moto models available along with 20+ technical information fields. One image per model is also included. Our fast API is delivered through several endpoints in order to satisfy different request types. ...",9.7,222 ms,100%
https://rapidapi.com/binfoconsultas/api/dados-cnpj/, a year ago , BINFO ,Dados CNPJ,Busca os dados de um CNPJ diretamente na base de dados da Receita Federal.,9.6,"1,231 ms",100%
https://rapidapi.com/whoisapi/api/whois-v2/, 2 years ago , Whois XML API ,WHOIS v2,"WHOIS API (v2) returns well-parsed WHOIS records with fields in XML and JSON formats for any IPv4, IPv6 address, domain name, or email.",9.7,"1,862 ms",100%
https://rapidapi.com/airaudoeduardo/api/checkleakedcc-official/, a month ago , CheckLeakedCC ,CheckLeakedCC Official,CheckLeaked.cc official api implementation to obtain results from experimental / dehashed search.,9.7,"9,853 ms",96%
