API链接,Update_Time,Author,API名称,API描述,API Popularity,API Latency,API Service Level
https://rapidapi.com/softrix-technologies-dnschecker/api/mac-address-lookup1/, a year ago , Softrix Technologies ,MAC Address Lookup,"Provide Company name, address, MAC address range, MAC address prefix",9.7,81 ms,100%
https://rapidapi.com/swami.ayushing1/api/webup/, 6 months ago , Ayush Swami ,WebUp,API to check if a web server is up or down & to detect a keyword on a URL.,9.5,"1,383 ms",98%
https://rapidapi.com/apidojo/api/similar-web/, 2 months ago , Api Dojo ,Similar Web,"This API helps you to query website traffic and key metrics for any website, including engagement rate, traffic ranking, keyword ranking and traffic source... to create a plugin like similarweb.com",9.9,"1,140 ms",100%
https://rapidapi.com/digicatech/api/check-ssl/, a month ago , digicatech ,Check SSL,"Get information about SSL Certificate validity, issuer,remaining time.",9.6,809 ms,100%
https://rapidapi.com/abdheshnayak/api/counter10/, 3 months ago , Abdhesh Nayak ,Counter,Count views on your website or any other specific action on your application.,9.6,627 ms,100%
https://rapidapi.com/atenreiro/api/opensquat1/, 11 days ago , Andre Tenreiro ,openSquat,The openSquat is an open-source project for phishing domain and domain squatting detection by searching daily newly registered domains impersonating legit domains.,9.6,"11,531 ms",99%
https://rapidapi.com/rogerkingdom10/api/world-population-by-decade-and-growth-rate/, 2 years ago , Patrick Kisitu ,world population by decade and growth rate,world population by decade and growth rate,9.0,548 ms,100%
https://rapidapi.com/peekdomainapi/api/newly-registered-domains3/, 5 months ago , Ahmet Sen ,Newly Registered Domains,Newly Registered Domains API (v1) lets you check which domains have been added.,9.0,"2,822 ms",100%
https://rapidapi.com/ailabapi-ailabapi-default/api/skin-analyze/, 2 months ago , AILabTools ,Skin analyze,"Analysis of skin condition, such as skin color, skin texture, double eyelids, eye bags, dark circles, wrinkles, acne, spots, etc.",9.4,"1,532 ms",100%
https://rapidapi.com/leonkura/api/simple-email-notifications/, a year ago , leonkura ,Simple Email Notifications,Notify on cronjob failure. Notify when command execution finished or failed. And more...,9.0,144 ms,100%
https://rapidapi.com/oRastor/api/i-am-alive/, a year ago , Rastor ,I Am Alive,Just send regular information that the point is alive and receive notification if the point was not alive for a specified period of time.,9.1,111 ms,100%
https://rapidapi.com/orfalijr-wMxTLQe_NER/api/ics-cert-advisories/, 2 years ago , Pascal Orfali ,ICS-CERT Advisories,"An API to retrieve advisories for Industrial Control Systems that provide timely information about current security issues, vulnerabilities, and exploits from CISA.gov.",8.8,"5,924 ms",100%
https://rapidapi.com/apidojo/api/price-tracking-tools/, a year ago , Api Dojo ,Price Tracking Tools,This API currently helps to query for prices of products from Amazon. We will support more other sites/brands soon. Stay tune!,8.9,"1,481 ms",100%
https://rapidapi.com/dataocean/api/domain-authority-pro1/, 14 days ago , dataocean ,Domain Authority Pro,Best price 🚀 High quality data ✅ Full API integration support 🚑 Access to the domain Doman Authority and much more!,9.4,69 ms,100%
https://rapidapi.com/dataocean/api/domain-metrics-pro1/, 14 days ago , dataocean ,Domain Metrics Pro,"Best price 🚀 High quality data ✅ Full API integration support 🚑 Dive deep into critical domain SEO metrics DA, PA & more",9.4,76 ms,100%
https://rapidapi.com/zagfox/api/ssl-certificate-checker3/, a month ago , ZagFox Technologies Pvt. Ltd. ,SSL Certificate Checker,"This API is your go-to solution for retrieving vital information about a website's SSL certificate. Easily obtain details such as validity, issuer, and remaining usage days. Stay informed and secure your web connections with our SSL Certificate Checker, your trusted SSL certificate companion.",8.7,386 ms,92%
https://rapidapi.com/petarraznatovic7/api/mx-email-server-up-or-down/, a year ago , Petar Raznatovic ,MX - Email server UP or DOWN,With this API you can check if email server exist or not on some domain.,8.8,"3,310 ms",100%
https://rapidapi.com/nusantaracode1-nusantaracode-default/api/marine-radar/, 4 months ago , nusantaracode ,Marine Radar,"Marine Radar API is a service that provides access to marine radar data through an application programming interface (API). This product is specifically designed to provide accurate and real-time information about maritime navigation conditions, including information about objects around a ship or specific waterways.",9.2,"1,290 ms",100%
https://rapidapi.com/baric/api/known-exploited-vulnerabilities/, 3 months ago , baric ,Known Exploited Vulnerabilities,"The script offers a range of API endpoints that allow users to retrieve and filter this vulnerability data based on different parameters. Users can query the data by specific dates, CVE names, vendors, products, descriptions, and due dates. The API handles these requests and responds with JSON data containing the relevant vulnerability information. In summary, the script facilitates the retrieval of important cybersecurity information about known vulnerabilities and provides a user-friendly ...",8.5,"59,892 ms",100%
https://rapidapi.com/rahul4real/api/scan-web-heades-api/, 10 months ago , rahul4real ,Scan Web Heades API,This API takes domain name as parameter and returns headers status as response,9.2,"1,407 ms",100%
https://rapidapi.com/rowsanonline/api/youtube-classification-api/, a year ago , shark ,Youtube classification api,"Train your own machine learning project Stop wasting time scrolling through a list of videos. Use our Youtube classification API to get the information you need in the most efficient way possible. With our API and your favorite programming language, you can classify videos into like count, comment count, and rating count so that you can find what you're looking for in no time.",9.2,760 ms,100%
https://rapidapi.com/sharmilaMurali/api/corona-updates/, 2 years ago , sharmilaMurali ,Corona Updates,Short analysis on corona virus spread across world,9.0,"1,796 ms",100%
https://rapidapi.com/opt-nc-opt-nc-default/api/temps-attente-en-agence/, a month ago , OPT-NC for developers ,Temps attente en agence,API permettant de en direct les temps d'attente en agence,8.9,503 ms,100%
https://rapidapi.com/naya5star/api/employee-leaves1/, a month ago , Super Star ,Employee Leaves,This is for mock API for employee leaves monitorization,8.8,6 ms,100%
https://rapidapi.com/farmonaut-technologies-private-limited-farmonaut-technologies-private-limited-default/api/farmonaut-satellite-and-weather-data1/, 2 years ago , Farmonaut Technologies Private Limited ,Farmonaut Satellite and Weather Data,Get Your Unique ID and start using the API.,9.0,"5,238 ms",80%
https://rapidapi.com/ai-box-ai-box-default/api/web-monitoring-service/, 2 years ago , AI Box ,Web Monitoring Service,Monitor the Web for interesting new content,8.1,"3,865 ms",100%
https://rapidapi.com/kasuken/api/about-my-ip/, 2 years ago , kasuken ,About My IP,Connection information about an IP Address,8.4,"19,567 ms",62%
https://rapidapi.com/infiniteloop/api/pages-hosted-on-domain/, 4 months ago , Fiach Reid ,Pages hosted on domain,"Find web pages hosted on a domain, including historic pages.",8.2,799 ms,100%
https://rapidapi.com/jeandrewswart-aZ-_d-FG3-U/api/oh-fudge/, 2 years ago , Jeandrew Swart ,Oh Fudge,Check if your webpage is Alive or Dead!,,,
https://rapidapi.com/4thel00z/api/whats-my-ip3/, 2 months ago , ransomware ,Whats my IP,External IP service,8.4,67 ms,100%
https://rapidapi.com/richardbellairs/api/building-simulator/, 3 months ago , Richard Bellairs ,Building Simulator,Simulates the floor of an office building. Supplies dynamic virtual sensor measurements for indoor air quality and people counting.,,,
https://rapidapi.com/quodlibet/api/publiccloudwatchdashboard/, 2 years ago , quodlibet ,PublicCloudwatchDashboard,Make a AWS Cloudwatch Dashboard Public,,,
https://rapidapi.com/situmeang92fs-QuRWkLSe4Yd/api/count-characters-string/, 2 years ago , jeremiando S ,Count Characters String,This API use for counting String,8.3,6 ms,100%
https://rapidapi.com/dtshipping2021/api/marinetraffic1/, 2 years ago , DT Shipping ,MarineTraffic,Ships,8.2,684 ms,100%
https://rapidapi.com/FreyaJin/api/patient/, 2 years ago , FreyaJin ,Patient,Patient Database Management,,,
https://rapidapi.com/jsavajols/api/get-public-ip/, 2 years ago , jsavajols ,Get public IP,Get my public IP,8.0,658 ms,100%
https://rapidapi.com/Katlego909/api/getverification/, a year ago , Katlego909 ,getVerification,Verification for allowance of personnel,,,
https://rapidapi.com/gf.regalado/api/test6582/, 2 years ago , Gonçalo Regalado ,Test,Test,,,
https://rapidapi.com/ExoWatts/api/porn-filter2/, a year ago , ExoWatts ,Porn Filter,Check if a website contains adult content.,,,
