API链接,Update_Time,Author,API名称,API描述,API Popularity,API Latency,API Service Level
https://rapidapi.com/newslit/api/newslit-news-search/, 21 days ago , Newslit News ,Newslit News Search,"News Search through millions of articles from over 80,000 large and small news sources and blogs.",9.7,728 ms,100%
https://rapidapi.com/apidojo/api/imdb8/, 9 hours ago , Api Dojo ,IMDb,,9.9,"1,196 ms",100%
https://rapidapi.com/connexun-srl-connexun-srl-default/api/news67/, 2 months ago , Connexun Srl ,News,"Connexun News APIs serve historical and trending news content from trusted sources worldwide. Our crawler scrapes content published by over 20.000 highly-trusted online sources in different languages, thus enabling our users to be the first to pick up on emerging stories and most relevant information. Ensure a real-time view into the world of football with our solution, or collect historical structured data on the most relevant past stories and events. Test our endpoints for free and do not h...",9.7,619 ms,100%
https://rapidapi.com/rphrp1985/api/newsnow/, 8 minutes ago , PR Labs ,NewsNow,"Google news , Bing news , BBC, CNN, Yahoo news ,MSN, CNN, New York Times, The Washington Post, Wall Street Journal, USA Today, Reuters, Fox News, HuffPost, NBC News, ABC News, India Today, BBC News ,The Guardian , Al Jazeera CNBC ,Associated Press ,Fox News ,Le Monde , Deutsche Welle ,China Central Television (CCTV) , ESPN, Bleacher NBA ,The Sydney Morning Herald,NHK World ,The Categories- Economist, Breaking News, World Events, Politics, Technology, Health, Science, Business, Crypto Stock Ma...",9.9,"1,603 ms",100%
https://rapidapi.com/textsla-textsla-default/api/news-sentiment2/, 4 months ago , Textsla ,News Sentiment,"English news sentiment API, only $0.00001 per extra requests",9.7,"14,236 ms",99%
https://rapidapi.com/ntd119/api/imdb-com/, 3 months ago , Things4u ,IMDb com,"Real-time data, unofficial API IMDb.com IMDb, short for Internet Movie Database, is one of the most popular and reputable websites for film and television enthusiasts. This website provides comprehensive information about movies, TV shows, actors, directors, writers, and other figures related to the film industry.",9.6,"3,304 ms",100%
https://rapidapi.com/SmartableAI/api/coronavirus-smartable/, 3 years ago , Smartable AI Developer Program ,Coronavirus Smartable,The coronavirus Stats and News API offers the latest and historic COVID-19 stats and news information per country or state.,9.7,94 ms,100%
https://rapidapi.com/bloomautomation-bloomautomation-default/api/snapchat-profile-scraper-api/, 9 months ago , ArgusAPI2 ,SnapChat Profile Scraper API,"Get snapchat profile data, such as name, story, snap code and more! Quick & Simple API",9.6,904 ms,100%
https://rapidapi.com/webit/api/webit-news-search/, 3 years ago , Webit ,Webit News Search,"40+ Languages News Search, Trending articles feed.",9.5,"3,704 ms",79%
https://rapidapi.com/machaao-inc-machaao-inc-default/api/newsx/, a year ago , MACHAAO ,NewsX,News with AI Generated Summaries,9.6,"1,051 ms",99%
https://rapidapi.com/sanchezballesterospablo/api/anime-news-net/, 8 months ago , pasabaa ,Anime News Net,"This anime news API allows users to get details about the latest anime news, including the news headline, category, publication date and a brief introduction. It also provides an image relevant to the news item and the full content of the news item. Users can use this API to stay updated on the latest anime news easily and quickly",9.6,"1,835 ms",94%
https://rapidapi.com/caddytzitzy/api/newsomaticapi/, 2 years ago , Szabi Kisded (CodeRevolution) ,NewsomaticAPI,Search worldwide news with code,9.6,"1,981 ms",100%
https://rapidapi.com/TheTellusProject/api/climate-news-feed/, 7 months ago , MADE by Lundahl ,Climate News Feed,"Climate Change news from the most trusted sources. Nasa, UN, and more. Flexible, reliable, and fast with low latency. Includes thumbnails, filtering, and pagination",9.6,306 ms,100%
https://rapidapi.com/opteka-opteka-default/api/newsi-api/, 12 days ago , Optekasoft ,Newsi api,"Best free news api that provide news in all categories from different sources like google news api, yahoo news api, bing news api, bbc news api , business news api, breaking news api, newsapi python website news: https://newsi-app.com Contact us for any suggestions or questions: Gmail : mohammedalaazakitayyem@gmail.com Telegram : @mohammedalaazaki Whatsapp : +971521306899",9.7,"2,161 ms",99%
https://rapidapi.com/tango-api-tango-api-default/api/horoscope34/, 6 months ago , Tango Api ,Horoscope,Get Daily Horoscope Data | Astrology API,9.6,764 ms,100%
https://rapidapi.com/microsoft-azure-org-microsoft-cognitive-services/api/bing-news-search1/, 8 months ago , Microsoft Azure ,Bing News Search,An AI service from Microsoft Azure that turns any app into a news search resource.,9.9,353 ms,100%
https://rapidapi.com/apidojo/api/online-movie-database/, 2 years ago , Api Dojo ,Online Movie Database,"This API helps to query for all information about films, actors, characters,etc... to create a movie/series/streaming content site/application",9.9,"1,638 ms",100%
https://rapidapi.com/newscatcher-api-newscatcher-api-default/api/newscatcher/, a year ago , Newscatcher API ,Newscatcher,"API to find news articles by any topic, country, language, website, or keyword",9.9,473 ms,100%
https://rapidapi.com/bfd-id/api/google-news13/, 5 months ago , BFD ,Google News,Provide real-time news and articles sourced from Google News.,9.8,"1,168 ms",100%
https://rapidapi.com/MettaCode/api/us-congress-top-news/, 10 months ago , MettaMan ,US Congress Top News,Retreive latest news about the United States Congress from around the world.,9.5,46 ms,100%
https://rapidapi.com/apidojo/api/flixster/, a year ago , Api Dojo ,Flixster,"This API helps to query for movies, actors, theaters, showtime, etc... to create a site/application, such as : rottentomatoes.com, flixster.com",9.7,"1,920 ms",100%
https://rapidapi.com/everyday/api/ai10/, a year ago , everyday ,AI,"The A.I. Everyday API offers the artificial intelligence news, learning resources, companies, influencers, events and other information.",9.6,203 ms,100%
https://rapidapi.com/ctr-ou-ctr-ou-default/api/google-news-api1/, a month ago , CTRDEVS ,Google News API,"By using the Google News API, which is a straightforward REST API, you may look through over 6,000,000 news sources, both current and archived. You may also aggregate and arrange today's most talked-about news stories in accordance with Google News's rating with the help of this news API. You can also use filters and a keyword search to sift through all the articles. We have compiled tens of millions of articles from over 250,000 sources in ten different languages for inclusion in our databa...",9.7,598 ms,100%
https://rapidapi.com/kierenfunk/api/medium16/, a year ago , kierenfunk ,Medium,Unofficial API to search and find the latest stories written on medium.com,9.6,927 ms,100%
https://rapidapi.com/Matt11/api/title-case-converter/, 10 months ago , Matt11 ,Title Case Converter,Capitalize titles and headlines according to the title capitalization rules of various style guides.,9.6,97 ms,100%
https://rapidapi.com/pipfeed-pipfeed-default/api/news-article-data-extract-and-summarization1/, 20 hours ago , PipFeed ,News Article Data Extract and Summarization,"Extract data from online news & articles. Get full metadata with content, images, authors, summary, category, keywords, topics, and more. Automatic data extraction from articles, products, discussions, and more. This API uses advanced AI technology to retrieve clean, structured data without the need for manual rules or site-specific training.",9.8,"4,880 ms",92%
https://rapidapi.com/MatcherLabs/api/news-api14/, 25 days ago , MatcherLabs ,News API,Google News and Bing News Alternative. The Best API to Search News from the 2500+ Publishers Around The World.,9.9,"11,264 ms",87%
https://rapidapi.com/sommerbraiden/api/crypto-news34/, 7 days ago , Bsom6188 ,Crypto News,Shows recent news articles in the cryptocurrency market. Find article by keyword search to find related news or return general information about crypto market.,9.5,"10,816 ms",98%
https://rapidapi.com/dbh133/api/crypto-news-live9/, a year ago , dbh133 ,Crypto News Live,A Crypto News API pulling data from around the world about the latest news in crypto,9.6,312 ms,100%
https://rapidapi.com/makingdatameaningful/api/reuters-business-and-financial-news/, a month ago , Making Data Meaningful ,Reuters Business and Financial News,"Our Financial News API is a comprehensive and accurate data source of financial news from Reuters. This API allows users to retrieve the latest financial news articles and updates from Reuters, covering topics such as stocks, bonds, commodities, currencies, and more. The API is designed to provide real-time financial news updates, and allows users to filter news based on keywords, location, and date range. This data can be easily integrated into a wide range of use cases, such as financial an...",9.6,999 ms,100%
https://rapidapi.com/Oliviervha/api/crypto-news11/, 2 years ago , Oliviervha ,Crypto News,Get the latest crypto news incl. sentiment analysis and keyword extraction,9.6,"1,380 ms",100%
https://rapidapi.com/toumirttv/api/whatsapp-api5/, a year ago , ZIGZAG.MA ,Whatsapp API,"API provides you with the ability to send a text message, video message or image at the highest speed and easy to use",9.6,400 ms,100%
https://rapidapi.com/thma/api/biztoc/, 2 months ago , Thomas Marban ,BizToc,Official BizToc.com API — The Web's most comprehensive hub for business & finance news.,9.8,411 ms,100%
https://rapidapi.com/RahulBisht001/api/share-market-news-api-india/, 6 days ago , RahulBisht001 ,Share Market News API (India),"Share Market News API is an API that provides access to Real-time and historical news articles related to Indian share market, finance and business. The API allows developers to access and integrate news articles from multiple sources with their applications and software systems. It can be used for stock market analysis, financial journalism, and building custom financial news feeds.",9.6,"57,794 ms",48%
https://rapidapi.com/cristian.liciu/api/newscafapi/, 3 years ago , EpsilonSys ,NewscafAPI,NewsCaf API is a simple and easy-to-use API that returns JSON metadata for the headlines currently published by most trusted news sources http://www.newscaf.com.,9.0,700 ms,100%
https://rapidapi.com/socialanimal/api/socialanimal/, 3 years ago , Krishna ,socialanimal,"Social Animal's powerful Content/News API provides a blazingly fast, simple API for popular articles with very flexible filters that let you get popular web content. Social Animal News API’s powerful query filters let you narrow down on the exact kind of content you need for your audience.",8.5,"1,492 ms",100%
https://rapidapi.com/almaguero95/api/ufo-aficionado-api/, 3 months ago , durmock ,Ufo Aficionado API,"This API is used to retrieve UFO sightings. 88,000 reports were used to create this API",9.1,637 ms,100%
https://rapidapi.com/allapi-allapi-default/api/movies-details1/, 2 years ago , ALLAPI ,Movies details,we will provide movies details,9.0,"2,551 ms",100%
https://rapidapi.com/aryanchaurasia348-D-e9g9-G_m/api/news-article-data-extract-and-summarization2/, 2 years ago , Arya ,News Article Data Extract and Summarization,"Extract data from online news & articles. Get full metadata with content, images, authors, summary, category, keywords, topics, and more. Automatic data extraction from articles, products, discussions, and more. This API uses advanced AI technology to retrieve clean, structured data without the need for manual rules or site-specific training.",9.4,"2,647 ms",98%
