API链接,Update_Time,Author,API名称,API描述,API Popularity,API Latency,API Service Level
https://rapidapi.com/digicatech/api/qrcodeutils/, a year ago , digicatech ,qrcodeutils,QR Code Generator API. The API will return directly QR Code image. For more details please visit https://www.qrcodeutils.com,9.6,327 ms,98%
https://rapidapi.com/linqr-linqr-default/api/qrcode3/, 2 months ago , LinQR ,QRCode,"Customisable QR Codes. Support for styles, images and more! Bare metal engine gives it incredible speed. Full documentation can be found at: https://linqr.app/docs",9.9,410 ms,100%
https://rapidapi.com/qrickit/api/qrickit-qr-code-qreator/, 2 years ago , QRickit ,QRickit QR Code QReator,"Dynamically generate QR Codes (URL, Calendar Events, Contact, Text, Email, etc,) for integration in your own website, applications, and other business or personal usage.",9.5,"2,334 ms",100%
https://rapidapi.com/yoshiokatsuneo/api/paiza-io/, 2 years ago , yoshiokatsuneo ,paiza.IO,paiza.IO compiler / code runner API,9.5,"1,386 ms",100%
https://rapidapi.com/backend_box/api/bulk-domain-check/, 2 years ago , API Spot ,Bulk Domain Check,Bulk Domain Availability Check. All tlds supported.,9.5,"1,747 ms",100%
https://rapidapi.com/backend_box/api/bulk-whois/, 2 years ago , API Spot ,Bulk WHOIS,Bulk WHOIS API. Parsed to JSON. All TLDs supported. Online since 2016.,9.5,771 ms,88%
https://rapidapi.com/Privatix/api/temp-mail/, 2 years ago , Privatix ,Temp Mail,"Temporary Disposable E-mail fast and easy API - is a service that allows to receive email at a temporary address that self-destructed after a certain time elapses. It is also known by names like: tempmail, 10minutemail, throwaway email, fake-mail or trash-mail.",9.9,143 ms,100%
https://rapidapi.com/qrcode-monkey/api/custom-qr-code-with-logo/, a year ago , qrcode-monkey ,Custom QR Code with Logo,"Create unique looking QR codes with logo, color and design as PNG, SVG, PDF or EPS. QR Codes can be generated in high quality for print and professional use cases. Extended documentation can be found here: https://www.qrcode-monkey.com/qr-code-api-with-logo",9.9,799 ms,97%
https://rapidapi.com/domaination-domaination-default/api/domaination-io/, 10 months ago , Domaination ,Domaination.io,"Check if a domain is available. 10,000 free requests including domain availability checks. Returns WHOIS data including expiration dates.",9.9,942 ms,100%
https://rapidapi.com/Canssens/api/seo-extraction/, 9 days ago , Charles Anssens ,SEO extraction,"Extract from an URL the major SEO tags : title, description, H1, H2, H3, and links.",9.7,"2,577 ms",99%
https://rapidapi.com/fyhao/api/text-sentiment-analysis-method/, 2 months ago , fyhao ,Text Sentiment Analysis Method,"Analysing text sentiment by passing text or paragraphs, in single line or multiple lines, and get back with the sentiment analysis report, to get how many of lines be analysed, how many positive, negative, middle sentiment for the lines of text.",9.7,440 ms,100%
https://rapidapi.com/fivefilters/api/full-text-rss/, a month ago , FiveFilters.org ,Full-Text RSS,Full-Text RSS can extract article content from a web page and transform partial web feeds into full-text feeds. Get results in RSS or JSON. You can use our hosted service via Mashape (test for free) and you can also visit our site to buy our self-hosted version.,9.8,917 ms,100%
https://rapidapi.com/textanalysis/api/textanalysis/, 2 years ago , TextMiner ,TextAnalysis,"TextAnalysis API provides customized Text Analysis,Text Mining and Text Processing Services like Text Summarization, Language Detection, Text Classification, Sentiment Analysis, Word Tokenize, Part-of-Speech(POS) Tagging, Named Entity Recognition(NER), Stemmer, Lemmatizer, Chunker, Parser, Key Phrase Extraction(Noun Phrase Extraction), Sentence Segmentation(Sentence Boundary Detection), Grammar Checker and other Text Analysis Tasks. It stands on the giant shoulders of NLP Tools, such as NLTK...",9.6,324 ms,100%
https://rapidapi.com/rpi4gx/api/ephemeral-proxies/, a month ago , Clark J ,Ephemeral Proxies,"An API service to obtain **datacenter and residential proxies.** ###### Features: * This service contains pools of **stable and high-quality proxies** that automatically rotate to ensure that you get a new different proxy with each API call. * Each request to this API service will provide you with a new proxy available for 30 mins. * Proxies are constantly monitored to ensure their health. * You can extend the allocation time of a datacenter proxy by making successive calls to the API, with ...",9.8,424 ms,100%
https://rapidapi.com/saasberry-apps-saasberry-apps-default/api/html-css-to-image4/, a year ago , Saasberry Apps ,HTML CSS to Image,"Powerful HTML to Image generation API. Generate PNG, JPEG or WebP images from HTML, CSS or URL. Most affordable prices.",9.8,"1,226 ms",100%
https://rapidapi.com/pritznattaf/api/string-to-sha-256-converter/, 2 months ago , pritznattaf ,String to SHA-256 Converter,"This API endpoint allows you to convert a given string into its SHA-256 hash representation. The server takes the input string from the request body, processes it, and responds with the SHA-256 hash as a JSON object. To use this API, send a POST request to the /convert endpoint with a JSON body containing the ""string"" field with the string you want to convert. The response will contain the SHA-256 hash of the input string. SHA-256 (Secure Hash Algorithm 256-bit) is a widely used cryptograph...",9.7,430 ms,100%
https://rapidapi.com/quavious/api/url-checker/, a year ago , NWL ,URL Checker,Provide the original URL of each shorten URL that user requests. without accessing it directly on web browsers.,9.6,"5,630 ms",100%
