API名称,API链接,API_Host,Endpoint名称,Endpoint描述,Endpoint种类,Endpoint必须参数,Endpoint可选参数
SEO Automations,https://rapidapi.com/BigFoxMedia/api/seo-automations/,seo-automations.p.rapidapi.com,GET:Extract Sitemap XML as JSON,"Are you looking for an API that can quickly and easily download and parse sitemap.xml files into JSON format? Look no further! Our API allows you to make a simple GET request, passing in the URL of a sitemap.xml file as a parameter. The API will handle the rest, downloading th...",Tier 2 APIs ( Fast ),[{}],"[{'参数名': ['breadcrumbs', 'categories', 'meta'], '参数类型': ['BOOLEAN', 'BOOLEAN', 'BOOLEAN'], '参数注意事项': ['', '', '']}]"
SEO Automations,https://rapidapi.com/BigFoxMedia/api/seo-automations/,seo-automations.p.rapidapi.com,"GET:Extract top Keywords, Phrases by density + all headers","Analyze any webpage's keyword density for SEO or research. Get the specified number of keywords or phrases you wish, sorted by density and occurrences in a JSON format. The algorithm has been optimized for pages with large amounts of text, as well as advanced cloud infrastracu...",Tier 1 APIs ( Advanced ),[{}],"[{'参数名': ['phraseLength', 'n', 'numPhrases'], '参数类型': ['NUMBER', 'NUMBER', 'NUMBER'], '参数注意事项': ['Number of words in each phrase to return ( results are sorted by density ).\nBetween 1 and 10.\nDefault is 10.', 'Number of Keywords to return ( results are sorted by density ).\nBetween 1 and 100.\nDefault is 100.', 'Number of phrases to return ( results are sorted by density ).\nBetween 1 and 100.\nDefault is 100.']}]"
Workable,https://rapidapi.com/orliesaurus/api/workable/,workable.p.rapidapi.com,GET:/jobs,Retrieve information about jobs,,[{}],"[{'参数名': ['phase'], '参数类型': ['STRING'], '参数注意事项': ['Filter to list job items by status: ""published"", ""draft"", ""closed"", ""archived""']}]"
Workable,https://rapidapi.com/orliesaurus/api/workable/,workable.p.rapidapi.com,POST:/candidates,Creating a candidate,,[{}],[{}]
Workable,https://rapidapi.com/orliesaurus/api/workable/,workable.p.rapidapi.com,GET:/jobs/shortcode,Retrieve details for a specific job based on its unique shortcode,,"[{'参数名': ['your-api-key', 'shortcode'], '参数类型': ['STRING', 'STRING'], '参数注意事项': ['Your APIKey provided by Workable', 'Retrieve detailed job information, including the job description. The shortcode is a unique identifier for each jobs and can be seen by invoking ""/jobs""']}]",[{}]
Workable,https://rapidapi.com/orliesaurus/api/workable/,workable.p.rapidapi.com,GET:/jobs/shortcode/candidates,Retrieve a list of information related to the applicants to a specified job (by the shortcode),,"[{'参数名': ['your-api-key', 'shortcode'], '参数类型': ['STRING', 'STRING'], '参数注意事项': ['Your APIKey provided by Workable', 'Retrieve detailed job information, including the job description. The shortcode is a unique identifier for each jobs and can be seen by invoking ""/jobs""']}]",[{}]
SEO Keyword Extraction from URL,https://rapidapi.com/spekulatius/api/seo-keyword-extraction-from-url/,seo-keyword-extraction-from-url.p.rapidapi.com,POST:Keyword Extraction,Extracts keyword with frequency scoring from the given URL,,[{}],[{}]
Keyword Suggestions,https://rapidapi.com/clever-ads-clever-ads-default/api/keyword-suggestions/,keyword-suggestions.p.rapidapi.com,POST:Keyword Suggestions,Get keyword suggestions from a keyword seed.,,[{}],[{}]
People Lookup,https://rapidapi.com/pguardiario/api/people-lookup1/,people-lookup1.p.rapidapi.com,GET:lookup,Lookup people by name and US state (optional),,[{}],"[{'参数名': ['State'], '参数类型': ['STRING'], '参数注意事项': ['']}]"
Facebook Ad,https://rapidapi.com/apis-world-apis-world-default/api/facebook-ad/,facebook-ad.p.rapidapi.com,GET:Facebook Ad Copy,Generate Facebook Ad using AI,,"[{'参数名': ['name', 'description'], '参数类型': ['STRING', 'STRING'], '参数注意事项': ['', '']}]",[{}]
Social media caption,https://rapidapi.com/apis-world-apis-world-default/api/social-media-caption/,social-media-caption.p.rapidapi.com,GET:Social Media Caption,Generate catchy captions for social media,,"[{'参数名': ['name', 'description'], '参数类型': ['STRING', 'STRING'], '参数注意事项': ['', '']}]",[{}]
Walnut Generator,https://rapidapi.com/WRT/api/walnut-generator/,walnut-generator.p.rapidapi.com,GET:wrt_transformer,Returns the generated text.,,"[{'参数名': ['payload'], '参数类型': ['STRING'], '参数注意事项': ['']}]",[{}]
Keyword Traffic,https://rapidapi.com/clever-ads-clever-ads-default/api/keyword-traffic/,keyword-traffic.p.rapidapi.com,GET:keyword-traffic-test,Provides Google Ads and Bing Ads traffic information.,,[{}],"[{'参数名': ['language', 'language_criterion_id', 'location', 'location_criterion_id'], '参数类型': ['STRING', 'NUMBER', 'STRING', 'NUMBER'], '参数注意事项': ['', '', '', '']}]"
Keyword Traffic,https://rapidapi.com/clever-ads-clever-ads-default/api/keyword-traffic/,keyword-traffic.p.rapidapi.com,POST:keyword-traffic,Provides Google Ads and Bing Ads traffic information.,,[{}],[{}]
Atomic SMS Sender,https://rapidapi.com/Vlad42/api/atomic-sms-sender/,vlad42-atomic-sms-sender-v1.p.rapidapi.com,GET:Send Message,,,[{}],[{}]
qrd.by - create trackable QR Codes,https://rapidapi.com/jungidee/api/qrd-by-create-trackable-qr-codes/,qrd.p.rapidapi.com,GET:geotags,This method retrieves a list of all created QR Codes,,"[{'参数名': ['key'], '参数类型': ['STRING'], '参数注意事项': ['The API Key']}]",[{}]
qrd.by - create trackable QR Codes,https://rapidapi.com/jungidee/api/qrd-by-create-trackable-qr-codes/,qrd.p.rapidapi.com,GET:stat,"This method returns the statistics for a QR Code. The response includes basic statistical data like the original URL, shortened URL, link to the QR Code, address and geo coordinates, followed by: when was the shortened URL first accessed, how much time elapsed between the firs...",,"[{'参数名': ['key', 'id'], '参数类型': ['STRING', 'STRING'], '参数注意事项': ['The API Key', 'The id of the QR Code']}]",[{}]
qrd.by - create trackable QR Codes,https://rapidapi.com/jungidee/api/qrd-by-create-trackable-qr-codes/,qrd.p.rapidapi.com,GET:short,The method shortens a given URL and returns the shortended URL as well the QR Code URL. You may attach optional geo information to set a location of where the QR Code will be placed. This may be your company address or any location where you want to stick your QR Code. The par...,,[{}],"[{'参数名': ['address', 'lng', 'lat', 'note'], '参数类型': ['STRING', 'STRING', 'STRING', 'STRING'], '参数注意事项': ['An optional human readable address string where the QR Code will be attached', 'An optional longitude of where the QR Code will be attached', 'An optional latitude of where the QR Code will be attached', 'An optional note']}]"
weather,https://rapidapi.com/mh98hamdy/api/weather586/,weather586.p.rapidapi.com,GET:weather,weather app,,[{}],[{}]
Instagram,https://rapidapi.com/geegeewse/api/instagram139/,instagram139.p.rapidapi.com,GET:lbslounge,Shows IG Feed,,[{}],[{}]
buy gmail accounts,https://rapidapi.com/buygmail-buygmail-default/api/buy-gmail-accounts/,buy-gmail-accounts.p.rapidapi.com,"GET:Buy Gmail Accounts | Old , New, Verified | Instant Delivery",Buy and sell old PVA Gmail accounts in bulk from Storegmail at super low price with 100% money back guarantee. You can buy bulk Gmail accounts or JUST ONE,,[{}],[{}]
Test,https://rapidapi.com/s18ud1101039-wlZRbLrXtWx/api/test18190/,test18190.p.rapidapi.com,POST:test with tokenk,token,,[{}],[{}]
Test,https://rapidapi.com/s18ud1101039-wlZRbLrXtWx/api/test18190/,test18190.p.rapidapi.com,POST:test,test,,[{}],[{}]
PetstoreRateLimit,https://rapidapi.com/rapidtom/api/petstoreratelimit/,petstoreratelimit.p.rapidapi.com,GET:findPetsByTags,"Multiple tags can be provided with comma separated strings. Use tag1, tag2, tag3 for testing.",pet,"[{'参数名': ['tags'], '参数类型': ['ARRAY'], '参数注意事项': ['Tags to filter by']}]",[{}]
PetstoreRateLimit,https://rapidapi.com/rapidtom/api/petstoreratelimit/,petstoreratelimit.p.rapidapi.com,GET:findPetsByStatus,Multiple status values can be provided with comma separated strings,pet,"[{'参数名': ['status'], '参数类型': ['ARRAY'], '参数注意事项': ['Status values that need to be considered for filter']}]",[{}]
PetstoreRateLimit,https://rapidapi.com/rapidtom/api/petstoreratelimit/,petstoreratelimit.p.rapidapi.com,POST:addPet,Pet object that needs to be added to the store,pet,[{}],[{}]
PetstoreRateLimit,https://rapidapi.com/rapidtom/api/petstoreratelimit/,petstoreratelimit.p.rapidapi.com,GET:getPetById,Returns a single pet,pet,"[{'参数名': ['petId'], '参数类型': ['NUMBER'], '参数注意事项': ['ID of pet to return']}]",[{}]
PetstoreRateLimit,https://rapidapi.com/rapidtom/api/petstoreratelimit/,petstoreratelimit.p.rapidapi.com,PUT:updatePet,Pet object that needs to be added to the store,pet,[{}],[{}]
PetstoreRateLimit,https://rapidapi.com/rapidtom/api/petstoreratelimit/,petstoreratelimit.p.rapidapi.com,DELETE:deletePet,,pet,"[{'参数名': ['petId'], '参数类型': ['NUMBER'], '参数注意事项': ['Pet id to delete']}]",[{}]
PetstoreRateLimit,https://rapidapi.com/rapidtom/api/petstoreratelimit/,petstoreratelimit.p.rapidapi.com,POST:updatePetWithForm,,pet,[{}],[{}]
PetstoreRateLimit,https://rapidapi.com/rapidtom/api/petstoreratelimit/,petstoreratelimit.p.rapidapi.com,POST:uploadFile,,pet,[{}],[{}]
PetstoreRateLimit,https://rapidapi.com/rapidtom/api/petstoreratelimit/,petstoreratelimit.p.rapidapi.com,POST:placeOrder,order placed for purchasing the pet,store,[{}],[{}]
PetstoreRateLimit,https://rapidapi.com/rapidtom/api/petstoreratelimit/,petstoreratelimit.p.rapidapi.com,DELETE:deleteOrder,For valid response try integer IDs with positive integer value. Negative or non-integer values will generate API errors,store,"[{'参数名': ['orderId'], '参数类型': ['NUMBER'], '参数注意事项': ['ID of the order that needs to be deleted']}]",[{}]
PetstoreRateLimit,https://rapidapi.com/rapidtom/api/petstoreratelimit/,petstoreratelimit.p.rapidapi.com,GET:getOrderById,For valid response try integer IDs with value >= 1 and <= 10. Other values will generated exceptions,store,"[{'参数名': ['orderId'], '参数类型': ['NUMBER'], '参数注意事项': ['ID of pet that needs to be fetched']}]",[{}]
PetstoreRateLimit,https://rapidapi.com/rapidtom/api/petstoreratelimit/,petstoreratelimit.p.rapidapi.com,GET:getInventory,Returns a map of status codes to quantities,store,[{}],[{}]
PetstoreRateLimit,https://rapidapi.com/rapidtom/api/petstoreratelimit/,petstoreratelimit.p.rapidapi.com,DELETE:deleteUser,This can only be done by the logged in user.,user,"[{'参数名': ['username'], '参数类型': ['STRING'], '参数注意事项': ['The name that needs to be deleted']}]",[{}]
PetstoreRateLimit,https://rapidapi.com/rapidtom/api/petstoreratelimit/,petstoreratelimit.p.rapidapi.com,PUT:updateUser,This can only be done by the logged in user.,user,[{}],[{}]
PetstoreRateLimit,https://rapidapi.com/rapidtom/api/petstoreratelimit/,petstoreratelimit.p.rapidapi.com,GET:logoutUser,,user,[{}],[{}]
PetstoreRateLimit,https://rapidapi.com/rapidtom/api/petstoreratelimit/,petstoreratelimit.p.rapidapi.com,POST:createUsersWithArrayInput,List of user object,user,[{}],[{}]
