API名称,API链接,API_Host,Endpoint名称,Endpoint描述,Endpoint种类,Endpoint必须参数,Endpoint可选参数
Veriphone,https://rapidapi.com/Veriphone/api/veriphone/,veriphone.p.rapidapi.com,GET:verify,Global phone number verification,,[{}],"[{'参数名': ['default_country'], '参数类型': ['STRING'], '参数注意事项': ['The default country in a 2 letters ISO format. Example: US, RU. Optional: the country will be infered from the prefix, from this parameter or from the IP address (in that order).']}]"
Veriphone,https://rapidapi.com/Veriphone/api/veriphone/,veriphone.p.rapidapi.com,GET:example,Get an example phone number for any country,,[{}],"[{'参数名': ['country_code', 'type'], '参数类型': ['STRING', 'STRING'], '参数注意事项': [""The example number's country in a 2 letters ISO format. Example: US, RU. Optional: the country will be infered from the IP address if this parameter is absent or invalid."", 'The type of example number to return. Values: fixed_line, mobile , premium_rate, shared_cost, toll_free, voip']}]"
Maytapi WhatsApp,https://rapidapi.com/maytapi/api/maytapi-whatsapp/,maytapi-whatsapp.p.rapidapi.com,GET:getStatus,Returns the status of the current session.,Session Information Getters,"[{'参数名': ['phone_id'], '参数类型': ['STRING'], '参数注意事项': ['Enter phone id']}]",[{}]
Maytapi WhatsApp,https://rapidapi.com/maytapi/api/maytapi-whatsapp/,maytapi-whatsapp.p.rapidapi.com,GET:getQRCode,Gets the image of QR-Code.,Session Information Getters,"[{'参数名': ['phone_id'], '参数类型': ['STRING'], '参数注意事项': ['Enter phone id']}]",[{}]
Maytapi WhatsApp,https://rapidapi.com/maytapi/api/maytapi-whatsapp/,maytapi-whatsapp.p.rapidapi.com,GET:getScreen,Returns the screenshot of the screen in the current session,Session Information Getters,"[{'参数名': ['phone_id'], '参数类型': ['STRING'], '参数注意事项': ['Enter phone id']}]",[{}]
Maytapi WhatsApp,https://rapidapi.com/maytapi/api/maytapi-whatsapp/,maytapi-whatsapp.p.rapidapi.com,GET:checkNumberStatus,Check phone number status.,Session Information Getters,"[{'参数名': ['number', 'phone_id'], '参数类型': ['STRING', 'STRING'], '参数注意事项': ['Phone Number', 'Enter phone id']}]",[{}]
Maytapi WhatsApp,https://rapidapi.com/maytapi/api/maytapi-whatsapp/,maytapi-whatsapp.p.rapidapi.com,GET:logs,Gets logs.,Session Information Getters,"[{'参数名': ['page'], '参数类型': ['STRING'], '参数注意事项': ['Enter which page']}]",[{}]
Maytapi WhatsApp,https://rapidapi.com/maytapi/api/maytapi-whatsapp/,maytapi-whatsapp.p.rapidapi.com,GET:contacts,Returns the contacts in the current whatsapp instance.,Session Information Getters,"[{'参数名': ['phone_id'], '参数类型': ['STRING'], '参数注意事项': ['']}]",[{}]
Maytapi WhatsApp,https://rapidapi.com/maytapi/api/maytapi-whatsapp/,maytapi-whatsapp.p.rapidapi.com,POST:clear,Only reset browser information. After you must scan qr code.,Session Controlling Operations,[{}],[{}]
Maytapi WhatsApp,https://rapidapi.com/maytapi/api/maytapi-whatsapp/,maytapi-whatsapp.p.rapidapi.com,POST:restart,Restarts the session by refreshing the page.,Session Controlling Operations,"[{'参数名': ['phone_id'], '参数类型': ['STRING'], '参数注意事项': ['Enter the id of the phone']}]",[{}]
Maytapi WhatsApp,https://rapidapi.com/maytapi/api/maytapi-whatsapp/,maytapi-whatsapp.p.rapidapi.com,POST:backup,"Backups the material needed for opening the same chat screen for the current phone number. This call is useful when the session is active and also the status of the session is active. Later, the response information can be used to open the chat screen with the POST res...",Session Controlling Operations,"[{'参数名': ['phone_id'], '参数类型': ['STRING'], '参数注意事项': ['Id of the phone in the active session']}]",[{}]
Maytapi WhatsApp,https://rapidapi.com/maytapi/api/maytapi-whatsapp/,maytapi-whatsapp.p.rapidapi.com,POST:logout,Logouts the number from the current session and converts the screen to qr-code screen.,Session Controlling Operations,"[{'参数名': ['phone_id'], '参数类型': ['STRING'], '参数注意事项': ['Id of the phone in the active session']}]",[{}]
Maytapi WhatsApp,https://rapidapi.com/maytapi/api/maytapi-whatsapp/,maytapi-whatsapp.p.rapidapi.com,POST:restore,Reloads the current session based on the reload data.,Session Controlling Operations,[{}],[{}]
Maytapi WhatsApp,https://rapidapi.com/maytapi/api/maytapi-whatsapp/,maytapi-whatsapp.p.rapidapi.com,GET:redeploy,Redeploys docker instance of your phone. If your phone having any unexpected problems you can use this endpoint to reboot the instance.,Session Controlling Operations,"[{'参数名': ['phone_id'], '参数类型': ['STRING'], '参数注意事项': ['']}]",[{}]
