API名称,API链接,API_Host,Endpoint名称,Endpoint描述,Endpoint种类,Endpoint必须参数,Endpoint可选参数
PAN Card Verification,https://rapidapi.com/idfy-idfy-default/api/pan-card-verification1/,pan-card-verification1.p.rapidapi.com,POST:PAN Card Verification,nstant PAN Card Verification using government database check.,,[{}],[{}]
Pan Card Verification at Lowest price,https://rapidapi.com/rahilkhan224/api/pan-card-verification-at-lowest-price/,pan-card-verification-at-lowest-price.p.rapidapi.com,GET:Verify PAN Card,Instant PAN Card Verification using government database check.,,"[{'参数名': ['panNumber'], '参数类型': ['STRING'], '参数注意事项': ['']}]",[{}]
car code,https://rapidapi.com/alexandremeylan92/api/car-code/,car-code.p.rapidapi.com,GET:/obd2/{code},This endpoint will provide the human readable version of a requested obd2 code,,"[{'参数名': ['code'], '参数类型': ['STRING'], '参数注意事项': ['']}]",[{}]
Restaurants near me USA,https://rapidapi.com/makingdatameaningful/api/restaurants-near-me-usa/,restaurants-near-me-usa.p.rapidapi.com,GET:GET all Restaurant locations by {state} and {city},GET all Restaurant locations by state and city,,"[{'参数名': ['city', 'page', 'state'], '参数类型': ['STRING', 'NUMBER', 'STRING'], '参数注意事项': ['', '', '']}]",[{}]
Restaurants near me USA,https://rapidapi.com/makingdatameaningful/api/restaurants-near-me-usa/,restaurants-near-me-usa.p.rapidapi.com,GET:GET all Restaurants locations by {state},GET all Restaurants locations by state,,"[{'参数名': ['state', 'page'], '参数类型': ['STRING', 'NUMBER'], '参数注意事项': ['', '']}]",[{}]
Restaurants near me USA,https://rapidapi.com/makingdatameaningful/api/restaurants-near-me-usa/,restaurants-near-me-usa.p.rapidapi.com,GET:GET all Restaurant locations by {zipcode],GET all Restaurant locations by zipcode,,"[{'参数名': ['page', 'zipCode'], '参数类型': ['NUMBER', 'STRING'], '参数注意事项': ['', '']}]",[{}]
Restaurants near me USA,https://rapidapi.com/makingdatameaningful/api/restaurants-near-me-usa/,restaurants-near-me-usa.p.rapidapi.com,GET:GET all Restaurant locations,GET all Restaurant locations,,"[{'参数名': ['page'], '参数类型': ['NUMBER'], '参数注意事项': ['']}]",[{}]
Restaurants near me USA,https://rapidapi.com/makingdatameaningful/api/restaurants-near-me-usa/,restaurants-near-me-usa.p.rapidapi.com,GET:GET all City names,GET all City names,,[{}],[{}]
Restaurants near me USA,https://rapidapi.com/makingdatameaningful/api/restaurants-near-me-usa/,restaurants-near-me-usa.p.rapidapi.com,GET:GET all State names,GET all State names,,[{}],[{}]
"IMDB (Movies, Web Series, etc.) Search",https://rapidapi.com/rahilkhan224/api/imdb-movies-web-series-etc-search/,imdb-movies-web-series-etc-search.p.rapidapi.com,GET:Search anything on imdb api,"Search anything on imdb api by entering the movie, webseries , etc title or film",,"[{'参数名': ['search_query'], '参数类型': ['STRING'], '参数注意事项': ['Its Very Important need to add .json as a suffix to every serch_query that you send or else you will get an error.\n*example if you are searching for salman add .json to it i.e salman.json *']}]",[{}]
