API名称,API链接,API_Host,Endpoint名称,Endpoint描述,Endpoint种类,Endpoint必须参数,Endpoint可选参数
Mobile Phone Specs Database,https://rapidapi.com/makingdatameaningful/api/mobile-phone-specs-database/,mobile-phone-specs-database.p.rapidapi.com,GET:List all {Phone Brands},,,[{}],[{}]
Mobile Phone Specs Database,https://rapidapi.com/makingdatameaningful/api/mobile-phone-specs-database/,mobile-phone-specs-database.p.rapidapi.com,GET:List all {Models} by {Phone Brand},List Models By Phone Brand name,,"[{'参数名': ['brandName'], '参数类型': ['STRING'], '参数注意事项': ['']}]",[{}]
Mobile Phone Specs Database,https://rapidapi.com/makingdatameaningful/api/mobile-phone-specs-database/,mobile-phone-specs-database.p.rapidapi.com,GET:Get {Specifications} by {Brand Name} and {Model Name},Get all phone specifications by brand name and model name,,"[{'参数名': ['brandName', 'modelName'], '参数类型': ['STRING', 'STRING'], '参数注意事项': ['', '']}]",[{}]
Mobile Phone Specs Database,https://rapidapi.com/makingdatameaningful/api/mobile-phone-specs-database/,mobile-phone-specs-database.p.rapidapi.com,GET:Get {Specifications} by {Custom id},Get all phone specifications by phone custom id,,"[{'参数名': ['phoneCustomId'], '参数类型': ['NUMBER'], '参数注意事项': ['']}]",[{}]
Mobile Phone Specs Database,https://rapidapi.com/makingdatameaningful/api/mobile-phone-specs-database/,mobile-phone-specs-database.p.rapidapi.com,GET:Get {Phone Image ids} by {Custom id},"Get up to 10 phone images (IDs).
Use these IDs in the Endpoint: Get {Image} by {Phone Image id}
The image IDs expire after 30 minutes.",,"[{'参数名': ['phoneCustomId'], '参数类型': ['NUMBER'], '参数注意事项': ['']}]",[{}]
Mobile Phone Specs Database,https://rapidapi.com/makingdatameaningful/api/mobile-phone-specs-database/,mobile-phone-specs-database.p.rapidapi.com,GET:Get {Image} by {Phone Image id},,,"[{'参数名': ['imageId'], '参数类型': ['STRING'], '参数注意事项': ['']}]",[{}]
CellPhones,https://rapidapi.com/samehsilim/api/cellphones/,cellphones.p.rapidapi.com,GET:GetPhonesByBrandId,Use this end point to load all phone ids for a specific brand. get the brand id from the endpoint GetBrands,,"[{'参数名': ['brandid'], '参数类型': ['NUMBER'], '参数注意事项': ['']}]",[{}]
CellPhones,https://rapidapi.com/samehsilim/api/cellphones/,cellphones.p.rapidapi.com,GET:GetBrands,Load all cell phone brands,,[{}],[{}]
CellPhones,https://rapidapi.com/samehsilim/api/cellphones/,cellphones.p.rapidapi.com,GET:GetPhoneDetails,"Get all phone specifications & photos by phone id, get the phone id from the endpoint GetPhonesByBrandId",,"[{'参数名': ['phoneid'], '参数类型': ['NUMBER'], '参数注意事项': ['']}]",[{}]
Kelpom IMEI Checker,https://rapidapi.com/Kelpom/api/kelpom-imei-checker1/,kelpom-imei-checker1.p.rapidapi.com,GET:Get Model Information,"Gets the device brand, model & model number if available",,"[{'参数名': ['service', 'imei'], '参数类型': ['STRING', 'STRING'], '参数注意事项': ['', '']}]",[{}]
User Agent Parser,https://rapidapi.com/rahmar4/api/user-agent-parser4/,user-agent-parser4.p.rapidapi.com,GET:User Agent Parser,Returns parsed data from UA string in a readable format.,,"[{'参数名': ['ua'], '参数类型': ['STRING'], '参数注意事项': ['']}]",[{}]
Wrist Watches,https://rapidapi.com/kaushiksheel9/api/wrist-watches/,wrist-watches.p.rapidapi.com,GET:Watches,This will returns the watches data…,,[{}],[{}]
GSMArenaParser,https://rapidapi.com/controller2042000/api/gsmarenaparser/,gsmarenaparser.p.rapidapi.com,GET:Get devices by brand,Returns all devices of brand,,"[{'参数名': ['manufacturer'], '参数类型': ['STRING'], '参数注意事项': ['']}]",[{}]
GSMArenaParser,https://rapidapi.com/controller2042000/api/gsmarenaparser/,gsmarenaparser.p.rapidapi.com,GET:Get specs of device,Returns specifications of specified device by manufacturer and model,,"[{'参数名': ['model', 'manufacturer'], '参数类型': ['STRING', 'STRING'], '参数注意事项': ['', '']}]",[{}]
GSMArenaParser,https://rapidapi.com/controller2042000/api/gsmarenaparser/,gsmarenaparser.p.rapidapi.com,GET:Get all devices,This endpoint returns all available devices in db including their specifications,,[{}],[{}]
Mashape,https://rapidapi.com/rokity/api/mashape/,rokity-mashape-v1.p.rapidapi.com,GET:Find for Tags,"This route find API for Tags like Tools,Education,Device …. You need to replace ""parameter"" value with your tags.",,[{}],"[{'参数名': ['query', 'type'], '参数类型': ['STRING', 'STRING'], '参数注意事项': ['', '']}]"
Mashape,https://rapidapi.com/rokity/api/mashape/,rokity-mashape-v1.p.rapidapi.com,GET:Explore,This route get JSON array of Mashape's explore page.,,[{}],"[{'参数名': ['query'], '参数类型': ['STRING'], '参数注意事项': ['']}]"
Mashape,https://rapidapi.com/rokity/api/mashape/,rokity-mashape-v1.p.rapidapi.com,GET:Find for Name,"Find your Api. You need to replace ""parameter"" value with the API's name.",,[{}],"[{'参数名': ['type', 'query'], '参数类型': ['STRING', 'STRING'], '参数注意事项': ['', '']}]"
User Agent Parser and Generator,https://rapidapi.com/evlar-evlar-default/api/user-agent-parser-and-generator/,user-agent-parser-and-generator.p.rapidapi.com,POST:Parse User Agent String,Parse User Agent String,,[{}],[{}]
User Agent Parser and Generator,https://rapidapi.com/evlar-evlar-default/api/user-agent-parser-and-generator/,user-agent-parser-and-generator.p.rapidapi.com,GET:Generate User Agent,Generate User Agent,,[{}],"[{'参数名': ['version'], '参数类型': ['STRING'], '参数注意事项': ['']}]"
