API名称,API链接,API_Host,Endpoint名称,Endpoint描述,Endpoint种类,Endpoint必须参数,Endpoint可选参数
SendGrid,https://rapidapi.com/sendgrid/api/sendgrid/,rapidprod-sendgrid-v1.p.rapidapi.com,PATCH:Update an alert,This endpoint allows you to update an alert.,,[{}],[{}]
SendGrid,https://rapidapi.com/sendgrid/api/sendgrid/,rapidprod-sendgrid-v1.p.rapidapi.com,GET:Retrieve all alerts,This endpoint allows you to retieve all of your alerts.,,[{}],[{}]
SendGrid,https://rapidapi.com/sendgrid/api/sendgrid/,rapidprod-sendgrid-v1.p.rapidapi.com,POST:Send,"This endpoint allows you to send email over SendGrid’s v3 Web API,",Mail,[{}],[{}]
SendGrid,https://rapidapi.com/sendgrid/api/sendgrid/,rapidprod-sendgrid-v1.p.rapidapi.com,GET:Retrieve a specific block,"This endpoint allows you to retrieve a specific email address from your blocks list. Blocks happen when your message was rejected for a reason related to the message, not the recipient address. This can happen when your mail server IP address has been added to a blacklist or b...",Blocks,"[{'参数名': ['email'], '参数类型': ['STRING'], '参数注意事项': ['The email address of the specific block.']}]",[{}]
SendGrid,https://rapidapi.com/sendgrid/api/sendgrid/,rapidprod-sendgrid-v1.p.rapidapi.com,GET:Retrieve all blocks,"This endpoint allows you to retrieve a list of all email addresses that are currently on your blocks list. There are several causes for emails: for example, your mail server IP address is on an ISP blacklist, or blocked by an ISP, or if the receiving server flags the message...",Blocks,[{}],"[{'参数名': ['limit', 'offset', 'start_time', 'end_time'], '参数类型': ['NUMBER', 'NUMBER', 'NUMBER', 'NUMBER'], '参数注意事项': ['Limit the number of results to be displayed per page.', 'The point in the list to begin displaying results.', 'Refers start of the time range in unix timestamp when a blocked email was created (inclusive). Ex/ 1514764800', 'Refers end of the time range in unix timestamp when a blocked email was created (inclusive). Ex/ 1514764800']}]"
SendGrid,https://rapidapi.com/sendgrid/api/sendgrid/,rapidprod-sendgrid-v1.p.rapidapi.com,DELETE:Delete a specific block,"This endpoint allows you to delete a specific email address from your blocks list. Blocks happen when your message was rejected for a reason related to the message, not the recipient address. This can happen when your mail server IP address has been added to a blacklist or blo...",Blocks,[{}],[{}]
SendGrid,https://rapidapi.com/sendgrid/api/sendgrid/,rapidprod-sendgrid-v1.p.rapidapi.com,DELETE:Delete a bounce,This endpoint allows you to remove an email address from your bounce list. A bounced email is when the message is undeliverable and then returned to the server that sent it. This endpoint allows you to delete a single email addresses from your bounce list.,Bounces,"[{'参数名': ['email'], '参数类型': ['STRING'], '参数注意事项': ['The email address you would like to remove from the bounce list. format: email']}]",[{}]
SendGrid,https://rapidapi.com/sendgrid/api/sendgrid/,rapidprod-sendgrid-v1.p.rapidapi.com,GET:Retrieve a bounce,This endpoint allows you to retrieve a specific bounce for a given email address. A bounced email is when the message is undeliverable and then returned to the server that sent it.,Bounces,"[{'参数名': ['email'], '参数类型': ['STRING'], '参数注意事项': ['The email address you would like to remove from the bounce list.']}]",[{}]
SendGrid,https://rapidapi.com/sendgrid/api/sendgrid/,rapidprod-sendgrid-v1.p.rapidapi.com,GET:Retrieve all bounces,This endpoint allows you to retrieve all of your bounces. A bounced email is when the message is undeliverable and then returned to the server that sent it.,Bounces,[{}],"[{'参数名': ['limit', 'offset'], '参数类型': ['NUMBER', 'NUMBER'], '参数注意事项': ['Optional field to limit the number of results returned. If not used, then 500 is the default limit.', 'Optional beginning point in the list to retrieve from.']}]"
SendGrid,https://rapidapi.com/sendgrid/api/sendgrid/,rapidprod-sendgrid-v1.p.rapidapi.com,GET:Retrieve all invalid emails,This endpoint allows you to retrieve a list of all invalid email addresses. An invalid email occurs when you attempt to send email to an address that is formatted in a manner that does not meet internet email format standards or the email does not exist at the recipient’s mai...,Invalid Emails,[{}],"[{'参数名': ['limit', 'offset', 'start_time', 'end_time'], '参数类型': ['NUMBER', 'NUMBER', 'STRING', 'STRING'], '参数注意事项': ['Limit the number of results to be displayed per page. Example: 10', 'Paging offset. The point in the list to begin displaying results. Example: 0', 'Refers start of the time range in unix timestamp when an invalid email was created (inclusive).', 'Refers end of the time range in unix timestamp when an invalid email was created (inclusive).']}]"
SendGrid,https://rapidapi.com/sendgrid/api/sendgrid/,rapidprod-sendgrid-v1.p.rapidapi.com,GET:Retrieve a specific invalid email,This endpoint allows you to retrieve a specific invalid email addresses. An invalid email occurs when you attempt to send email to an address that is formatted in a manner that does not meet internet email format standards or the email does not exist at the recipient’s mail s...,Invalid Emails,"[{'参数名': ['email'], '参数类型': ['STRING'], '参数注意事项': ['The specific email address of the invalid email entry that you want to retrieve.']}]",[{}]
SendGrid,https://rapidapi.com/sendgrid/api/sendgrid/,rapidprod-sendgrid-v1.p.rapidapi.com,DELETE:Delete a specific invalid email,This endpoint allows you to remove a specific email address from the invalid email address list. An invalid email occurs when you attempt to send email to an address that is formatted in a manner that does not meet internet email format standards or the email does not exist a...,Invalid Emails,"[{'参数名': ['email'], '参数类型': ['STRING'], '参数注意事项': ['The invalid email address that you want to remove.']}]",[{}]
