API名称,API链接,API_Host,Endpoint名称,Endpoint描述,Endpoint种类,Endpoint必须参数,Endpoint可选参数
Marktdaten Deutschland,https://rapidapi.com/stromdao-stromdao-default/api/marktdaten-deutschland/,marktdaten-deutschland.p.rapidapi.com,GET:marketdata,Abruf einer regionalen Prognose des Strompreises.,,"[{'参数名': ['zip'], '参数类型': ['STRING'], '参数注意事项': ['Postleitzahl in Deutschland']}]",[{}]
Electricity Carbon Footprint Germany,https://rapidapi.com/stromdao-stromdao-default/api/electricity-carbon-footprint-germany/,electricity-carbon-footprint-germany.p.rapidapi.com,GET:CO2 Emission,The CO2 Emission endpoint will provide carbon emissions in grams per Kilo-Watt-Hour. To latest and historical footprint information for electricity in Germany.,,[{}],"[{'参数名': ['date'], '参数类型': ['STRING'], '参数注意事项': ['Allows retrieving historical values (back to yr 2017) .\nAccepted formats:\nYYYY-MM-DD\nMM/DD/YYYY\nUnix Timestamp (ms)']}]"
Daily Fuel Price India,https://rapidapi.com/tango-api-tango-api-default/api/daily-fuel-price-india1/,daily-fuel-price-india1.p.rapidapi.com,GET:All Indian Cities,Returns list of all Indian cities,,[{}],[{}]
Daily Fuel Price India,https://rapidapi.com/tango-api-tango-api-default/api/daily-fuel-price-india1/,daily-fuel-price-india1.p.rapidapi.com,GET:All Indian States,Returns list of all Indian States,,[{}],[{}]
Daily Fuel Price India,https://rapidapi.com/tango-api-tango-api-default/api/daily-fuel-price-india1/,daily-fuel-price-india1.p.rapidapi.com,GET:All Cities by State,Get list of cities for a state using query parameters.,,"[{'参数名': ['state'], '参数类型': ['STRING'], '参数注意事项': ['State name which you got in city list or state list API']}]",[{}]
Daily Fuel Price India,https://rapidapi.com/tango-api-tango-api-default/api/daily-fuel-price-india1/,daily-fuel-price-india1.p.rapidapi.com,GET:Fuel Price by State,Get current petrol and diesel prices for a state using query parameters.,,"[{'参数名': ['state'], '参数类型': ['STRING'], '参数注意事项': ['State name you got in state list or city list API']}]",[{}]
Daily Fuel Price India,https://rapidapi.com/tango-api-tango-api-default/api/daily-fuel-price-india1/,daily-fuel-price-india1.p.rapidapi.com,GET:Fuel Price by City,Get current petrol and diesel prices for a city using query parameters.,,"[{'参数名': ['state', 'city'], '参数类型': ['STRING', 'STRING'], '参数注意事项': ['State name you got in state list or city list api', 'State name you got in city list api']}]",[{}]
Wärmepumpen Steuerungssignal,https://rapidapi.com/stromdao-stromdao-default/api/warmepumpen-steuerungssignal/,warmepumpen-steuerungssignal.p.rapidapi.com,GET:Steuersignal,Abrufen des Wärmepumpensteuersignals für einen Ort in Deutschland. Das Ergebnis enthält eine Vorhersage für die kommenden 72 Stunden.,,"[{'参数名': ['zip'], '参数类型': ['STRING'], '参数注意事项': ['Postleitzahl eines Ortes in Deutschland']}]",[{}]
CAISO,https://rapidapi.com/buildingviz-buildingviz-default/api/caiso/,caiso.p.rapidapi.com,GET:caiso,Gets standard CAISO data,,[{}],"[{'参数名': ['startdate', 'enddate', 'interval'], '参数类型': ['STRING', 'STRING', 'STRING'], '参数注意事项': ['', '', '']}]"
CAISO,https://rapidapi.com/buildingviz-buildingviz-default/api/caiso/,caiso.p.rapidapi.com,GET:caisoregion,Gets Regional Authorities where node prices are tracked by CAISO,,[{}],[{}]
CAISO,https://rapidapi.com/buildingviz-buildingviz-default/api/caiso/,caiso.p.rapidapi.com,GET:caisoprice,Fetches hourly CAISO price data,,[{}],"[{'参数名': ['format', 'node', 'page', 'date'], '参数类型': ['STRING', 'STRING', 'NUMBER', 'STRING'], '参数注意事项': ['', '', '', '']}]"
CAISO,https://rapidapi.com/buildingviz-buildingviz-default/api/caiso/,caiso.p.rapidapi.com,GET:caisonode,Returns nodes where prices are tracked by CAISO,,[{}],"[{'参数名': ['lat', 'long', 'name', 'radius', 'region', 'state'], '参数类型': ['NUMBER', 'NUMBER', 'STRING', 'NUMBER', 'STRING', 'STRING'], '参数注意事项': ['', '', '', '', '', '']}]"
Europe Fuel Prices,https://rapidapi.com/andero-VDilSNebN/api/europe-fuel-prices/,europe-fuel-prices.p.rapidapi.com,POST:Fuel price difference,Send a single country fuel data to the API and get € & % difference in return,,[{}],[{}]
Europe Fuel Prices,https://rapidapi.com/andero-VDilSNebN/api/europe-fuel-prices/,europe-fuel-prices.p.rapidapi.com,GET:Get specific country,Get fuel prices for a specific country,,"[{'参数名': ['country'], '参数类型': ['STRING'], '参数注意事项': ['']}]",[{}]
Europe Fuel Prices,https://rapidapi.com/andero-VDilSNebN/api/europe-fuel-prices/,europe-fuel-prices.p.rapidapi.com,GET:All Countries,Get all of Europe countries Fuel prices,,[{}],[{}]
Standardlastprofil-Rechner,https://rapidapi.com/stromdao-stromdao-default/api/standardlastprofil-rechner/,standardlastprofil-rechner.p.rapidapi.com,GET:retrieve,Using this API endpoint you can create electrical profiles by scaling the BDEW profiles to your desired annual demand. The electrical profiles are the standard load profiles from BDEW. All profiles have a resolution of 15 minutes. They are based on measurements in the German ...,,[{}],"[{'参数名': ['consumption', 'to'], '参数类型': ['NUMBER', 'NUMBER'], '参数注意事项': ['Yearly consumption in Kilo-Watt-Hours.\nJahresarbeit in Kilo-Watt-Stunden.', 'Unix Timestamp (milliseconds since 1970-01-01) in UTC to end profile with. Defaults to \\""now\\"".']}]"
ecoweather,https://rapidapi.com/stromdao-stromdao-default/api/ecoweather/,ecoweather.p.rapidapi.com,GET:ecoweather,Retrieve historical weather data for a location. Dataset lasts back until year 2016. Results are limited to 366 days (1 year) per request.,,[{}],"[{'参数名': ['to'], '参数类型': ['STRING'], '参数注意事项': ['End date in YYYY-MM-DD format.\nNote: if time period relative to from is more than 366 days it will automatically be replaced with this date.']}]"
