API名称,API链接,API_Host,Endpoint名称,Endpoint描述,Endpoint种类,Endpoint必须参数,Endpoint可选参数
Holidays by API-Ninjas,https://rapidapi.com/apininjas/api/holidays-by-api-ninjas/,holidays-by-api-ninjas.p.rapidapi.com,GET:/v1/holidays,API Ninjas Holidays endpoint,,[{}],"[{'参数名': ['type'], '参数类型': ['STRING'], '参数注意事项': ['Holiday type filter. Possible values are:\npublic_holiday\nobservance\nnational_holiday\nseason\nstate_holiday\noptional_holiday\nclock_change_daylight_saving_time\nlocal_holiday\nunited_nations_observance\nobservance_christian\nbank_holiday\ncommon_local_holiday\nnational_holiday_christian\nchristian\nobservance_hebrew\njewish_holiday\nmuslim\nhindu_holiday\nrestricted_holiday\nofficial_holiday\nnational_holiday_orthodox\nlocal_observance\n-']}]"
Working days,https://rapidapi.com/joursouvres-api/api/working-days/,working-days.p.rapidapi.com,GET:/1.3/analyse,"Analyse a period (you provide a start_date and an end_date over a given calendar, we respond with the period analysis)",1.3,[{}],"[{'参数名': ['end_time', 'start_time', 'profile_id', 'configuration'], '参数类型': ['STRING', 'STRING', 'STRING', 'STRING'], '参数注意事项': [""The end date's time (24 hours format, like 09:00 or 15:00, but not 3pm).If omitted, default value is 23:59."", ""The start date's time (24 hours format, like 09:00 or 15:00, but not 3pm).If omitted, default value is 00:00"", '', 'The name or code of the preestablished configuration to use, typically, a regional calendar. See available countries & configurations']}]"
Working days,https://rapidapi.com/joursouvres-api/api/working-days/,working-days.p.rapidapi.com,GET:/1.3/add_working_days,Add (or remove) any number of working days to a date.,1.3,[{}],"[{'参数名': ['include_start', 'configuration', 'profile_id'], '参数类型': ['BOOLEAN', 'STRING', 'STRING'], '参数注意事项': ['Should the count include the start_date? Default value is true. If you set include_start to false (\\\\""false\\\\"" or \\\\""0\\\\""), the count will start at the next working day (or previous working day, if increment is negative)', 'The name or code of the preestablished configuration to use, typically, a regional calendar.\nSee available countries & configurations', '']}]"
Working days,https://rapidapi.com/joursouvres-api/api/working-days/,working-days.p.rapidapi.com,GET:/1.3/list_non_working_days,"List the non working days (weekend days, public holidays and custom dates) between two dates in chronlogical order.",1.3,[{}],"[{'参数名': ['configuration', 'profile_id'], '参数类型': ['STRING', 'STRING'], '参数注意事项': ['The name or code of the preestablished configuration to use, typically, a regional calendar.\nSee available countries & configurations', '']}]"
Working days,https://rapidapi.com/joursouvres-api/api/working-days/,working-days.p.rapidapi.com,GET:/1.3/add_working_hours,Add an amount of working time to a given start date/time,1.3,[{}],"[{'参数名': ['increment_time', 'configuration', 'profile_id'], '参数类型': ['STRING', 'STRING', 'STRING'], '参数注意事项': ['The amount of working time to be added (or removed) to the start date time. Format H:i. This amount cannot exceed 5000 hours. For example, to add one hour: 1:00. To add 30 hours and 15 minutes: 30:15. To remove 45 minutes: -0:45', 'The name or code of the preestablished configuration to use, typically, a regional calendar.\nSee available countries & configurations', '']}]"
Working days,https://rapidapi.com/joursouvres-api/api/working-days/,working-days.p.rapidapi.com,GET:/1.3/define_custom_period,Defining a custom period (typically days of vacations of an employee or days of annual closure of a company) can be done from the working days websites user interface but can also be done programmatically from the API. A typical use case would be to retrieve the vacations of t...,1.3,[{}],"[{'参数名': ['color', 'start_morning', 'end_afternoon', 'end_date'], '参数类型': ['STRING', 'BOOLEAN', 'BOOLEAN', 'STRING'], '参数注意事项': ['The color of custom period when displayed on the calendar. Colors can be useful in order to classify custom periods. Default value is orange.', 'Does the custom period starts in the morning of the start_date? Default value is true. (This parameter can be used if you want to create half day custom periods.)', 'Does the custom period ends in the afternoon of the end_date? Default value is true. (This parameter can be used if you want to create half day custom periods.)', 'The end date of the custom period (YYYY-MM-DD) If omitted, end date will be equal to start date (one day custom period)']}]"
Working days,https://rapidapi.com/joursouvres-api/api/working-days/,working-days.p.rapidapi.com,GET:/1.3/delete_custom_period,Removing a previously defined custom period,1.3,[{}],"[{'参数名': ['end_date'], '参数类型': ['STRING'], '参数注意事项': ['The end date of the custom period (YYYY-MM-DD) If omitted, end date will be equal to start date (one day custom period)']}]"
Working days,https://rapidapi.com/joursouvres-api/api/working-days/,working-days.p.rapidapi.com,GET:/1.3/get_info_day,Get detailed information about a specific day.,1.3,[{}],"[{'参数名': ['configuration', 'profile_id'], '参数类型': ['STRING', 'STRING'], '参数注意事项': ['The name of the preset configuration to be used. See available countries & configurations', '']}]"
Historical Events by API-Ninjas,https://rapidapi.com/apininjas/api/historical-events-by-api-ninjas/,historical-events-by-api-ninjas.p.rapidapi.com,GET:/v1/historicalevents,"API Ninjas Historical Events API endpoint. Returns a list of up to 10 events that match the search parameters. At least one of the following parameters is required: text, year, month, day.",,[{}],"[{'参数名': ['text', 'year', 'month', 'day', 'offset'], '参数类型': ['STRING', 'NUMBER', 'NUMBER', 'NUMBER', 'NUMBER'], '参数注意事项': ['query text to search events by. Use keywords or short phrases for best match results.', '4-digit year (e.g. 1776). For BC/BCE years, use a negative integer (e.g. -351 for 351 BC).', 'integer month (e.g. 3 for March).', 'calendar day of the month.', 'number of results to offset (for pagination).']}]"
Public Holiday,https://rapidapi.com/theapiguy/api/public-holiday/,public-holiday.p.rapidapi.com,GET:Public Holidays,Returns the public holidays from a given year and country.,,"[{'参数名': ['CountryCode', 'Year'], '参数类型': ['STRING', 'STRING'], '参数注意事项': ['CountryCode', 'Year']}]",[{}]
👋 Demo Project,https://rapidapi.com/jamesfidler22/api/demo-project29842/,demo-project29842.p.rapidapi.com,DELETE:Delete Product,,Catalog,"[{'参数名': ['id'], '参数类型': ['NUMBER'], '参数注意事项': ['']}]",[{}]
👋 Demo Project,https://rapidapi.com/jamesfidler22/api/demo-project29842/,demo-project29842.p.rapidapi.com,GET:Get Categories,,Catalog,[{}],[{}]
