API名称,API链接,API_Host,Endpoint名称,Endpoint描述,Endpoint种类,Endpoint必须参数,Endpoint可选参数
Remote Jobs API,https://rapidapi.com/kazamos/api/remote-jobs-api/,remote-jobs-api.p.rapidapi.com,GET:Get the latest remote jobs,Get a list of the latest 20 remote jobs,,[{}],"[{'参数名': ['category', 'company'], '参数类型': ['ENUM', 'STRING'], '参数注意事项': ['', '']}]"
Remote Jobs API,https://rapidapi.com/kazamos/api/remote-jobs-api/,remote-jobs-api.p.rapidapi.com,GET:Pagination for remote jobs,Paginate over the remote jobs by using the pageId parameter,,"[{'参数名': ['pageId'], '参数类型': ['NUMBER'], '参数注意事项': ['']}]",[{}]
Remote Jobs API,https://rapidapi.com/kazamos/api/remote-jobs-api/,remote-jobs-api.p.rapidapi.com,GET:Get a specific remote job by id,"Using the id of the job returned from /jobs route, get more details about a specific job",,"[{'参数名': ['id'], '参数类型': ['STRING'], '参数注意事项': ['']}]",[{}]
Linkedin jobs scraper API,https://rapidapi.com/bebity-bebity-default/api/linkedin-jobs-scraper-api/,linkedin-jobs-scraper-api.p.rapidapi.com,POST:Get jobs (JSON),Get LinkedIn jobs in json,jobs,[{}],[{}]
Linkedin jobs scraper API,https://rapidapi.com/bebity-bebity-default/api/linkedin-jobs-scraper-api/,linkedin-jobs-scraper-api.p.rapidapi.com,POST:Get jobs trial (JSON),"Same as get jobs JSON, but limited to 25 jobs max",jobs,[{}],[{}]
Linkedin jobs scraper API,https://rapidapi.com/bebity-bebity-default/api/linkedin-jobs-scraper-api/,linkedin-jobs-scraper-api.p.rapidapi.com,POST:Get jobs (CSV),Get LinkedIn jobs in CSV format,jobs,[{}],[{}]
Linkedin jobs scraper API,https://rapidapi.com/bebity-bebity-default/api/linkedin-jobs-scraper-api/,linkedin-jobs-scraper-api.p.rapidapi.com,POST:Get jobs (CSV File),Get LinkedIn jobs directly in CSv file,jobs,[{}],[{}]
Upwork API,https://rapidapi.com/it-engineering-solutions-it-engineering-solutions-default/api/upwork-api2/,upwork-api2.p.rapidapi.com,GET:Search jobs,This request searching Upwork jobs by given keyword. Response value will be paginated and if you need to get next page data set the 'offset' and 'count' query parameters. By default value of 'offset' is '0' and 'count' is 50.,,[{}],"[{'参数名': ['offset', 'count'], '参数类型': ['NUMBER', 'NUMBER'], '参数注意事项': ['', '']}]"
Upwork API,https://rapidapi.com/it-engineering-solutions-it-engineering-solutions-default/api/upwork-api2/,upwork-api2.p.rapidapi.com,GET:Search freelancers,"Returns the list of the objects with information about each freelancer who matches the requested query and parameters.
At least one of the q, title, skill parameters should be specified. Use 'offset' and 'count' parameters for pagi...",,[{}],"[{'参数名': ['q', 'title', 'skills', 'rate', 'offset', 'count'], '参数类型': ['STRING', 'STRING', 'STRING', 'STRING', 'NUMBER', 'NUMBER'], '参数注意事项': ['', '', '', '', '', '']}]"
Upwork API,https://rapidapi.com/it-engineering-solutions-it-engineering-solutions-default/api/upwork-api2/,upwork-api2.p.rapidapi.com,GET:Get tests,Returns a list of available tests at Upwork.,,[{}],[{}]
Upwork API,https://rapidapi.com/it-engineering-solutions-it-engineering-solutions-default/api/upwork-api2/,upwork-api2.p.rapidapi.com,GET:Get regions,Returns a list of county regions.,,[{}],[{}]
Upwork API,https://rapidapi.com/it-engineering-solutions-it-engineering-solutions-default/api/upwork-api2/,upwork-api2.p.rapidapi.com,GET:Get skills,Returns a list of skills available in a freelancer's profile.,,[{}],[{}]
Upwork API,https://rapidapi.com/it-engineering-solutions-it-engineering-solutions-default/api/upwork-api2/,upwork-api2.p.rapidapi.com,GET:Get categories,Returns a list of categories for a job/freelancer profile.,,[{}],[{}]
Upwork API,https://rapidapi.com/it-engineering-solutions-it-engineering-solutions-default/api/upwork-api2/,upwork-api2.p.rapidapi.com,GET:Get freelancer profile information,This call returns an exhaustive list of attributes associated with the freelancer.,,"[{'参数名': ['id'], '参数类型': ['STRING'], '参数注意事项': ['']}]",[{}]
Upwork API,https://rapidapi.com/it-engineering-solutions-it-engineering-solutions-default/api/upwork-api2/,upwork-api2.p.rapidapi.com,GET:Get specific job,This call returns the complete job object by job id.,,"[{'参数名': ['id'], '参数类型': ['STRING'], '参数注意事项': ['']}]",[{}]
Job Search API,https://rapidapi.com/jobwiz-jobwiz-default/api/job-search-api1/,job-search-api1.p.rapidapi.com,GET:searchJob,"Searches job with a search query.
The search query is mandatory.
When there are no results, a 200 status code with an empty jobs array will be returned.
The salary range is provided when it's available.
The salary_type has 5 possible values: ""yearly"", ""...",,[{}],"[{'参数名': ['page', 'country', 'city'], '参数类型': ['NUMBER', 'STRING', 'STRING'], '参数注意事项': ['First page index is 1', 'ISO 3166-1 alpha-2 country code', '']}]"
JobSearch,https://rapidapi.com/avaneesab5/api/jobsearch4/,jobsearch4.p.rapidapi.com,GET:api/v2/Jobs/Latest,"Returns the latest job listing, with or without pagination.",api-v2,[{}],"[{'参数名': ['PageNumber', 'PageSize'], '参数类型': ['NUMBER', 'NUMBER'], '参数注意事项': ['', '']}]"
JobSearch,https://rapidapi.com/avaneesab5/api/jobsearch4/,jobsearch4.p.rapidapi.com,GET:/api/v2/Jobs/{slug},Get details of a job by slug,api-v2,"[{'参数名': ['slug'], '参数类型': ['STRING'], '参数注意事项': ['']}]",[{}]
JobSearch,https://rapidapi.com/avaneesab5/api/jobsearch4/,jobsearch4.p.rapidapi.com,GET:/api/v2/Jobs/Search,Search for your dream job,api-v2,[{}],"[{'参数名': ['SearchQuery', 'PageSize', 'PageNumber'], '参数类型': ['STRING', 'NUMBER', 'NUMBER'], '参数注意事项': ['', '', '']}]"
Indeed Jobs API - Sweden,https://rapidapi.com/vuesdata/api/indeed-jobs-api-sweden/,indeed-jobs-api-sweden.p.rapidapi.com,GET:SearchJobs,"offset = 0 (starting of the page, it must be increased by 10 to achieve pagination)
keyword = python (it can be any search keyword for ex: job title or skill title)
location = Stockholm (For now this API gets data for Sweden Indeed. You can enter a specific city or...",,"[{'参数名': ['offset', 'keyword', 'location'], '参数类型': ['NUMBER', 'STRING', 'STRING'], '参数注意事项': ['', '', '']}]",[{}]
Remoote Job Search,https://rapidapi.com/qurazor1/api/remoote-job-search1/,remoote-job-search1.p.rapidapi.com,GET:list_skills_skills_get,,Jobs,[{}],[{}]
Remoote Job Search,https://rapidapi.com/qurazor1/api/remoote-job-search1/,remoote-job-search1.p.rapidapi.com,GET:list_countries_countries_get,,Jobs,[{}],[{}]
Remoote Job Search,https://rapidapi.com/qurazor1/api/remoote-job-search1/,remoote-job-search1.p.rapidapi.com,GET:list_jobs_jobs_get,,Jobs,[{}],"[{'参数名': ['before_id', 'limit', 'country_id', 'titles', 'skill_ids'], '参数类型': ['NUMBER', 'NUMBER', 'NUMBER', 'ARRAY', 'ARRAY'], '参数注意事项': ['', '', '', '', '']}]"
Indeed Jobs API - Finland,https://rapidapi.com/vuesdata/api/indeed-jobs-api-finland/,indeed-jobs-api-finland.p.rapidapi.com,GET:SearchJobs,"offset = 0 (starting of the page, it must be increased by 10 to achieve pagination)
keyword = python (it can be any search keyword for ex: job title or skill title)
location = Helsinki (For now this API gets data for Finland Indeed. You can enter a specific city or...",,"[{'参数名': ['offset', 'keyword', 'location'], '参数类型': ['NUMBER', 'STRING', 'STRING'], '参数注意事项': ['', '', '']}]",[{}]
Open To Work Remote API,https://rapidapi.com/maurobonfietti/api/open-to-work-remote-api/,open-to-work-remote-api.p.rapidapi.com,GET:Search Jobs,This endpoint allows you to search for jobs.,,[{}],"[{'参数名': ['page', 'perPage', 'title', 'location', 'company', 'salaryMin'], '参数类型': ['STRING', 'STRING', 'STRING', 'STRING', 'STRING', 'STRING'], '参数注意事项': ['', '', '', '', '', '']}]"
Open To Work Remote API,https://rapidapi.com/maurobonfietti/api/open-to-work-remote-api/,open-to-work-remote-api.p.rapidapi.com,GET:Get One Job,This endpoint allows you to get all the info about a job using the job id.,,"[{'参数名': ['id'], '参数类型': ['NUMBER'], '参数注意事项': ['']}]",[{}]
Job Descriptions API,https://rapidapi.com/jobwiz-jobwiz-default/api/job-descriptions-api/,job-descriptions-api.p.rapidapi.com,GET:estimateSalaryRange,"Estimates a salary range.
It returns a 404 if it cannot estimate the salary range.
The salary_type value can be ""yearly"", ""monthly"", ""weekly"", ""daily"" or ""hourly"".",Salary,"[{'参数名': ['company', 'title', 'city', 'country'], '参数类型': ['STRING', 'STRING', 'STRING', 'STRING'], '参数注意事项': ['', '', '', '']}]",[{}]
Job Descriptions API,https://rapidapi.com/jobwiz-jobwiz-default/api/job-descriptions-api/,job-descriptions-api.p.rapidapi.com,POST:classifyJD,"Classifies the job function and seniority of a job description.
The job function uses the 1016 occupations from the 2019 version of O*NET SOC codes: https://www.onetcenter.org/taxonomy/2019/list...",JD classification,[{}],[{}]
Job Descriptions API,https://rapidapi.com/jobwiz-jobwiz-default/api/job-descriptions-api/,job-descriptions-api.p.rapidapi.com,POST:extractYearsExperience,"Extract the numbers of years of experience.
The job description can be in HTML or in plain text.
It returns -1 for both the minimum and maximum if there are no required numbers of years of experience.
It returns -1 for both the maximum if there is only a mini...",JD info extraction,[{}],[{}]
Job Descriptions API,https://rapidapi.com/jobwiz-jobwiz-default/api/job-descriptions-api/,job-descriptions-api.p.rapidapi.com,POST:extractSalaryRange,"Extracts a salary range from a job description.
The job description can be in HTML or plain text.",JD info extraction,[{}],[{}]
Job Descriptions API,https://rapidapi.com/jobwiz-jobwiz-default/api/job-descriptions-api/,job-descriptions-api.p.rapidapi.com,PUT:setWebhookUrl,Set a webhook URL.,Webhook,[{}],[{}]
Job Descriptions API,https://rapidapi.com/jobwiz-jobwiz-default/api/job-descriptions-api/,job-descriptions-api.p.rapidapi.com,GET:retrieveWebhookUrl,Retrieves the webhook URL,Webhook,[{}],[{}]
Job Descriptions API,https://rapidapi.com/jobwiz-jobwiz-default/api/job-descriptions-api/,job-descriptions-api.p.rapidapi.com,POST:createJobDescription,Creates a job description,Job Description,[{}],[{}]
Job Descriptions API,https://rapidapi.com/jobwiz-jobwiz-default/api/job-descriptions-api/,job-descriptions-api.p.rapidapi.com,GET:retrieveJobDescription,Retrieves a job description,Job Description,"[{'参数名': ['id'], '参数类型': ['STRING'], '参数注意事项': ['']}]",[{}]
Job Descriptions API,https://rapidapi.com/jobwiz-jobwiz-default/api/job-descriptions-api/,job-descriptions-api.p.rapidapi.com,GET:retrieveRecentJobDescriptions,"Retrieves up to 100 recent job descriptions, ordered by creation time",Job Description,[{}],[{}]
Job Descriptions API,https://rapidapi.com/jobwiz-jobwiz-default/api/job-descriptions-api/,job-descriptions-api.p.rapidapi.com,DELETE:deleteJobDescription,Deletes a job description,Job Description,[{}],[{}]
Job Descriptions API,https://rapidapi.com/jobwiz-jobwiz-default/api/job-descriptions-api/,job-descriptions-api.p.rapidapi.com,PUT:updateJobDescription,Updates a job description,Job Description,[{}],[{}]
Job Descriptions API,https://rapidapi.com/jobwiz-jobwiz-default/api/job-descriptions-api/,job-descriptions-api.p.rapidapi.com,POST:checkJobDescriptionFormat,"Checks whether an HTML job description is correctly formatted.
If the job description has lost its bullet points and line breaks, this API endpoint will return false.
If it returns false, you can use the reformat API endpoint to reformat the HTML job description.",JD reformatting,[{}],[{}]
Job Descriptions API,https://rapidapi.com/jobwiz-jobwiz-default/api/job-descriptions-api/,job-descriptions-api.p.rapidapi.com,POST:startAsyncJobDescriptionReformatting,"Requests the asynchronous job description reformatting.
This API endpoint accepts a job description ID, which is returned by the POST /v1/job-description API endpoint
The response will be sent to your webhook URL.
The response can also be retrieved after 5 to...",JD reformatting,[{}],[{}]
Job Descriptions API,https://rapidapi.com/jobwiz-jobwiz-default/api/job-descriptions-api/,job-descriptions-api.p.rapidapi.com,GET:retrieveJobDescriptionReformat,"Retrieves the reformatted version of the job description.
It returns a ""successful"" or ""failed"" status if the request has been completed.
It returns a ""pending"" status if the request is still pending.
It returns 404 if there is no request to reformat the job ...",JD reformatting,"[{'参数名': ['jobDescriptionId'], '参数类型': ['STRING'], '参数注意事项': ['']}]",[{}]
Job Descriptions API,https://rapidapi.com/jobwiz-jobwiz-default/api/job-descriptions-api/,job-descriptions-api.p.rapidapi.com,GET:retrieveJobDescriptionModeration,"Retrieves the result of the job description moderation.
It returns a 404 if the job description moderation is not ready. The moderation takes around 10 seconds to be generated.",JD moderation,"[{'参数名': ['jobDescriptionId'], '参数类型': ['STRING'], '参数注意事项': ['']}]",[{}]
Job Descriptions API,https://rapidapi.com/jobwiz-jobwiz-default/api/job-descriptions-api/,job-descriptions-api.p.rapidapi.com,POST:startAsyncJobDescriptionModeration,"Requests an asynchronous job description moderation.
You first need to use the POST /v1/job-description API endpoint to create the job description.",JD moderation,[{}],[{}]
Job Descriptions API,https://rapidapi.com/jobwiz-jobwiz-default/api/job-descriptions-api/,job-descriptions-api.p.rapidapi.com,GET:retrieveJobDescriptionReview,"Retrieves the results of a job description review.
Returns 404 if the job description review is not ready. Generating the review can take up to 30 seconds.
The suggestion types are ""Spelling"", ""Grammar"", ""Non-discriminatory"", ""Gender Bias"" and ""DEI Statement"".",JD review,"[{'参数名': ['jobDescriptionId'], '参数类型': ['STRING'], '参数注意事项': ['']}]",[{}]
Job Descriptions API,https://rapidapi.com/jobwiz-jobwiz-default/api/job-descriptions-api/,job-descriptions-api.p.rapidapi.com,POST:startAsyncJobDescriptionReview,"Requests the asynchronous review of a job description.
You first need to create a job description with the POST /v1/job-description API endpoint.",JD review,[{}],[{}]
AI Resume Generator,https://rapidapi.com/imploms/api/ai-resume-generator/,ai-resume-generator.p.rapidapi.com,GET:Generate Document: Cover Letter,Endpoint that will generate a large text response containing a Cover Letter document using the provided information,,[{}],"[{'参数名': ['jobTitle', 'jobDescription', 'university', 'degree', 'skills'], '参数类型': ['STRING', 'STRING', 'STRING', 'STRING', 'STRING'], '参数注意事项': ['', '', '', '', '']}]"
