API名称,API链接,API_Host,Endpoint名称,Endpoint描述,Endpoint种类,Endpoint必须参数,Endpoint可选参数
Pracels-Tracker,https://rapidapi.com/AndreiDrang/api/pracels-tracker/,pracels-tracker.p.rapidapi.com,POST:The process of verifying parcel data begins with the method.,"After calling this method, kindly wait for approximately 20-30 seconds before calling another method.
This subsequent method is responsible for providing information regarding the tracked parcel and is located at - /parcel/status.",,[{}],[{}]
Pracels-Tracker,https://rapidapi.com/AndreiDrang/api/pracels-tracker/,pracels-tracker.p.rapidapi.com,GET:The method provides details regarding an already processed package.,Run this method after /parcel/tracking and after waiting for 20-30 seconds.,,"[{'参数名': ['parcel_code'], '参数类型': ['STRING'], '参数注意事项': ['']}]",[{}]
Pracels-Tracker,https://rapidapi.com/AndreiDrang/api/pracels-tracker/,pracels-tracker.p.rapidapi.com,GET:Method get all available services/shippers,Method get all available services/shippers,,[{}],[{}]
Pracels-Tracker,https://rapidapi.com/AndreiDrang/api/pracels-tracker/,pracels-tracker.p.rapidapi.com,GET:Method ping server,Method ping server which can help u to check API status,,[{}],[{}]
Pracels-Tracker,https://rapidapi.com/AndreiDrang/api/pracels-tracker/,pracels-tracker.p.rapidapi.com,GET:Method get current UTC time,Method get current UTC time,,[{}],[{}]
Pracels-Tracker,https://rapidapi.com/AndreiDrang/api/pracels-tracker/,pracels-tracker.p.rapidapi.com,POST:TEST. The process of verifying parcel data begins with the method.,"After calling this method, kindly wait for approximately 20-30 seconds before calling another method.
This subsequent method is responsible for providing information regarding the tracked parcel and is located at - /parcel/status.",Test,[{}],[{}]
Pracels-Tracker,https://rapidapi.com/AndreiDrang/api/pracels-tracker/,pracels-tracker.p.rapidapi.com,GET:TEST. The method provides details regarding an already processed package.,Run this method after /parcel/tracking and after waiting for 20-30 seconds.,Test,"[{'参数名': ['parcel_code'], '参数类型': ['STRING'], '参数注意事项': ['']}]",[{}]
Air Cargo CO2 Track And Trace,https://rapidapi.com/cargoai-cargoai-default/api/air-cargo-co2-track-and-trace/,air-cargo-co2-track-and-trace.p.rapidapi.com,GET:PULL (track),"By providing a valid AWB, you can get tracking information for the shipment.",,"[{'参数名': ['awb'], '参数类型': ['STRING'], '参数注意事项': ['provide valid AWB number']}]",[{}]
Air Cargo CO2 Track And Trace,https://rapidapi.com/cargoai-cargoai-default/api/air-cargo-co2-track-and-trace/,air-cargo-co2-track-and-trace.p.rapidapi.com,POST:PUSH (subscribe),"Provided valid callback URL, AWB and/or email(s), you can receive tracking event updates automatically when they're available.",,[{}],[{}]
Air Cargo CO2 Track And Trace,https://rapidapi.com/cargoai-cargoai-default/api/air-cargo-co2-track-and-trace/,air-cargo-co2-track-and-trace.p.rapidapi.com,POST:PUSH (unsubscribe),Provided valid callback URL and AWB to unsubscribe from receiving tracking updates.,,[{}],[{}]
Postal Ninja,https://rapidapi.com/PostalNinja/api/postal-ninja/,postal-ninja.p.rapidapi.com,POST:createTrack,Returns ID of newly created package (status=CREATED) or stored ID if this tracking number already exists (status=FOUND).,v1,[{}],[{}]
Postal Ninja,https://rapidapi.com/PostalNinja/api/postal-ninja/,postal-ninja.p.rapidapi.com,GET:listCarriers,Returns list of all supported carriers.,v1,"[{'参数名': ['lang'], '参数类型': ['STRING'], '参数注意事项': ['Language code']}]",[{}]
