API名称,API链接,API_Host,Endpoint名称,Endpoint描述,Endpoint种类,Endpoint必须参数,Endpoint可选参数
Medical Articles Live,https://rapidapi.com/ayronadas/api/medical-articles-live/,medical-articles-live.p.rapidapi.com,GET:Get Journals By Specific Disease,This endpoint retrieves journals on PubMed by specific diseases.,,"[{'参数名': ['journalId'], '参数类型': ['STRING'], '参数注意事项': ['']}]",[{}]
Medical Articles Live,https://rapidapi.com/ayronadas/api/medical-articles-live/,medical-articles-live.p.rapidapi.com,GET:Get All Medical Journals,"This endpoint will return back all the latest articles on PubMed about the following diseases: HIV, allergies, asthma, depression, pneumonia, psoriasis, suicide, hypertension, hidradenitis, rheumatoid arthritis, migraine, diabetes, pregnancy, breast cancer, stroke, pancreatit...",,[{}],[{}]
EndlessMedicalAPI,https://rapidapi.com/lukaszkiljanek/api/endlessmedicalapi1/,endlessmedicalapi1.p.rapidapi.com,POST:UpdateFeature,Updates value of a Feature,,"[{'参数名': ['name', 'value', 'SessionID'], '参数类型': ['STRING', 'STRING', 'STRING'], '参数注意事项': ['name of a Feature', 'value of a Feature', '']}]",[{}]
EndlessMedicalAPI,https://rapidapi.com/lukaszkiljanek/api/endlessmedicalapi1/,endlessmedicalapi1.p.rapidapi.com,GET:InitSession,Initializes API Session,,[{}],[{}]
EndlessMedicalAPI,https://rapidapi.com/lukaszkiljanek/api/endlessmedicalapi1/,endlessmedicalapi1.p.rapidapi.com,GET:GetFeatures,GetFeatures,,[{}],[{}]
EndlessMedicalAPI,https://rapidapi.com/lukaszkiljanek/api/endlessmedicalapi1/,endlessmedicalapi1.p.rapidapi.com,POST:AcceptTermsOfUse,You need to accept Terms of Use to use our API,,"[{'参数名': ['SessionID', 'passphrase'], '参数类型': ['STRING', 'STRING'], '参数注意事项': ['', '']}]",[{}]
EndlessMedicalAPI,https://rapidapi.com/lukaszkiljanek/api/endlessmedicalapi1/,endlessmedicalapi1.p.rapidapi.com,POST:DeleteFeature,Deletes a Feature,,"[{'参数名': ['name', 'SessionID'], '参数类型': ['STRING', 'STRING'], '参数注意事项': ['name of a Feature', '']}]",[{}]
EndlessMedicalAPI,https://rapidapi.com/lukaszkiljanek/api/endlessmedicalapi1/,endlessmedicalapi1.p.rapidapi.com,GET:Analyze,Analyzes provided data set,,"[{'参数名': ['SessionID'], '参数类型': ['STRING'], '参数注意事项': ['']}]",[{}]
EndlessMedicalAPI,https://rapidapi.com/lukaszkiljanek/api/endlessmedicalapi1/,endlessmedicalapi1.p.rapidapi.com,GET:GetOutcomes,GetOutcomes,,[{}],[{}]
Drug Info and Price History,https://rapidapi.com/rnelsomain/api/drug-info-and-price-history/,drug-info-and-price-history.p.rapidapi.com,GET:Drug Info,Returns information about the given drug,,"[{'参数名': ['drug'], '参数类型': ['STRING'], '参数注意事项': ['']}]",[{}]
Drug Info and Price History,https://rapidapi.com/rnelsomain/api/drug-info-and-price-history/,drug-info-and-price-history.p.rapidapi.com,GET:genericname,"Given a brand name, returns a generic name",,[{}],"[{'参数名': ['drug'], '参数类型': ['STRING'], '参数注意事项': ['']}]"
Drug Info and Price History,https://rapidapi.com/rnelsomain/api/drug-info-and-price-history/,drug-info-and-price-history.p.rapidapi.com,GET:Price History,Returns an array of price histories when given a valid drug ID.,,[{}],[{}]
Malnutrition,https://rapidapi.com/emmanuelchevallier/api/malnutrition/,emmanuelchevallier-malnutrition-v1.p.rapidapi.com,GET:Malnutrition,Malnutrition score and anthropometric indicators,,[{}],"[{'参数名': ['dateofmeasure'], '参数类型': ['STRING'], '参数注意事项': ['Mesure date as YYYY-MM-DD']}]"
