API名称,API链接,API_Host,Endpoint名称,Endpoint描述,Endpoint种类,Endpoint必须参数,Endpoint可选参数
Concerts - Artists Events Tracker,https://rapidapi.com/s.mahmoud97/api/concerts-artists-events-tracker/,concerts-artists-events-tracker.p.rapidapi.com,GET:Past events of a venue/concert,Access past events by name of venue/concert and time period.,,[{}],"[{'参数名': ['page'], '参数类型': ['NUMBER'], '参数注意事项': ['']}]"
Concerts - Artists Events Tracker,https://rapidapi.com/s.mahmoud97/api/concerts-artists-events-tracker/,concerts-artists-events-tracker.p.rapidapi.com,GET:Events by location,Access upcoming events by a location name and time period.,,[{}],"[{'参数名': ['page'], '参数类型': ['NUMBER'], '参数注意事项': ['']}]"
Concerts - Artists Events Tracker,https://rapidapi.com/s.mahmoud97/api/concerts-artists-events-tracker/,concerts-artists-events-tracker.p.rapidapi.com,GET:Past events of artist,Access past events and concerts by artist name and period,,[{}],"[{'参数名': ['page'], '参数类型': ['NUMBER'], '参数注意事项': ['']}]"
Concerts - Artists Events Tracker,https://rapidapi.com/s.mahmoud97/api/concerts-artists-events-tracker/,concerts-artists-events-tracker.p.rapidapi.com,GET:Upcoming events by venue/concert name,Access upcoming event by the name of the venue/concert,,[{}],"[{'参数名': ['page'], '参数类型': ['NUMBER'], '参数注意事项': ['']}]"
Concerts - Artists Events Tracker,https://rapidapi.com/s.mahmoud97/api/concerts-artists-events-tracker/,concerts-artists-events-tracker.p.rapidapi.com,GET:Upcoming events of artist,Search through upcoming events of artists by their name.,,[{}],"[{'参数名': ['page'], '参数类型': ['NUMBER'], '参数注意事项': ['']}]"
Youtube Music API (Detailed),https://rapidapi.com/cavsn/api/youtube-music-api-detailed/,youtube-music-api-detailed.p.rapidapi.com,GET:Get Watch Playlist,Get a watch list of tracks. This watch playlist appears when you press play on a track in YouTube Music.,,"[{'参数名': ['video_id'], '参数类型': ['STRING'], '参数注意事项': ['']}]",[{}]
Youtube Music API (Detailed),https://rapidapi.com/cavsn/api/youtube-music-api-detailed/,youtube-music-api-detailed.p.rapidapi.com,GET:Search,Search YouTube music Returns results within the provided category.,Popular,[{}],"[{'参数名': ['limit'], '参数类型': ['NUMBER'], '参数注意事项': ['']}]"
Youtube Music API (Detailed),https://rapidapi.com/cavsn/api/youtube-music-api-detailed/,youtube-music-api-detailed.p.rapidapi.com,GET:Mood Categories,Returns mood categories.,Popular,"[{'参数名': ['lang'], '参数类型': ['STRING'], '参数注意事项': ['']}]",[{}]
Youtube Music API (Detailed),https://rapidapi.com/cavsn/api/youtube-music-api-detailed/,youtube-music-api-detailed.p.rapidapi.com,GET:Trends,"Get latest charts data from YouTube Music: Top songs, top videos, top artists and top trending videos. Global charts have no Trending section, US charts have an extra Genres section with some Genre charts.",Popular,"[{'参数名': ['country'], '参数类型': ['STRING'], '参数注意事项': ['ISO 3166-1 Alpha-2 country code. Default: ZZ = Global\nhttps://www.iban.com/country-codes']}]",[{}]
Latest Spotify Downloader,https://rapidapi.com/rapidspotify-rapidspotify-default/api/latest-spotify-downloader/,latest-spotify-downloader.p.rapidapi.com,GET:Fetch Track Details,Download a track mp3 file returned by the download endpoint,,"[{'参数名': ['track_id'], '参数类型': ['STRING'], '参数注意事项': ['']}]",[{}]
Latest Spotify Downloader,https://rapidapi.com/rapidspotify-rapidspotify-default/api/latest-spotify-downloader/,latest-spotify-downloader.p.rapidapi.com,GET:Download Track,Download a track by passing the details from the fetch track API,,"[{'参数名': ['track_id', 'track_name'], '参数类型': ['STRING', 'STRING'], '参数注意事项': ['', '']}]",[{}]
Shazam api,https://rapidapi.com/shahzodomonboyev0/api/shazam-api9/,shazam-api9.p.rapidapi.com,GET:related,Finds similar music,,"[{'参数名': ['related', 'limit', 'index'], '参数类型': ['STRING', 'STRING', 'STRING'], '参数注意事项': ['Track id', '', '']}]",[{}]
Shazam api,https://rapidapi.com/shahzodomonboyev0/api/shazam-api9/,shazam-api9.p.rapidapi.com,GET:song,Song name,,"[{'参数名': ['song', 'limit', 'index'], '参数类型': ['STRING', 'STRING', 'STRING'], '参数注意事项': ['', '', '']}]",[{}]
Shazam api,https://rapidapi.com/shahzodomonboyev0/api/shazam-api9/,shazam-api9.p.rapidapi.com,GET:artist,Artist name,,"[{'参数名': ['artist', 'limit', 'index'], '参数类型': ['STRING', 'STRING', 'STRING'], '参数注意事项': ['', '', '']}]",[{}]
Shazam api,https://rapidapi.com/shahzodomonboyev0/api/shazam-api9/,shazam-api9.p.rapidapi.com,GET:url,Music or mp4 link,,"[{'参数名': ['url'], '参数类型': ['STRING'], '参数注意事项': ['']}]",[{}]
Shazam api,https://rapidapi.com/shahzodomonboyev0/api/shazam-api9/,shazam-api9.p.rapidapi.com,GET:top_city,Enter country and city,top,"[{'参数名': ['top', 'country', 'limit', 'index', 'city'], '参数类型': ['STRING', 'STRING', 'STRING', 'STRING', 'STRING'], '参数注意事项': ['', '', '', '', '']}]",[{}]
