API名称,API链接,API_Host,Endpoint名称,Endpoint描述,Endpoint种类,Endpoint必须参数,Endpoint可选参数
Telesign SMS Verify,https://rapidapi.com/telesign/api/telesign-sms-verify/,telesign-telesign-send-sms-verification-code-v1.p.rapidapi.com,POST:Send Verification Code,,,[{}],"[{'参数名': ['appName'], '参数类型': ['STRING'], '参数注意事项': ['']}]"
Microsoft Authenticator,https://rapidapi.com/chdan/api/microsoft-authenticator/,microsoft-authenticator.p.rapidapi.com,POST:enroll,Step 2. Generate QR code and enroll using Google Authenticator app,,[{}],[{}]
Microsoft Authenticator,https://rapidapi.com/chdan/api/microsoft-authenticator/,microsoft-authenticator.p.rapidapi.com,POST:new_v2,Step 1. Generate new secret,,[{}],[{}]
Microsoft Authenticator,https://rapidapi.com/chdan/api/microsoft-authenticator/,microsoft-authenticator.p.rapidapi.com,POST:new,Step 1. Generate new secret,,[{}],[{}]
Microsoft Authenticator,https://rapidapi.com/chdan/api/microsoft-authenticator/,microsoft-authenticator.p.rapidapi.com,POST:validate,Step 3. Validate TOTP,,[{}],[{}]
SMS,https://rapidapi.com/rsmt-rsmt-default/api/sms136/,sms136.p.rapidapi.com,GET:Send SMS,Send SMS,,"[{'参数名': ['provider', 'username', 'password', 'from', 'phone_number', 'sms'], '参数类型': ['ENUM', 'STRING', 'STRING', 'STRING', 'STRING', 'STRING'], '参数注意事项': ['', '', '', '', '', '']}]",[{}]
PhoneNumberValidateFree,https://rapidapi.com/larroyouy70/api/phonenumbervalidatefree/,phonenumbervalidatefree.p.rapidapi.com,GET:Validate,"Free and easy. Validate any phone number, from any country.
Get type of number (for example, fixed line or mobile), the location of the number, and also reformat the number into local and international dialing formats.",,[{}],"[{'参数名': ['country'], '参数类型': ['STRING'], '参数注意事项': ['Format: ISO 3166-1 alpha-2 code\nRemark: in capital letters.\nOptional if the number parameter starts with the + symbol\nFormato: ISO 3166-1 alpha-2 code\nObservación: en mayúsculas.\nOpcional si el parametro number comienza con el símbolo +']}]"
Easy Authenticator,https://rapidapi.com/patosan36/api/easy-authenticator/,easy-authenticator.p.rapidapi.com,POST:verify,Validate TOTP,,[{}],[{}]
Easy Authenticator,https://rapidapi.com/patosan36/api/easy-authenticator/,easy-authenticator.p.rapidapi.com,POST:newAuthKey,Generate Secretkey and QR code,,[{}],[{}]
Whatsapp Checker PRO,https://rapidapi.com/g000dpixel/api/whatsapp-checker-pro/,whatsapp-checker-pro.p.rapidapi.com,GET:Validate PhoneNumber,Whatsapp Validate PhoneNumber,,"[{'参数名': ['Phone'], '参数类型': ['STRING'], '参数注意事项': ['']}]",[{}]
SmsGuru,https://rapidapi.com/smsguru-smsguru-default/api/smsguru1/,smsguru1.p.rapidapi.com,POST:Send SMS,Send a text message to any number,,[{}],[{}]
SmsGuru,https://rapidapi.com/smsguru-smsguru-default/api/smsguru1/,smsguru1.p.rapidapi.com,POST:Send verification code,Send verification code,,[{}],[{}]
