API名称,API链接,API_Host,Endpoint名称,Endpoint描述,Endpoint种类,Endpoint必须参数,Endpoint可选参数
API-BASKETBALL,https://rapidapi.com/api-sports/api/api-basketball/,api-basketball.p.rapidapi.com,GET:timezone,Get the list of available timezone to be used in the [games] endpoint,,[{}],[{}]
API-BASKETBALL,https://rapidapi.com/api-sports/api/api-basketball/,api-basketball.p.rapidapi.com,GET:bookmakers,get all available bookmakers | All bookmakers {id} can be used in endpoint [odds] as filters,Odds,[{}],"[{'参数名': ['search', 'id'], '参数类型': ['STRING', 'NUMBER'], '参数注意事项': ['3 characters minimum | Fails if field has anything other than alphabetic characters', 'Fails if field contains anything other than an integer']}]"
API-BASKETBALL,https://rapidapi.com/api-sports/api/api-basketball/,api-basketball.p.rapidapi.com,GET:bets,get all available bets labels | All bets {id} can be used in endpoint [odds] as filters,Odds,[{}],"[{'参数名': ['id', 'search'], '参数类型': ['NUMBER', 'STRING'], '参数注意事项': ['Fails if field contains anything other than an integer', '3 characters minimum | Fails if field has anything other than alphabetic characters']}]"
API-BASKETBALL,https://rapidapi.com/api-sports/api/api-basketball/,api-basketball.p.rapidapi.com,GET:odds,get all available odds,Odds,[{}],"[{'参数名': ['league', 'season', 'game', 'bookmaker', 'bet'], '参数类型': ['NUMBER', 'STRING', 'NUMBER', 'NUMBER', 'NUMBER'], '参数注意事项': ['Fails if field contains anything other than an integer', 'Fails if field contains anything other than a valid season [YYYY] or [YYYY-YYYY]', 'Fails if field contains anything other than an integer', 'Fails if field contains anything other than an integer', 'Fails if field contains anything other than an integer']}]"
API-BASKETBALL,https://rapidapi.com/api-sports/api/api-basketball/,api-basketball.p.rapidapi.com,GET:standings,Get all available standings | Return a table of one or more rankings according to the league / cup,Standings,[{}],"[{'参数名': ['stage', 'group', 'team'], '参数类型': ['STRING', 'STRING', 'NUMBER'], '参数注意事项': ['', '', 'Fails if field contains anything other than an integer']}]"
API-BASKETBALL,https://rapidapi.com/api-sports/api/api-basketball/,api-basketball.p.rapidapi.com,GET:stages,Get all available stages for standings,Standings,"[{'参数名': ['league', 'season'], '参数类型': ['NUMBER', 'STRING'], '参数注意事项': ['Fails if field contains anything other than an integer', 'Fails if field contains anything other than a valid season [YYYY] or [YYYY-YYYY]']}]",[{}]
API-BASKETBALL,https://rapidapi.com/api-sports/api/api-basketball/,api-basketball.p.rapidapi.com,GET:groups,Get all available groups for standings,Standings,"[{'参数名': ['season', 'league'], '参数类型': ['STRING', 'NUMBER'], '参数注意事项': ['Fails if field contains anything other than a valid season [YYYY] or [YYYY-YYYY]', 'Fails if field contains anything other than an integer']}]",[{}]
API-BASKETBALL,https://rapidapi.com/api-sports/api/api-basketball/,api-basketball.p.rapidapi.com,GET:seasons,Get all available seasons | All {season} can be used in other endpoints as filters,Seasons,[{}],[{}]
API-BASKETBALL,https://rapidapi.com/api-sports/api/api-basketball/,api-basketball.p.rapidapi.com,GET:countries,Get all available countries | The {country} and {code} keys can be used in other endpoints as filters,Countries,[{}],"[{'参数名': ['name', 'id', 'code', 'search'], '参数类型': ['STRING', 'NUMBER', 'STRING', 'STRING'], '参数注意事项': ['Fails if field contains anything other than alpha-numeric characters, numbers or space', 'Fails if field contains anything other than an integer', '2 characters | Fails if field has anything other than alphabetic characters | Ex : FR, GB, IT…', '3 characters minimum | Fails if field has anything other than alphabetic characters']}]"
API-BASKETBALL,https://rapidapi.com/api-sports/api/api-basketball/,api-basketball.p.rapidapi.com,GET:leagues,Get all available leagues | The league {id} are unique in the API and leagues keep it across all seasons,Leagues,[{}],"[{'参数名': ['country', 'id', 'type', 'season', 'name', 'code', 'search', 'country_id'], '参数类型': ['STRING', 'NUMBER', 'STRING', 'STRING', 'STRING', 'STRING', 'STRING', 'NUMBER'], '参数注意事项': ['Fails if field contains anything other than alpha-numeric characters, numbers or space', 'Fails if field contains anything other than an integer', 'Fails if field is not within a predetermined list : [league,cup]', 'Fails if field contains anything other than a valid season [YYYY] or [YYYY-YYYY]', 'Fails if field contains anything other than alpha-numeric characters, numbers or space', '2 characters | Fails if field has anything other than alphabetic characters | Ex : FR, GB, IT…', '3 characters minimum | Fails if field has anything other than alphabetic characters', 'Fails if field contains anything other than an integer']}]"
API-BASKETBALL,https://rapidapi.com/api-sports/api/api-basketball/,api-basketball.p.rapidapi.com,GET:head 2 head,Get all head to head between two teams,Games,[{}],"[{'参数名': ['league', 'season', 'timezone'], '参数类型': ['NUMBER', 'STRING', 'STRING'], '参数注意事项': ['Fails if field contains anything other than an integer', 'Fails if field contains anything other than a valid season [YYYY] or [YYYY-YYYY]', 'Fails if field is not a result of the endpoint timezone']}]"
API-BASKETBALL,https://rapidapi.com/api-sports/api/api-basketball/,api-basketball.p.rapidapi.com,GET:games,Get all available games,Games,[{}],"[{'参数名': ['timezone', 'season', 'id', 'league', 'date', 'team'], '参数类型': ['STRING', 'STRING', 'NUMBER', 'NUMBER', 'DATE (YYYY-MM-DD)', 'NUMBER'], '参数注意事项': ['Fails if field is not a result of the endpoint timezone', 'Fails if field contains anything other than a valid season [YYYY] or [YYYY-YYYY]', 'Fails if field contains anything other than an integer', 'Fails if field contains anything other than an integer', 'Fails if field does not contain a valid date : [YYYY-MM-DD]', 'Fails if field contains anything other than an integer']}]"
API-BASKETBALL,https://rapidapi.com/api-sports/api/api-basketball/,api-basketball.p.rapidapi.com,GET:teams statistics,Get team statistics,Teams,[{}],"[{'参数名': ['date'], '参数类型': ['DATE (YYYY-MM-DD)'], '参数注意事项': ['Fails if field does not contain a valid date : [YYYY-MM-DD]']}]"
API-BASKETBALL,https://rapidapi.com/api-sports/api/api-basketball/,api-basketball.p.rapidapi.com,GET:teams informations,Get all available teams | The team {id} are unique in the API and teams keep it among all the leagues/cups in which they participate,Teams,[{}],"[{'参数名': ['name', 'league', 'id', 'season', 'search'], '参数类型': ['STRING', 'NUMBER', 'NUMBER', 'STRING', 'STRING'], '参数注意事项': ['Fails if field contains anything other than alpha-numeric characters, numbers, dashes or space', 'Fails if field contains anything other than an integer', 'Fails if field contains anything other than an integer', 'Fails if field contains anything other than a valid season [YYYY] or [YYYY-YYYY]', '3 characters minimum | Fails if field has anything other than alphabetic characters']}]"
