API名称,API链接,API_Host,Endpoint名称,Endpoint描述,Endpoint种类,Endpoint必须参数,Endpoint可选参数
Opengraph.io,https://rapidapi.com/opengraphio-opengraphio-default/api/opengraph-io/,opengraph-io.p.rapidapi.com,GET:Site Lookup,"This endpoint will retrieve Open Graph tags from a given URL. If it is not present, our API will infer it for you.",,[{}],"[{'参数名': ['accept_lang', 'full_render', 'cache_ok', 'max_cache_age'], '参数类型': ['STRING', 'BOOLEAN', 'BOOLEAN', 'STRING'], '参数注意事项': ['This specifies the request language sent when requesting the url. This is useful if you want to get the site for languages other than english. The default setting for this will return an english version of a page if it exists. Note: if you specify the value auto the api will use the same language settings of your current request.', 'This will fully render the site using a chrome browser before parsing its contents. This is especially helpful for single page applications and JS redirects. This will slow down the time it takes to get a response by around 1.5 seconds.', 'This will force our servers to pull a fresh version of the site being requested. By default this value is true', 'This specifies the maximum age in milliseconds that a cached response should be. If not specified the value is set to 5 days. (5 days * 24 hours * 60 minutes * 60 seconds * 1000 ms = 432,000,000 ms)']}]"
Opengraph.io,https://rapidapi.com/opengraphio-opengraphio-default/api/opengraph-io/,opengraph-io.p.rapidapi.com,GET:Scrape,Just need the raw HTML?,,[{}],"[{'参数名': ['full_render', 'cache_ok', 'max_cache_age'], '参数类型': ['BOOLEAN', 'BOOLEAN', 'STRING'], '参数注意事项': ['This will fully render the site using a chrome browser before parsing its contents. This is especially helpful for single page applications and JS redirects. This will slow down the time it takes to get a response by around 1.5 seconds.', 'This will force our servers to pull a fresh version of the site being requested. By default this value is true', 'This specifies the maximum age in milliseconds that a cached response should be. If not specified the value is set to 5 days. (5 days * 24 hours * 60 minutes * 60 seconds * 1000 ms = 432,000,000 ms)']}]"
Opengraph.io,https://rapidapi.com/opengraphio-opengraphio-default/api/opengraph-io/,opengraph-io.p.rapidapi.com,GET:Extract,"The extract endpoint enables you to extract information from any website by providing its URL. With this endpoint, you can extract any element you need from the website, including but not limited to the title, header elements (h1 to h5), and paragraph elements (p).",,[{}],"[{'参数名': ['html_elements', 'full_render', 'cache_ok', 'max_cache_age'], '参数类型': ['STRING', 'BOOLEAN', 'BOOLEAN', 'STRING'], '参数注意事项': ['', 'This will fully render the site using a chrome browser before parsing its contents. This is especially helpful for single page applications and JS redirects. This will slow down the time it takes to get a response by around 1.5 seconds.', 'This will force our servers to pull a fresh version of the site being requested. By default this value is true', 'This specifies the maximum age in milliseconds that a cached response should be. If not specified the value is set to 5 days. (5 days * 24 hours * 60 minutes * 60 seconds * 1000 ms = 432,000,000 ms)']}]"
Google Translate,https://rapidapi.com/googlecloud/api/google-translate1/,google-translate1.p.rapidapi.com,POST:detect,Detects the language of text within a request.,,[{}],[{}]
Google Translate,https://rapidapi.com/googlecloud/api/google-translate1/,google-translate1.p.rapidapi.com,GET:languages,Returns a list of supported languages for translation.,,[{}],"[{'参数名': ['target', 'model'], '参数类型': ['STRING', 'STRING'], '参数注意事项': ['The target language code for the results. If specified, then the language names are returned in the name field of the response, localized in the target language. If you do not supply a target language, then the name field is omitted from the response and only the language codes are returned.', 'The translation model of the supported languages. Can be either base to return languages supported by the Phrase-Based Machine Translation (PBMT) model, or nmt to return languages supported by the Neural Machine Translation (NMT) model. If omitted, then all supported languages are returned.']}]"
Google Translate,https://rapidapi.com/googlecloud/api/google-translate1/,google-translate1.p.rapidapi.com,POST:translate,"Translates input text, returning translated text",,[{}],[{}]
Lingua Robot,https://rapidapi.com/rokish/api/lingua-robot/,lingua-robot.p.rapidapi.com,GET:Entry,"Retrieve data related to the specified entry, such as word or phrasal verb. The data includes meanings, pronunciations, lemmas, normalized lemmas etc.",,"[{'参数名': ['entry'], '参数类型': ['STRING'], '参数注意事项': ['Entry (word, phrasal verb etc., case-sensitive)']}]",[{}]
Linguatools Sentence Generating,https://rapidapi.com/petapro/api/linguatools-sentence-generating/,linguatools-sentence-generating.p.rapidapi.com,GET:realise,"The API can realise simple sentences given a subject, a verb and an object. Optional additional parameters allow to specify features like tense, number, voice, sentence type.",,[{}],"[{'参数名': ['objdet', 'objnum', 'passive', 'progressive', 'modal', 'subjdet', 'perfect', 'subjnum', 'objmod', 'sentencetype', 'negated', 'tense'], '参数类型': ['STRING', 'STRING', 'STRING', 'STRING', 'STRING', 'STRING', 'STRING', 'STRING', 'STRING', 'STRING', 'STRING', 'STRING'], '参数注意事项': ['Specifies the object’s determiner (a, the, –). Default is „a“. Use objdet=- to generate an object without determiner.', 'Specifies the object’s number (singular, plural). Default is singular. A value of plural is overridden by objdet=a.', '&passive=passive generates a sentence in passive voice. The object is set as subject and the subject becomes the by-object.', '&progressive=progressive sets the progressive (continuous) tense', 'Specifies a modal verb modifying the verb (can, may, must, ought, shall, should, would). Only allowed for present tense. If tense=past or tense=future is set then the parameter modal will be ignored.', 'Specifies the subject’s number (a, the, –). Default is „the“. Use subjdet=- to generate a subject without determiner.', '&perfect=perfect sets the perfect tense', 'Specifies the subject’s number (singular, plural). A value of plural is overridden by subjdet=a.', 'Specifies an adjective modifying the object: any adjective', 'Specifies the sentence type (yesno, whatobj, whosubj). Default is a declarative sentence. &sentencetype=yesno generates a yes/no-question, whatobj generates a WH-question for the object, whosubj generates a WH-question for the subject', '&negated=negated generates a negated sentence', 'Specifies the verb’s tense (present, past, future). Default is „present“']}]"
Linguatools English Collocations,https://rapidapi.com/petapro/api/linguatools-english-collocations/,linguatools-english-collocations.p.rapidapi.com,GET:collocations v2 ( + pos),"looks up collocations
new version in 2022: considers the part of speech of the query; some relation names changed",,[{}],"[{'参数名': ['max_results', 'relation', 'min_sig', 'pos'], '参数类型': ['NUMBER', 'STRING', 'STRING', 'STRING'], '参数注意事项': ['limit the number of results', 'One of the following relations (case sensitive):\nV:obj:N\nV:prep:N\nV:obj1+2:N\nV:obj+prep:N\nV:subj:N\nV:sc:Vinf (V:sc:V)\nN:mod:Adj (N:mod:A)\nN:prep:N\nN:nn:N\nV:mod:Adv (V:mod:A )\nAdj:mod:Adv (A:mod:A)', 'any number as the minimum significance (optional). Will return only collocations with significance >= min_sig', 'One of the following Part Of Speech (case sensitive):\nV\nVinf\nN\nAdj\nAdv']}]"
Linguatools English Collocations,https://rapidapi.com/petapro/api/linguatools-english-collocations/,linguatools-english-collocations.p.rapidapi.com,GET:collocations,looks up collocations,,[{}],"[{'参数名': ['max_results', 'relation', 'min_sig'], '参数类型': ['NUMBER', 'STRING', 'STRING'], '参数注意事项': ['limit the number of results', 'One of the following relations (case sensitive, optional): V:obj:N V:prep:N V:obj1+2:N V:obj+prep:N V:subj:N V:sc:V N:mod:A N:prep:N N:nn:N V:mod:A A:mod:A', 'any number as the minimum significance (optional). Will return only collocations with significance >= min_sig']}]"
