API名称,API链接,API_Host,Endpoint名称,Endpoint描述,Endpoint种类,Endpoint必须参数,Endpoint可选参数
TimeTable Lookup,https://rapidapi.com/flightlookup/api/timetable-lookup/,timetable-lookup.p.rapidapi.com,GET:codes - Entertainment Codes,Return a list of entertainment codes used by the airlines,Airline Codes,[{}],[{}]
TimeTable Lookup,https://rapidapi.com/flightlookup/api/timetable-lookup/,timetable-lookup.p.rapidapi.com,GET:codes - Equipment codes,Return a list of equipment codes used by the airlines,Airline Codes,[{}],[{}]
TimeTable Lookup,https://rapidapi.com/flightlookup/api/timetable-lookup/,timetable-lookup.p.rapidapi.com,GET:codes - Meal Codes,Return a list of meal code used by the airlines,Airline Codes,[{}],[{}]
TimeTable Lookup,https://rapidapi.com/flightlookup/api/timetable-lookup/,timetable-lookup.p.rapidapi.com,GET:Flight Schedules,"FlightLookup Web Services, powered by FlightLookup Routing Engine. This API provides a powerful information source for developing sophisticated applications requiring flight related schedule data. Whether you are a software company developing products for sale or an in-house...",Flight Schedules,[{}],"[{'参数名': ['Time', 'Compression', '7Day', 'Interline', 'Results', 'Connection', 'Sort', 'MaxConnect', 'Max_Results', 'NoFilter', 'Airline', 'FlightNumber', 'ExpandResults'], '参数类型': ['STRING', 'STRING', 'STRING', 'STRING', 'STRING', 'STRING', 'STRING', 'STRING', 'STRING', 'STRING', 'STRING', 'STRING', 'STRING'], '参数注意事项': ['Return flights that happen during the specified time period (ANY, AM, PM, NIGHT)', 'Displays non-stops, directs and logical single and multiple connections up to the maximum number of results requested (AUTO, NONSTOP, DIRECT, 1STOP, MORE)', 'Setting to ""N"" results in 1 days of results. Setting to ""Y"" results in 7 days of results. (N, Y)', 'Please see documentation', 'Range = 1 to 500, Maximum number of results to return', 'Displays non-stops, directs and logical single and multiple connections up to the maximum number of results requested', 'Specify the sort order for the results (Departure, Optional - Arrival, Duration, Flights)', 'Range = 120-1200. Maximum time between flight in minutes. Default = 240 which is the IATA standard.', 'Override the results count.', 'Disable Traffic Restriction Code Filters', 'Restrict by specific airline 2 or 3 letter airline IATA code', 'Restrict by specific flight number must be used with Airline', 'Y = Override the flight efficiency filter, showing more results. N = Do not override the flight efficiency filter, showing fewer results.']}]"
TimeTable Lookup,https://rapidapi.com/flightlookup/api/timetable-lookup/,timetable-lookup.p.rapidapi.com,GET:airports - Nonstop routes for an airport by airline,Returns a list of nonstop routes for an airport restricted to an airline,Airport Information,"[{'参数名': ['airlineiatacode', 'airportiatacode'], '参数类型': ['STRING', 'STRING'], '参数注意事项': ['Airline IATA Code', 'Airport IATA Code']}]",[{}]
TimeTable Lookup,https://rapidapi.com/flightlookup/api/timetable-lookup/,timetable-lookup.p.rapidapi.com,GET:airports - Airport information,Return an airport's information,Airport Information,"[{'参数名': ['airportiatacode'], '参数类型': ['STRING'], '参数注意事项': ['Airport IATA Code']}]",[{}]
TimeTable Lookup,https://rapidapi.com/flightlookup/api/timetable-lookup/,timetable-lookup.p.rapidapi.com,GET:airports - Airports in a country,Returns a list of airports in a country,Airport Information,"[{'参数名': ['countryiatacode'], '参数类型': ['STRING'], '参数注意事项': ['Country IATA code']}]",[{}]
TimeTable Lookup,https://rapidapi.com/flightlookup/api/timetable-lookup/,timetable-lookup.p.rapidapi.com,GET:airports - Airports in a metro,Returns a list of airports in a metro,Airport Information,"[{'参数名': ['metroiatacode'], '参数类型': ['STRING'], '参数注意事项': ['Metro IATA Code']}]",[{}]
TimeTable Lookup,https://rapidapi.com/flightlookup/api/timetable-lookup/,timetable-lookup.p.rapidapi.com,GET:airports - Carriers operating out of an airport,Return a list of carriers operating out of an airport,Airport Information,"[{'参数名': ['airportiatacode'], '参数类型': ['STRING'], '参数注意事项': ['Airport IATA Code']}]",[{}]
TimeTable Lookup,https://rapidapi.com/flightlookup/api/timetable-lookup/,timetable-lookup.p.rapidapi.com,GET:airports - Country IATA codes,Returns a list of country IATA codes,Airport Information,[{}],[{}]
TimeTable Lookup,https://rapidapi.com/flightlookup/api/timetable-lookup/,timetable-lookup.p.rapidapi.com,GET:airports - Direct routes for an airport,Returns a list of direct routes for an airport,Airport Information,"[{'参数名': ['airportiatacode'], '参数类型': ['STRING'], '参数注意事项': ['Airport IATA Code']}]",[{}]
TimeTable Lookup,https://rapidapi.com/flightlookup/api/timetable-lookup/,timetable-lookup.p.rapidapi.com,GET:airports - Direct routes for an airport by airline,Returns a list of direct routes for an airport restricted to an airline,Airport Information,"[{'参数名': ['airportiatacode', 'airlineiatacode'], '参数类型': ['STRING', 'STRING'], '参数注意事项': ['Airport IATA Code', 'Airline IATA Code']}]",[{}]
TimeTable Lookup,https://rapidapi.com/flightlookup/api/timetable-lookup/,timetable-lookup.p.rapidapi.com,GET:airports - Latitude and longitude for location in country,Returns the latitude and longitude for location in country,Airport Information,"[{'参数名': ['location', 'countryiatacode'], '参数类型': ['STRING', 'STRING'], '参数注意事项': ['A location in the country', 'Country IATA Code']}]",[{}]
TimeTable Lookup,https://rapidapi.com/flightlookup/api/timetable-lookup/,timetable-lookup.p.rapidapi.com,GET:airports - List of airports,Return a list of the airports worldwide,Airport Information,[{}],[{}]
TimeTable Lookup,https://rapidapi.com/flightlookup/api/timetable-lookup/,timetable-lookup.p.rapidapi.com,GET:airports - Metro IATA codes,Returns a list of metro IATA codes,Airport Information,[{}],[{}]
TimeTable Lookup,https://rapidapi.com/flightlookup/api/timetable-lookup/,timetable-lookup.p.rapidapi.com,GET:airports - Nearest airports for a given latitude and longitude,Returns the nearest airports for a given latitude and longitude,Airport Information,"[{'参数名': ['lon', 'lat'], '参数类型': ['STRING', 'STRING'], '参数注意事项': ['Specify longitude', 'Specify latitude']}]",[{}]
TimeTable Lookup,https://rapidapi.com/flightlookup/api/timetable-lookup/,timetable-lookup.p.rapidapi.com,GET:airports - Nonstop and direct routes for an airport,Returns a list of nonstop and direct routes for an airport,Airport Information,"[{'参数名': ['airportiatacode'], '参数类型': ['STRING'], '参数注意事项': ['Airport IATA Code']}]",[{}]
TimeTable Lookup,https://rapidapi.com/flightlookup/api/timetable-lookup/,timetable-lookup.p.rapidapi.com,GET:airports - Nonstop and direct routes for an airport by airline,Returns a list of nonstop and direct routes for an airport restricted to an airline,Airport Information,"[{'参数名': ['airlineiatacode', 'airportiatacode'], '参数类型': ['STRING', 'STRING'], '参数注意事项': ['Airline IATA Code', 'Airport IATA Code']}]",[{}]
TimeTable Lookup,https://rapidapi.com/flightlookup/api/timetable-lookup/,timetable-lookup.p.rapidapi.com,GET:airports - Nonstop routes for an airport,Returns a list of nonstop routes for an airport,Airport Information,"[{'参数名': ['airportiatacode'], '参数类型': ['STRING'], '参数注意事项': ['Airport IATA Code']}]",[{}]
TimeTable Lookup,https://rapidapi.com/flightlookup/api/timetable-lookup/,timetable-lookup.p.rapidapi.com,GET:airlines - Airports in a country an airline operates in,Return a list of airports in a country an airline operates in,Airline Information,"[{'参数名': ['countryiatacode', 'airlineiatacode'], '参数类型': ['STRING', 'STRING'], '参数注意事项': ['Country IATA code', 'Airline IATA code']}]",[{}]
TimeTable Lookup,https://rapidapi.com/flightlookup/api/timetable-lookup/,timetable-lookup.p.rapidapi.com,GET:airlines - Countries airline operates in,Return a list of the countries that an airline operates in,Airline Information,"[{'参数名': ['airlineiatacode'], '参数类型': ['STRING'], '参数注意事项': ['']}]",[{}]
TimeTable Lookup,https://rapidapi.com/flightlookup/api/timetable-lookup/,timetable-lookup.p.rapidapi.com,GET:airlines - Direct flights for an airline from an airport,Return a list of direct flights for an airline from an airport,Airline Information,"[{'参数名': ['airlineiatacode', 'airportiatacode'], '参数类型': ['STRING', 'STRING'], '参数注意事项': ['Airline IATA code', 'Airport IATA code']}]",[{}]
TimeTable Lookup,https://rapidapi.com/flightlookup/api/timetable-lookup/,timetable-lookup.p.rapidapi.com,GET:airlines - Nonstop and direct flights for an airline,Return a list of nonstop and direct flights for an airline,Airline Information,"[{'参数名': ['airlineiatacode'], '参数类型': ['STRING'], '参数注意事项': ['Airline Iata Code']}]",[{}]
TimeTable Lookup,https://rapidapi.com/flightlookup/api/timetable-lookup/,timetable-lookup.p.rapidapi.com,GET:airlines - Nonstop flights for an airline from an airport,Return a list of nonstop flights for an airline from an airport,Airline Information,"[{'参数名': ['airlineiatacode', 'airportiatacode'], '参数类型': ['STRING', 'STRING'], '参数注意事项': ['Airline IATA Code', 'Airport IATA Code']}]",[{}]
TimeTable Lookup,https://rapidapi.com/flightlookup/api/timetable-lookup/,timetable-lookup.p.rapidapi.com,GET:airlines - Airlines and the countries they operate in,Return a list of airlines and the countries they operate in,Airline Information,[{}],[{}]
AeroDataBox,https://rapidapi.com/aedbx-aedbx/api/aerodatabox/,aerodatabox.p.rapidapi.com,GET:Aiport by code,Gets airport by code (IATA or ICAO).,Airport API,[{}],"[{'参数名': ['withTime', 'withRunways'], '参数类型': ['BOOLEAN', 'BOOLEAN'], '参数注意事项': ['Should include current local time information', 'Should include runway information']}]"
AeroDataBox,https://rapidapi.com/aedbx-aedbx/api/aerodatabox/,aerodatabox.p.rapidapi.com,GET:Search airports by location,Gets the list of airports found within specified radius around specified location.,Airport API,[{}],"[{'参数名': ['withFlightInfoOnly'], '参数类型': ['BOOLEAN'], '参数注意事项': ['If set to true, will only return airports which have flight data (scheduled or live) available. Default = false.']}]"
AeroDataBox,https://rapidapi.com/aedbx-aedbx/api/aerodatabox/,aerodatabox.p.rapidapi.com,GET:[DEPRECATED] Search airports by location (path-style),Use Search airports by location endpoint instead.,Airport API,[{}],"[{'参数名': ['withFlightInfoOnly'], '参数类型': ['BOOLEAN'], '参数注意事项': ['If set to true, will only return airports which have flight data (scheduled or live) available. Default = false.']}]"
AeroDataBox,https://rapidapi.com/aedbx-aedbx/api/aerodatabox/,aerodatabox.p.rapidapi.com,GET:Search airports by IP address geolocation,"What are the airports closest to the customer, based on their IP address?
** What are the airports closest to the location determined (geo-located) by a IP address?**",Airport API,[{}],"[{'参数名': ['withFlightInfoOnly'], '参数类型': ['BOOLEAN'], '参数注意事项': ['If set to true, will only return airports which have flight data (scheduled or live) available. Default = false.']}]"
AeroDataBox,https://rapidapi.com/aedbx-aedbx/api/aerodatabox/,aerodatabox.p.rapidapi.com,GET:Search airports by free text,Gets the list of airports with ICAO or IATA code matching the search term case-insensitively and airports with airport or city name containing the search term case-insensitively.,Airport API,[{}],"[{'参数名': ['limit', 'withFlightInfoOnly', 'withSearchByCode'], '参数类型': ['NUMBER', 'BOOLEAN', 'BOOLEAN'], '参数注意事项': ['Maximum number of airports to be returned (max. 250, defaut = 10)', 'If set to true, will only return airports which have flight data (scheduled or live) available. Default = false.', 'If set to true, will attempt to interpret short words within the search query as IATA or ICAO code and prioritize exact matches by these codes (they will appear higher than others). Otherwise, the search by code will be completely excluded (only the name of an airport or its city will be searched). Default = true.']}]"
AeroDataBox,https://rapidapi.com/aedbx-aedbx/api/aerodatabox/,aerodatabox.p.rapidapi.com,GET:Airport runways,Gets information about runways at specified airport.,Airport API,"[{'参数名': ['code', 'codeType'], '参数类型': ['STRING', 'ENUM'], '参数注意事项': ['If codeType is:\nicao, then this field must be a 4-character ICAO-code of the airport (e.g.: EHAM, KLAX, UUEE, etc.);\niata, then this field must be a 3-character IATA-code of the airport (e.g.: AMS, SFO, LAX, etc.).', 'Type of code to search airport by (iata or icao)']}]",[{}]
