API名称,API链接,API_Host,Endpoint名称,Endpoint描述,Endpoint种类,Endpoint必须参数,Endpoint可选参数
Restb.ai Watermark Detection,https://rapidapi.com/restb/api/restb-ai-watermark-detection/,restb-ai-watermark-detection.p.rapidapi.com,POST:wmdetect,endpoint for Watermark Detection,Watermark Detection,[{}],[{}]
Face Detection,https://rapidapi.com/inferdo/api/face-detection6/,face-detection6.p.rapidapi.com,POST:Face Detection w/ Age & Gender,Use our Face Detection API to detect the location of human faces in your images along with their predicted ages and genders.,,[{}],[{}]
Face Detection,https://rapidapi.com/inferdo/api/face-detection6/,face-detection6.p.rapidapi.com,POST:Face Detection,Use our Face Detection API to detect the location of human faces in your images.,,[{}],[{}]
OpenALPR,https://rapidapi.com/matthill5/api/openalpr/,openalpr.p.rapidapi.com,POST:Recognize URL,Send an image for OpenALPR to analyze and provide metadata back The image is sent as a URL. The OpenALPR service will download the image and process it,,[{}],[{}]
OpenALPR,https://rapidapi.com/matthill5/api/openalpr/,openalpr.p.rapidapi.com,GET:Config,Get a list of available results for plate and vehicle recognition,,[{}],[{}]
OpenALPR,https://rapidapi.com/matthill5/api/openalpr/,openalpr.p.rapidapi.com,POST:Recognize Bytes,Send an image for OpenALPR to analyze and provide metadata back The image is sent as a URL. The OpenALPR service will download the image and process it,,[{}],[{}]
OpenALPR,https://rapidapi.com/matthill5/api/openalpr/,openalpr.p.rapidapi.com,POST:Recognize,Send an image for OpenALPR to analyze and provide metadata back The image is sent as a file using a form data POST,,[{}],[{}]
Image Labeling,https://rapidapi.com/inferdo/api/image-labeling1/,image-labeling1.p.rapidapi.com,POST:Image Labeling,Use our Image Labeling API to add semantic labels to your images.,,[{}],[{}]
NSFW Image Classification,https://rapidapi.com/inferdo/api/nsfw-image-classification1/,nsfw-image-classification1.p.rapidapi.com,POST:NSFW Image Classification,Use our Content Moderation API to flag possible inappropriate content in your images.,,[{}],[{}]
Pen to Print - Handwriting OCR,https://rapidapi.com/serendi/api/pen-to-print-handwriting-ocr/,pen-to-print-handwriting-ocr.p.rapidapi.com,POST:recognize,extarct text from an image,developers,[{}],[{}]
OCR Nanonets,https://rapidapi.com/nanonetsocr-nanonetsocr-default/api/ocr-nanonets/,ocr-nanonets.p.rapidapi.com,POST:Extract Text from Image / PDF Endpoint,Python OCR Code Tutorial,,[{}],[{}]
OCR - Image to Text,https://rapidapi.com/hakimiachraf841/api/ocr-image-to-text4/,ocr-image-to-text4.p.rapidapi.com,POST:Uplaod Image,Upload image to extract text,,[{}],[{}]
OCR - Image to Text,https://rapidapi.com/hakimiachraf841/api/ocr-image-to-text4/,ocr-image-to-text4.p.rapidapi.com,POST:Image URL,Enter Image URL to extract text,,[{}],[{}]
VIN Recognition,https://rapidapi.com/dominonet-lTpEE6zONeS/api/vin-recognition/,vin-recognition.p.rapidapi.com,POST:Vin Recognition,"Support JPEG,PNG8,PNG24,GIF,BMP,WEBP,RAW,ICO.
The larger the image file, the higher the recognition accuracy but slower the speed, the smaller the file, the faster the speed but the lower the recognition accuracy. Therefore, we recommend that the maximum image file size ...",,[{}],[{}]
OCR Image to text MULTILINGUAL,https://rapidapi.com/admobsteelindia/api/ocr-image-to-text-multilingual/,ocr-image-to-text-multilingual.p.rapidapi.com,POST:imagetotext,Extract image from texts,,[{}],[{}]
Microsoft Computer Vision,https://rapidapi.com/microsoft-azure-org-microsoft-cognitive-services/api/microsoft-computer-vision3/,microsoft-computer-vision3.p.rapidapi.com,POST:Analyze Image,"This operation extracts a rich set of visual features based on the image content.
Two input methods are supported -- (1) Uploading an image or (2) specifying an image URL. Within your request, there is an optional parameter to allow you to choose which features to return...",Analyze,[{}],[{}]
Microsoft Computer Vision,https://rapidapi.com/microsoft-azure-org-microsoft-cognitive-services/api/microsoft-computer-vision3/,microsoft-computer-vision3.p.rapidapi.com,POST:Describe Image,"This operation generates a description of an image in human readable language with complete sentences. The description is based on a collection of content tags, which are also returned by the operation. More than one description can be generated for each image. Descriptions ar...",Describe,[{}],[{}]
Microsoft Computer Vision,https://rapidapi.com/microsoft-azure-org-microsoft-cognitive-services/api/microsoft-computer-vision3/,microsoft-computer-vision3.p.rapidapi.com,POST:Detect Objects,Performs object detection on the specified image.,Detect,[{}],[{}]
Microsoft Computer Vision,https://rapidapi.com/microsoft-azure-org-microsoft-cognitive-services/api/microsoft-computer-vision3/,microsoft-computer-vision3.p.rapidapi.com,GET:List Models,"This operation returns the list of domain-specific models that are supported by the Computer Vision API. Currently, the API supports following domain-specific models: celebrity recognizer, landmark recognizer.",Models,[{}],[{}]
Microsoft Computer Vision,https://rapidapi.com/microsoft-azure-org-microsoft-cognitive-services/api/microsoft-computer-vision3/,microsoft-computer-vision3.p.rapidapi.com,POST:Analyze Image By Domain,"This operation recognizes content within an image by applying a domain-specific model. The list of domain-specific models that are supported by the Computer Vision API can be retrieved using the /models GET request. Currently, the API provides following domain-specific models:...",Models,[{}],[{}]
Microsoft Computer Vision,https://rapidapi.com/microsoft-azure-org-microsoft-cognitive-services/api/microsoft-computer-vision3/,microsoft-computer-vision3.p.rapidapi.com,POST:Recognize Printed Text,Optical Character Recognition (OCR) detects text in an image and extracts the recognized characters into a machine-usable character stream.,OCR,[{}],[{}]
Microsoft Computer Vision,https://rapidapi.com/microsoft-azure-org-microsoft-cognitive-services/api/microsoft-computer-vision3/,microsoft-computer-vision3.p.rapidapi.com,POST:Tag Image,"This operation generates a list of words, or tags, that are relevant to the content of the supplied image. The Computer Vision API can return tags based on objects, living beings, scenery or actions found in images. Unlike categories, tags are not organized according to a hier...",Tag,[{}],[{}]
Microsoft Computer Vision,https://rapidapi.com/microsoft-azure-org-microsoft-cognitive-services/api/microsoft-computer-vision3/,microsoft-computer-vision3.p.rapidapi.com,POST:Generate Thumbnail,"This operation generates a thumbnail image with the user-specified width and height. By default, the service analyzes the image, identifies the region of interest (ROI), and generates smart cropping coordinates based on the ROI. Smart cropping helps when you specify an aspect ...",Generate Thumbnail,[{}],[{}]
Microsoft Computer Vision,https://rapidapi.com/microsoft-azure-org-microsoft-cognitive-services/api/microsoft-computer-vision3/,microsoft-computer-vision3.p.rapidapi.com,POST:Get Area Of Interest,This operation returns a bounding box around the most important area of the image.,Area Of Interest,[{}],[{}]
Image Describing AI - Visual Decoder,https://rapidapi.com/andero-VDilSNebN/api/image-describing-ai-visual-decoder/,image-describing-ai-visual-decoder.p.rapidapi.com,POST:Describe Image,Ask a question about the image.,,[{}],[{}]
Face Verification,https://rapidapi.com/PresentID/api/face-verification2/,face-verification2.p.rapidapi.com,POST:Send image with Base64,Face verification API(photo id matching) evaluates whether two faces belong to the same person or not.,,[{}],[{}]
Face Verification,https://rapidapi.com/PresentID/api/face-verification2/,face-verification2.p.rapidapi.com,POST:Send image with image URL,Face verification API(photo id matching) evaluates whether two faces belong to the same person or not.,,[{}],[{}]
Face Verification,https://rapidapi.com/PresentID/api/face-verification2/,face-verification2.p.rapidapi.com,POST:Send image with image file,Face verification API(photo id matching) evaluates whether two faces belong to the same person or not.,,[{}],[{}]
Image To Text OCR,https://rapidapi.com/dominonet-lTpEE6zONeS/api/image-to-text-ocr1/,image-to-text-ocr1.p.rapidapi.com,POST:Image To Text OCR,"The larger the file, the higher the accuracy of recognition, but smaller sizes can lead to a decrease in recognition accuracy. Therefore, we recommend that the maximum size should not exceed 4MB",,[{}],[{}]
Vehicle Damage Assessment,https://rapidapi.com/sensorai-sensorai-default/api/vehicle-damage-assessment/,vehicle-damage-assessment.p.rapidapi.com,POST:Main,Main function endpoint,,[{}],[{}]
NSFW images detection and classification,https://rapidapi.com/smartclick-smartclick-default/api/nsfw-images-detection-and-classification/,nsfw-images-detection-and-classification.p.rapidapi.com,POST:NSFW content classification from image (url),For more details contact us,,[{}],[{}]
NSFW images detection and classification,https://rapidapi.com/smartclick-smartclick-default/api/nsfw-images-detection-and-classification/,nsfw-images-detection-and-classification.p.rapidapi.com,POST:NSFW content classification from attached image file,For more details contact us,,[{}],[{}]
General Detection,https://rapidapi.com/api4ai-api4ai-default/api/general-detection/,general-detection.p.rapidapi.com,POST:Analyse image and return results,Performs actual image analysis and responds with results.,,[{}],[{}]
General Detection,https://rapidapi.com/api4ai-api4ai-default/api/general-detection/,general-detection.p.rapidapi.com,GET:Get list of algorithms,Service provides alternative algorithms that may be used for image detection.,,[{}],[{}]
General Detection,https://rapidapi.com/api4ai-api4ai-default/api/general-detection/,general-detection.p.rapidapi.com,GET:Get version,Returns an actual version of the service in format vX.Y.Z where X is the version of API.,,[{}],[{}]
AI Picture Colorizer,https://rapidapi.com/firdavscoder1/api/ai-picture-colorizer1/,ai-picture-colorizer1.p.rapidapi.com,POST:Send Image And Get Result,Send Image And Get Result,,[{}],[{}]
Regim,https://rapidapi.com/rekinm-lnlYQT00U1z/api/regim3/,regim3.p.rapidapi.com,POST:Object recognition and segmentation,Object segmentation,,[{}],[{}]
Regim,https://rapidapi.com/rekinm-lnlYQT00U1z/api/regim3/,regim3.p.rapidapi.com,POST:Dominant colors,Get colors service,,[{}],[{}]
